"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US250250001011","Block Group 1; Census Tract 1.01; Suffolk County; Massachusetts","133542","54097",
"1500000US250250001012","Block Group 2; Census Tract 1.01; Suffolk County; Massachusetts","143359","41614",
"1500000US250250001021","Block Group 1; Census Tract 1.02; Suffolk County; Massachusetts","106125","50652",
"1500000US250250001022","Block Group 2; Census Tract 1.02; Suffolk County; Massachusetts","57313","40940",
"1500000US250250002011","Block Group 1; Census Tract 2.01; Suffolk County; Massachusetts","105714","54121",
"1500000US250250002012","Block Group 2; Census Tract 2.01; Suffolk County; Massachusetts","135767","18415",
"1500000US250250002013","Block Group 3; Census Tract 2.01; Suffolk County; Massachusetts","100905","51184",
"1500000US250250002014","Block Group 4; Census Tract 2.01; Suffolk County; Massachusetts","94000","33112",
"1500000US250250002021","Block Group 1; Census Tract 2.02; Suffolk County; Massachusetts","113229","47852",
"1500000US250250002022","Block Group 2; Census Tract 2.02; Suffolk County; Massachusetts","121298","77530",
"1500000US250250002023","Block Group 3; Census Tract 2.02; Suffolk County; Massachusetts","66875","19405",
"1500000US250250003011","Block Group 1; Census Tract 3.01; Suffolk County; Massachusetts","114250","35658",
"1500000US250250003012","Block Group 2; Census Tract 3.01; Suffolk County; Massachusetts","136497","9166",
"1500000US250250003013","Block Group 3; Census Tract 3.01; Suffolk County; Massachusetts","126076","11393",
"1500000US250250003014","Block Group 4; Census Tract 3.01; Suffolk County; Massachusetts","140766","39767",
"1500000US250250003021","Block Group 1; Census Tract 3.02; Suffolk County; Massachusetts","120500","19997",
"1500000US250250003022","Block Group 2; Census Tract 3.02; Suffolk County; Massachusetts","102198","26509",
"1500000US250250004011","Block Group 1; Census Tract 4.01; Suffolk County; Massachusetts","82941","12258",
"1500000US250250004012","Block Group 2; Census Tract 4.01; Suffolk County; Massachusetts","92422","9934",
"1500000US250250004013","Block Group 3; Census Tract 4.01; Suffolk County; Massachusetts","89409","35733",
"1500000US250250004014","Block Group 4; Census Tract 4.01; Suffolk County; Massachusetts","15795","8146",
"1500000US250250004021","Block Group 1; Census Tract 4.02; Suffolk County; Massachusetts","84281","5977",
"1500000US250250004022","Block Group 2; Census Tract 4.02; Suffolk County; Massachusetts","112353","31977",
"1500000US250250004023","Block Group 3; Census Tract 4.02; Suffolk County; Massachusetts","146490","26689",
"1500000US250250005021","Block Group 1; Census Tract 5.02; Suffolk County; Massachusetts","105119","25560",
"1500000US250250005022","Block Group 2; Census Tract 5.02; Suffolk County; Massachusetts","98438","26929",
"1500000US250250005023","Block Group 3; Census Tract 5.02; Suffolk County; Massachusetts","64083","11444",
"1500000US250250005024","Block Group 4; Census Tract 5.02; Suffolk County; Massachusetts","-","**",
"1500000US250250005031","Block Group 1; Census Tract 5.03; Suffolk County; Massachusetts","119625","26464",
"1500000US250250005032","Block Group 2; Census Tract 5.03; Suffolk County; Massachusetts","73519","7306",
"1500000US250250005051","Block Group 1; Census Tract 5.05; Suffolk County; Massachusetts","85781","30098",
"1500000US250250005052","Block Group 2; Census Tract 5.05; Suffolk County; Massachusetts","33125","26495",
"1500000US250250005053","Block Group 3; Census Tract 5.05; Suffolk County; Massachusetts","-","**",
