"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US371190001011","Block Group 1; Census Tract 1.01; Mecklenburg County; North Carolina","111750","63886",
"1500000US371190001012","Block Group 2; Census Tract 1.01; Mecklenburg County; North Carolina","100744","19725",
"1500000US371190001021","Block Group 1; Census Tract 1.02; Mecklenburg County; North Carolina","125010","56566",
"1500000US371190001022","Block Group 2; Census Tract 1.02; Mecklenburg County; North Carolina","123625","19405",
"1500000US371190001031","Block Group 1; Census Tract 1.03; Mecklenburg County; North Carolina","131398","27009",
"1500000US371190001041","Block Group 1; Census Tract 1.04; Mecklenburg County; North Carolina","109896","16572",
"1500000US371190003011","Block Group 1; Census Tract 3.01; Mecklenburg County; North Carolina","82500","23626",
"1500000US371190003021","Block Group 1; Census Tract 3.02; Mecklenburg County; North Carolina","106118","48627",
"1500000US371190003022","Block Group 2; Census Tract 3.02; Mecklenburg County; North Carolina","35069","12062",
"1500000US371190004011","Block Group 1; Census Tract 4.01; Mecklenburg County; North Carolina","88095","19447",
"1500000US371190004021","Block Group 1; Census Tract 4.02; Mecklenburg County; North Carolina","57022","13032",
"1500000US371190004022","Block Group 2; Census Tract 4.02; Mecklenburg County; North Carolina","102464","23083",
"1500000US371190005011","Block Group 1; Census Tract 5.01; Mecklenburg County; North Carolina","33713","889",
"1500000US371190005012","Block Group 2; Census Tract 5.01; Mecklenburg County; North Carolina","112813","61216",
"1500000US371190005021","Block Group 1; Census Tract 5.02; Mecklenburg County; North Carolina","88583","8494",
"1500000US371190005031","Block Group 1; Census Tract 5.03; Mecklenburg County; North Carolina","67222","23501",
"1500000US371190005032","Block Group 2; Census Tract 5.03; Mecklenburg County; North Carolina","136685","65459",
"1500000US371190006001","Block Group 1; Census Tract 6; Mecklenburg County; North Carolina","43229","20649",
"1500000US371190006002","Block Group 2; Census Tract 6; Mecklenburg County; North Carolina","89125","31743",
"1500000US371190006003","Block Group 3; Census Tract 6; Mecklenburg County; North Carolina","107581","27326",
"1500000US371190007001","Block Group 1; Census Tract 7; Mecklenburg County; North Carolina","85677","25863",
"1500000US371190007002","Block Group 2; Census Tract 7; Mecklenburg County; North Carolina","59953","17047",
"1500000US371190008001","Block Group 1; Census Tract 8; Mecklenburg County; North Carolina","51857","34386",
"1500000US371190008002","Block Group 2; Census Tract 8; Mecklenburg County; North Carolina","47094","9830",
