"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US170310101001","Block Group 1; Census Tract 101; Cook County; Illinois","98575","87817",
"1500000US170310101002","Block Group 2; Census Tract 101; Cook County; Illinois","25474","9540",
"1500000US170310101003","Block Group 3; Census Tract 101; Cook County; Illinois","81917","25546",
"1500000US170310102011","Block Group 1; Census Tract 102.01; Cook County; Illinois","74563","22040",
"1500000US170310102012","Block Group 2; Census Tract 102.01; Cook County; Illinois","43314","22341",
"1500000US170310102013","Block Group 3; Census Tract 102.01; Cook County; Illinois","-","**",
"1500000US170310102014","Block Group 4; Census Tract 102.01; Cook County; Illinois","54612","45116",
"1500000US170310102021","Block Group 1; Census Tract 102.02; Cook County; Illinois","45833","20975",
"1500000US170310102022","Block Group 2; Census Tract 102.02; Cook County; Illinois","82854","21477",
"1500000US170310103001","Block Group 1; Census Tract 103; Cook County; Illinois","71250","35752",
"1500000US170310103002","Block Group 2; Census Tract 103; Cook County; Illinois","80156","32086",
"1500000US170310103003","Block Group 3; Census Tract 103; Cook County; Illinois","50664","15491",
"1500000US170310103004","Block Group 4; Census Tract 103; Cook County; Illinois","70956","15611",
"1500000US170310104001","Block Group 1; Census Tract 104; Cook County; Illinois","69833","25608",
"1500000US170310104002","Block Group 2; Census Tract 104; Cook County; Illinois","49156","33579",
"1500000US170310104003","Block Group 3; Census Tract 104; Cook County; Illinois","-","**",
"1500000US170310105011","Block Group 1; Census Tract 105.01; Cook County; Illinois","22072","18896",
"1500000US170310105012","Block Group 2; Census Tract 105.01; Cook County; Illinois","47908","10052",
"1500000US170310105013","Block Group 3; Census Tract 105.01; Cook County; Illinois","58237","14607",
"1500000US170310105021","Block Group 1; Census Tract 105.02; Cook County; Illinois","62045","28266",
"1500000US170310105022","Block Group 2; Census Tract 105.02; Cook County; Illinois","50875","14115",
"1500000US170310105031","Block Group 1; Census Tract 105.03; Cook County; Illinois","14710","3577",
"1500000US170310105032","Block Group 2; Census Tract 105.03; Cook County; Illinois","-","**",
"1500000US170310106001","Block Group 1; Census Tract 106; Cook County; Illinois","73500","33333",
"1500000US170310106002","Block Group 2; Census Tract 106; Cook County; Illinois","110000","79884",
"1500000US170310106003","Block Group 3; Census Tract 106; Cook County; Illinois","59494","22863",
"1500000US170310106004","Block Group 4; Census Tract 106; Cook County; Illinois","65912","20391",
"1500000US170310107011","Block Group 1; Census Tract 107.01; Cook County; Illinois","64265","33491",
"1500000US170310107012","Block Group 2; Census Tract 107.01; Cook County; Illinois","71506","17438",
"1500000US170310107021","Block Group 1; Census Tract 107.02; Cook County; Illinois","44223","26571",
"1500000US170310107022","Block Group 2; Census Tract 107.02; Cook County; Illinois","53012","5720",
"1500000US170310107023","Block Group 3; Census Tract 107.02; Cook County; Illinois","46324","7978",
"1500000US170310107024","Block Group 4; Census Tract 107.02; Cook County; Illinois","68125","20950",
"1500000US170310201001","Block Group 1; Census Tract 201; Cook County; Illinois","81250","29500",
"1500000US170310201002","Block Group 2; Census Tract 201; Cook County; Illinois","45368","8057",
"1500000US170310202001","Block Group 1; Census Tract 202; Cook County; Illinois","116406","29688",
"1500000US170310202002","Block Group 2; Census Tract 202; Cook County; Illinois","82074","63442",
"1500000US170310202003","Block Group 3; Census Tract 202; Cook County; Illinois","140288","40963",
"1500000US170310202004","Block Group 4; Census Tract 202; Cook County; Illinois","145389","24155",
"1500000US170310203011","Block Group 1; Census Tract 203.01; Cook County; Illinois","66382","12362",
"1500000US170310203012","Block Group 2; Census Tract 203.01; Cook County; Illinois","87875","63091",
"1500000US170310203013","Block Group 3; Census Tract 203.01; Cook County; Illinois","82292","56611",
"1500000US170310203021","Block Group 1; Census Tract 203.02; Cook County; Illinois","83590","18663",
"1500000US170310203022","Block Group 2; Census Tract 203.02; Cook County; Illinois","95101","59822",
"1500000US170310203023","Block Group 3; Census Tract 203.02; Cook County; Illinois","84120","23124",
"1500000US170310204001","Block Group 1; Census Tract 204; Cook County; Illinois","76944","53014",
"1500000US170310204002","Block Group 2; Census Tract 204; Cook County; Illinois","87083","42091",
"1500000US170310204003","Block Group 3; Census Tract 204; Cook County; Illinois","70815","26994",
"1500000US170310205001","Block Group 1; Census Tract 205; Cook County; Illinois","42745","29690",
"1500000US170310205002","Block Group 2; Census Tract 205; Cook County; Illinois","73816","35606",
"1500000US170310205003","Block Group 3; Census Tract 205; Cook County; Illinois","26479","23673",
"1500000US170310205004","Block Group 4; Census Tract 205; Cook County; Illinois","-","**",
"1500000US170310206011","Block Group 1; Census Tract 206.01; Cook County; Illinois","114042","32147",
"1500000US170310206012","Block Group 2; Census Tract 206.01; Cook County; Illinois","58566","12119",
"1500000US170310206013","Block Group 3; Census Tract 206.01; Cook County; Illinois","50243","24753",
"1500000US170310206021","Block Group 1; Census Tract 206.02; Cook County; Illinois","63951","5886",
"1500000US170310206022","Block Group 2; Census Tract 206.02; Cook County; Illinois","75781","26117",
"1500000US170310206023","Block Group 3; Census Tract 206.02; Cook County; Illinois","83438","40809",
"1500000US170310206024","Block Group 4; Census Tract 206.02; Cook County; Illinois","-","**",
"1500000US170310207011","Block Group 1; Census Tract 207.01; Cook County; Illinois","65288","48910",
"1500000US170310207012","Block Group 2; Census Tract 207.01; Cook County; Illinois","115313","23338",
"1500000US170310207021","Block Group 1; Census Tract 207.02; Cook County; Illinois","71595","44772",
"1500000US170310207022","Block Group 2; Census Tract 207.02; Cook County; Illinois","58379","40085",
"1500000US170310207023","Block Group 3; Census Tract 207.02; Cook County; Illinois","56292","45332",
"1500000US170310207024","Block Group 4; Census Tract 207.02; Cook County; Illinois","84300","26292",
"1500000US170310208011","Block Group 1; Census Tract 208.01; Cook County; Illinois","57455","17719",
"1500000US170310208012","Block Group 2; Census Tract 208.01; Cook County; Illinois","86114","21758",
"1500000US170310208013","Block Group 3; Census Tract 208.01; Cook County; Illinois","89886","67666",
"1500000US170310208014","Block Group 4; Census Tract 208.01; Cook County; Illinois","36710","17668",
"1500000US170310208021","Block Group 1; Census Tract 208.02; Cook County; Illinois","108250","42666",
"1500000US170310208022","Block Group 2; Census Tract 208.02; Cook County; Illinois","56782","11944",
"1500000US170310208023","Block Group 3; Census Tract 208.02; Cook County; Illinois","59970","46250",
"1500000US170310208024","Block Group 4; Census Tract 208.02; Cook County; Illinois","-","**",
"1500000US170310209011","Block Group 1; Census Tract 209.01; Cook County; Illinois","47361","4862",
"1500000US170310209012","Block Group 2; Census Tract 209.01; Cook County; Illinois","44315","23551",
"1500000US170310209013","Block Group 3; Census Tract 209.01; Cook County; Illinois","59722","41670",
"1500000US170310209021","Block Group 1; Census Tract 209.02; Cook County; Illinois","46545","10431",
"1500000US170310209022","Block Group 2; Census Tract 209.02; Cook County; Illinois","52009","12930",
"1500000US170310301011","Block Group 1; Census Tract 301.01; Cook County; Illinois","-","**",
"1500000US170310301012","Block Group 2; Census Tract 301.01; Cook County; Illinois","42847","31516",
"1500000US170310301013","Block Group 3; Census Tract 301.01; Cook County; Illinois","41384","12618",
"1500000US170310301014","Block Group 4; Census Tract 301.01; Cook County; Illinois","82946","23127",
"1500000US170310301021","Block Group 1; Census Tract 301.02; Cook County; Illinois","68512","8415",
"1500000US170310301022","Block Group 2; Census Tract 301.02; Cook County; Illinois","46079","2897",
"1500000US170310301023","Block Group 3; Census Tract 301.02; Cook County; Illinois","58634","20631",
"1500000US170310301031","Block Group 1; Census Tract 301.03; Cook County; Illinois","39808","26648",
"1500000US170310301032","Block Group 2; Census Tract 301.03; Cook County; Illinois","55500","13248",
"1500000US170310301041","Block Group 1; Census Tract 301.04; Cook County; Illinois","65192","13802",
"1500000US170310301042","Block Group 2; Census Tract 301.04; Cook County; Illinois","30099","8293",
"1500000US170310302001","Block Group 1; Census Tract 302; Cook County; Illinois","72734","22207",
"1500000US170310302002","Block Group 2; Census Tract 302; Cook County; Illinois","56875","24832",
"1500000US170310302003","Block Group 3; Census Tract 302; Cook County; Illinois","203676","30638",
"1500000US170310302004","Block Group 4; Census Tract 302; Cook County; Illinois","102294","34634",
"1500000US170310303001","Block Group 1; Census Tract 303; Cook County; Illinois","77984","24189",
"1500000US170310303002","Block Group 2; Census Tract 303; Cook County; Illinois","54882","43105",
"1500000US170310304001","Block Group 1; Census Tract 304; Cook County; Illinois","82396","34871",
"1500000US170310304002","Block Group 2; Census Tract 304; Cook County; Illinois","106858","23924",
"1500000US170310305001","Block Group 1; Census Tract 305; Cook County; Illinois","125417","31024",
"1500000US170310305002","Block Group 2; Census Tract 305; Cook County; Illinois","116071","18596",
"1500000US170310305003","Block Group 3; Census Tract 305; Cook County; Illinois","103889","31945",
"1500000US170310305004","Block Group 4; Census Tract 305; Cook County; Illinois","100114","13269",
"1500000US170310306011","Block Group 1; Census Tract 306.01; Cook County; Illinois","56095","13612",
"1500000US170310306012","Block Group 2; Census Tract 306.01; Cook County; Illinois","35492","26875",
"1500000US170310306013","Block Group 3; Census Tract 306.01; Cook County; Illinois","53077","25077",
"1500000US170310306031","Block Group 1; Census Tract 306.03; Cook County; Illinois","74318","36695",
"1500000US170310306032","Block Group 2; Census Tract 306.03; Cook County; Illinois","51167","6323",
"1500000US170310306041","Block Group 1; Census Tract 306.04; Cook County; Illinois","60208","17106",
"1500000US170310306042","Block Group 2; Census Tract 306.04; Cook County; Illinois","70284","16531",
"1500000US170310306043","Block Group 3; Census Tract 306.04; Cook County; Illinois","30429","25149",
"1500000US170310307011","Block Group 1; Census Tract 307.01; Cook County; Illinois","47614","19894",
"1500000US170310307021","Block Group 1; Census Tract 307.02; Cook County; Illinois","69042","35756",
"1500000US170310307022","Block Group 2; Census Tract 307.02; Cook County; Illinois","69063","28464",
"1500000US170310307031","Block Group 1; Census Tract 307.03; Cook County; Illinois","-","**",
"1500000US170310307032","Block Group 2; Census Tract 307.03; Cook County; Illinois","15281","1902",
"1500000US170310307033","Block Group 3; Census Tract 307.03; Cook County; Illinois","81381","9649",
"1500000US170310307061","Block Group 1; Census Tract 307.06; Cook County; Illinois","45774","3664",
"1500000US170310307062","Block Group 2; Census Tract 307.06; Cook County; Illinois","93397","14307",
"1500000US170310308001","Block Group 1; Census Tract 308; Cook County; Illinois","88333","33173",
"1500000US170310308002","Block Group 2; Census Tract 308; Cook County; Illinois","101346","31721",
"1500000US170310308003","Block Group 3; Census Tract 308; Cook County; Illinois","101367","42551",
"1500000US170310308004","Block Group 4; Census Tract 308; Cook County; Illinois","94643","30359",
"1500000US170310309001","Block Group 1; Census Tract 309; Cook County; Illinois","109258","45663",
"1500000US170310309002","Block Group 2; Census Tract 309; Cook County; Illinois","96750","45228",
"1500000US170310309003","Block Group 3; Census Tract 309; Cook County; Illinois","-","**",
"1500000US170310309004","Block Group 4; Census Tract 309; Cook County; Illinois","115938","47932",
"1500000US170310310001","Block Group 1; Census Tract 310; Cook County; Illinois","121859","58559",
"1500000US170310310002","Block Group 2; Census Tract 310; Cook County; Illinois","140625","33255",
"1500000US170310310003","Block Group 3; Census Tract 310; Cook County; Illinois","100167","35752",
"1500000US170310311001","Block Group 1; Census Tract 311; Cook County; Illinois","96673","13513",
"1500000US170310311002","Block Group 2; Census Tract 311; Cook County; Illinois","69669","54433",
"1500000US170310311003","Block Group 3; Census Tract 311; Cook County; Illinois","74065","7211",
"1500000US170310312001","Block Group 1; Census Tract 312; Cook County; Illinois","60683","6523",
"1500000US170310312002","Block Group 2; Census Tract 312; Cook County; Illinois","24599","22403",
"1500000US170310312003","Block Group 3; Census Tract 312; Cook County; Illinois","16202","3848",
"1500000US170310312004","Block Group 4; Census Tract 312; Cook County; Illinois","17188","12578",
"1500000US170310313001","Block Group 1; Census Tract 313; Cook County; Illinois","46270","28111",
"1500000US170310313002","Block Group 2; Census Tract 313; Cook County; Illinois","68448","17106",
"1500000US170310313003","Block Group 3; Census Tract 313; Cook County; Illinois","100563","52373",
"1500000US170310313004","Block Group 4; Census Tract 313; Cook County; Illinois","54518","40625",
"1500000US170310313005","Block Group 5; Census Tract 313; Cook County; Illinois","64563","15437",
"1500000US170310314001","Block Group 1; Census Tract 314; Cook County; Illinois","95495","39210",
"1500000US170310314002","Block Group 2; Census Tract 314; Cook County; Illinois","68924","13844",
"1500000US170310314003","Block Group 3; Census Tract 314; Cook County; Illinois","82946","26524",
"1500000US170310314004","Block Group 4; Census Tract 314; Cook County; Illinois","87636","15038",
"1500000US170310314005","Block Group 5; Census Tract 314; Cook County; Illinois","-","**",
"1500000US170310315011","Block Group 1; Census Tract 315.01; Cook County; Illinois","22804","10490",
"1500000US170310315012","Block Group 2; Census Tract 315.01; Cook County; Illinois","53931","14491",
"1500000US170310315013","Block Group 3; Census Tract 315.01; Cook County; Illinois","50000","17766",
"1500000US170310315021","Block Group 1; Census Tract 315.02; Cook County; Illinois","60434","26565",
"1500000US170310315022","Block Group 2; Census Tract 315.02; Cook County; Illinois","46317","10076",
"1500000US170310315023","Block Group 3; Census Tract 315.02; Cook County; Illinois","24926","21514",
"1500000US170310317001","Block Group 1; Census Tract 317; Cook County; Illinois","77989","28284",
"1500000US170310317002","Block Group 2; Census Tract 317; Cook County; Illinois","77279","29682",
"1500000US170310317003","Block Group 3; Census Tract 317; Cook County; Illinois","81500","41190",
"1500000US170310317004","Block Group 4; Census Tract 317; Cook County; Illinois","89464","15929",
"1500000US170310318001","Block Group 1; Census Tract 318; Cook County; Illinois","80873","5684",
"1500000US170310319001","Block Group 1; Census Tract 319; Cook County; Illinois","86192","18882",
"1500000US170310319002","Block Group 2; Census Tract 319; Cook County; Illinois","114028","47031",
"1500000US170310321001","Block Group 1; Census Tract 321; Cook County; Illinois","82448","23725",
"1500000US170310321002","Block Group 2; Census Tract 321; Cook County; Illinois","73864","37252",
"1500000US170310321003","Block Group 3; Census Tract 321; Cook County; Illinois","65428","36123",
"1500000US170310321004","Block Group 4; Census Tract 321; Cook County; Illinois","-","**",
"1500000US170310321005","Block Group 5; Census Tract 321; Cook County; Illinois","140217","109542",
"1500000US170310401001","Block Group 1; Census Tract 401; Cook County; Illinois","113929","50434",
"1500000US170310401002","Block Group 2; Census Tract 401; Cook County; Illinois","70050","23024",
"1500000US170310401003","Block Group 3; Census Tract 401; Cook County; Illinois","128182","32587",
"1500000US170310402011","Block Group 1; Census Tract 402.01; Cook County; Illinois","103606","59974",
"1500000US170310402012","Block Group 2; Census Tract 402.01; Cook County; Illinois","70337","13858",
"1500000US170310402013","Block Group 3; Census Tract 402.01; Cook County; Illinois","99539","11098",
"1500000US170310402014","Block Group 4; Census Tract 402.01; Cook County; Illinois","114783","20465",
"1500000US170310402021","Block Group 1; Census Tract 402.02; Cook County; Illinois","-","**",
"1500000US170310402022","Block Group 2; Census Tract 402.02; Cook County; Illinois","67500","36602",
"1500000US170310402023","Block Group 3; Census Tract 402.02; Cook County; Illinois","-","**",
"1500000US170310402024","Block Group 4; Census Tract 402.02; Cook County; Illinois","61179","11813",
"1500000US170310403001","Block Group 1; Census Tract 403; Cook County; Illinois","149541","36869",
"1500000US170310403002","Block Group 2; Census Tract 403; Cook County; Illinois","66806","6926",
"1500000US170310403003","Block Group 3; Census Tract 403; Cook County; Illinois","118456","38107",
"1500000US170310404011","Block Group 1; Census Tract 404.01; Cook County; Illinois","88125","46271",
"1500000US170310404012","Block Group 2; Census Tract 404.01; Cook County; Illinois","137969","116380",
"1500000US170310404013","Block Group 3; Census Tract 404.01; Cook County; Illinois","98125","31761",
"1500000US170310404014","Block Group 4; Census Tract 404.01; Cook County; Illinois","117250","50324",
"1500000US170310404021","Block Group 1; Census Tract 404.02; Cook County; Illinois","80486","29029",
"1500000US170310404022","Block Group 2; Census Tract 404.02; Cook County; Illinois","101365","24485",
"1500000US170310404023","Block Group 3; Census Tract 404.02; Cook County; Illinois","99706","23376",
"1500000US170310404024","Block Group 4; Census Tract 404.02; Cook County; Illinois","42244","35597",
"1500000US170310404025","Block Group 5; Census Tract 404.02; Cook County; Illinois","105089","27869",
"1500000US170310406001","Block Group 1; Census Tract 406; Cook County; Illinois","-","**",
"1500000US170310406002","Block Group 2; Census Tract 406; Cook County; Illinois","83400","42135",
"1500000US170310406003","Block Group 3; Census Tract 406; Cook County; Illinois","99542","42803",
"1500000US170310407001","Block Group 1; Census Tract 407; Cook County; Illinois","97308","24711",
"1500000US170310407002","Block Group 2; Census Tract 407; Cook County; Illinois","126051","30019",
"1500000US170310407003","Block Group 3; Census Tract 407; Cook County; Illinois","141094","33097",
"1500000US170310407004","Block Group 4; Census Tract 407; Cook County; Illinois","90526","26394",
"1500000US170310408001","Block Group 1; Census Tract 408; Cook County; Illinois","127841","27332",
"1500000US170310408002","Block Group 2; Census Tract 408; Cook County; Illinois","90139","27876",
"1500000US170310409001","Block Group 1; Census Tract 409; Cook County; Illinois","60114","26867",
"1500000US170310409002","Block Group 2; Census Tract 409; Cook County; Illinois","99063","29955",
"1500000US170310501001","Block Group 1; Census Tract 501; Cook County; Illinois","113906","20651",
"1500000US170310501002","Block Group 2; Census Tract 501; Cook County; Illinois","143021","65606",
"1500000US170310502001","Block Group 1; Census Tract 502; Cook County; Illinois","225902","105976",
"1500000US170310502002","Block Group 2; Census Tract 502; Cook County; Illinois","164960","55300",
"1500000US170310502003","Block Group 3; Census Tract 502; Cook County; Illinois","99219","27650",
"1500000US170310503001","Block Group 1; Census Tract 503; Cook County; Illinois","98750","51008",
"1500000US170310503002","Block Group 2; Census Tract 503; Cook County; Illinois","222763","56088",
"1500000US170310503003","Block Group 3; Census Tract 503; Cook County; Illinois","238750","88447",
"1500000US170310505001","Block Group 1; Census Tract 505; Cook County; Illinois","117917","78300",
"1500000US170310505002","Block Group 2; Census Tract 505; Cook County; Illinois","130750","13920",
"1500000US170310505003","Block Group 3; Census Tract 505; Cook County; Illinois","192686","89155",
"1500000US170310505004","Block Group 4; Census Tract 505; Cook County; Illinois","180250","106770",
"1500000US170310505005","Block Group 5; Census Tract 505; Cook County; Illinois","149808","72473",
"1500000US170310506001","Block Group 1; Census Tract 506; Cook County; Illinois","102639","50294",
"1500000US170310506002","Block Group 2; Census Tract 506; Cook County; Illinois","123173","30178",
"1500000US170310507001","Block Group 1; Census Tract 507; Cook County; Illinois","125438","16956",
"1500000US170310508001","Block Group 1; Census Tract 508; Cook County; Illinois","172888","47516",
"1500000US170310509001","Block Group 1; Census Tract 509; Cook County; Illinois","130769","10257",
"1500000US170310510001","Block Group 1; Census Tract 510; Cook County; Illinois","180500","36939",
"1500000US170310511001","Block Group 1; Census Tract 511; Cook County; Illinois","159145","86370",
"1500000US170310512001","Block Group 1; Census Tract 512; Cook County; Illinois","152188","56296",
"1500000US170310512002","Block Group 2; Census Tract 512; Cook County; Illinois","208056","41238",
"1500000US170310513001","Block Group 1; Census Tract 513; Cook County; Illinois","175625","77218",
"1500000US170310513002","Block Group 2; Census Tract 513; Cook County; Illinois","235054","33389",
"1500000US170310514001","Block Group 1; Census Tract 514; Cook County; Illinois","172264","18153",
"1500000US170310514002","Block Group 2; Census Tract 514; Cook County; Illinois","135463","17243",
"1500000US170310601001","Block Group 1; Census Tract 601; Cook County; Illinois","140556","112922",
"1500000US170310601002","Block Group 2; Census Tract 601; Cook County; Illinois","108125","76488",
"1500000US170310601003","Block Group 3; Census Tract 601; Cook County; Illinois","151406","65937",
"1500000US170310602001","Block Group 1; Census Tract 602; Cook County; Illinois","78500","35996",
"1500000US170310602002","Block Group 2; Census Tract 602; Cook County; Illinois","118750","57127",
"1500000US170310603001","Block Group 1; Census Tract 603; Cook County; Illinois","189444","66899",
"1500000US170310603002","Block Group 2; Census Tract 603; Cook County; Illinois","103319","59019",
"1500000US170310604001","Block Group 1; Census Tract 604; Cook County; Illinois","127361","59735",
"1500000US170310604002","Block Group 2; Census Tract 604; Cook County; Illinois","152300","86237",
"1500000US170310604003","Block Group 3; Census Tract 604; Cook County; Illinois","197745","34989",
"1500000US170310605001","Block Group 1; Census Tract 605; Cook County; Illinois","54250","51719",
"1500000US170310608001","Block Group 1; Census Tract 608; Cook County; Illinois","98506","16109",
"1500000US170310608002","Block Group 2; Census Tract 608; Cook County; Illinois","-","**",
