"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US481130001001","Block Group 1; Census Tract 1; Dallas County; Texas","84919","20975",
"1500000US481130001002","Block Group 2; Census Tract 1; Dallas County; Texas","88958","29175",
"1500000US481130001003","Block Group 3; Census Tract 1; Dallas County; Texas","250,000+","***",
"1500000US481130002011","Block Group 1; Census Tract 2.01; Dallas County; Texas","153947","52201",
"1500000US481130002012","Block Group 2; Census Tract 2.01; Dallas County; Texas","192361","55269",
"1500000US481130002013","Block Group 3; Census Tract 2.01; Dallas County; Texas","248500","103811",
"1500000US481130002021","Block Group 1; Census Tract 2.02; Dallas County; Texas","189904","97294",
"1500000US481130002022","Block Group 2; Census Tract 2.02; Dallas County; Texas","146667","29173",
"1500000US481130002023","Block Group 3; Census Tract 2.02; Dallas County; Texas","140125","35503",
"1500000US481130003001","Block Group 1; Census Tract 3; Dallas County; Texas","92130","25835",
"1500000US481130003002","Block Group 2; Census Tract 3; Dallas County; Texas","123403","97766",
"1500000US481130003003","Block Group 3; Census Tract 3; Dallas County; Texas","163904","93694",
"1500000US481130003004","Block Group 4; Census Tract 3; Dallas County; Texas","89439","22207",
"1500000US481130004011","Block Group 1; Census Tract 4.01; Dallas County; Texas","45093","23773",
"1500000US481130004012","Block Group 2; Census Tract 4.01; Dallas County; Texas","81761","26849",
"1500000US481130004013","Block Group 3; Census Tract 4.01; Dallas County; Texas","-","**",
"1500000US481130004014","Block Group 4; Census Tract 4.01; Dallas County; Texas","62679","15215",
"1500000US481130004051","Block Group 1; Census Tract 4.05; Dallas County; Texas","65033","18376",
"1500000US481130004052","Block Group 2; Census Tract 4.05; Dallas County; Texas","47361","21935",
"1500000US481130004071","Block Group 1; Census Tract 4.07; Dallas County; Texas","51743","5168",
"1500000US481130004072","Block Group 2; Census Tract 4.07; Dallas County; Texas","47429","11769",
"1500000US481130004081","Block Group 1; Census Tract 4.08; Dallas County; Texas","68274","5259",
"1500000US481130004082","Block Group 2; Census Tract 4.08; Dallas County; Texas","86415","23200",
"1500000US481130004091","Block Group 1; Census Tract 4.09; Dallas County; Texas","-","**",
"1500000US481130004092","Block Group 2; Census Tract 4.09; Dallas County; Texas","69292","15339",
"1500000US481130004101","Block Group 1; Census Tract 4.10; Dallas County; Texas","145156","136594",
"1500000US481130004102","Block Group 2; Census Tract 4.10; Dallas County; Texas","65739","31177",
"1500000US481130004103","Block Group 3; Census Tract 4.10; Dallas County; Texas","43882","12706",
"1500000US481130005011","Block Group 1; Census Tract 5.01; Dallas County; Texas","84152","38247",
"1500000US481130005012","Block Group 2; Census Tract 5.01; Dallas County; Texas","68705","27386",
"1500000US481130005021","Block Group 1; Census Tract 5.02; Dallas County; Texas","93458","67155",
"1500000US481130005022","Block Group 2; Census Tract 5.02; Dallas County; Texas","153525","36498",
"1500000US481130005031","Block Group 1; Census Tract 5.03; Dallas County; Texas","65341","29722",
"1500000US481130005032","Block Group 2; Census Tract 5.03; Dallas County; Texas","105025","70330",
"1500000US481130006051","Block Group 1; Census Tract 6.05; Dallas County; Texas","82273","38710",
"1500000US481130006052","Block Group 2; Census Tract 6.05; Dallas County; Texas","126389","40579",
"1500000US481130006053","Block Group 3; Census Tract 6.05; Dallas County; Texas","113864","39967",
"1500000US481130006061","Block Group 1; Census Tract 6.06; Dallas County; Texas","125083","43687",
"1500000US481130006062","Block Group 2; Census Tract 6.06; Dallas County; Texas","121292","38809",
"1500000US481130006063","Block Group 3; Census Tract 6.06; Dallas County; Texas","170556","41981",
"1500000US481130006071","Block Group 1; Census Tract 6.07; Dallas County; Texas","69485","54005",
"1500000US481130006072","Block Group 2; Census Tract 6.07; Dallas County; Texas","117351","32023",
"1500000US481130006081","Block Group 1; Census Tract 6.08; Dallas County; Texas","79137","33291",
"1500000US481130006082","Block Group 2; Census Tract 6.08; Dallas County; Texas","-","**",
"1500000US481130006091","Block Group 1; Census Tract 6.09; Dallas County; Texas","92083","30103",
