"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US261635001001","Block Group 1; Census Tract 5001; Wayne County; Michigan","47864","28155",
"1500000US261635001002","Block Group 2; Census Tract 5001; Wayne County; Michigan","44559","10381",
"1500000US261635002001","Block Group 1; Census Tract 5002; Wayne County; Michigan","76375","33779",
"1500000US261635002002","Block Group 2; Census Tract 5002; Wayne County; Michigan","41172","13413",
"1500000US261635003001","Block Group 1; Census Tract 5003; Wayne County; Michigan","44688","12082",
"1500000US261635003002","Block Group 2; Census Tract 5003; Wayne County; Michigan","34421","10818",
"1500000US261635004001","Block Group 1; Census Tract 5004; Wayne County; Michigan","16765","5104",
"1500000US261635004002","Block Group 2; Census Tract 5004; Wayne County; Michigan","34335","22945",
"1500000US261635004003","Block Group 3; Census Tract 5004; Wayne County; Michigan","-","**",
"1500000US261635005001","Block Group 1; Census Tract 5005; Wayne County; Michigan","48512","14687",
"1500000US261635005002","Block Group 2; Census Tract 5005; Wayne County; Michigan","45895","2063",
"1500000US261635006001","Block Group 1; Census Tract 5006; Wayne County; Michigan","44223","43679",
"1500000US261635006002","Block Group 2; Census Tract 5006; Wayne County; Michigan","48934","22636",
"1500000US261635006003","Block Group 3; Census Tract 5006; Wayne County; Michigan","44092","6001",
"1500000US261635006004","Block Group 4; Census Tract 5006; Wayne County; Michigan","-","**",
"1500000US261635007001","Block Group 1; Census Tract 5007; Wayne County; Michigan","56923","19954",
"1500000US261635007002","Block Group 2; Census Tract 5007; Wayne County; Michigan","49031","14588",
"1500000US261635007003","Block Group 3; Census Tract 5007; Wayne County; Michigan","-","**",
"1500000US261635007004","Block Group 4; Census Tract 5007; Wayne County; Michigan","-","**",
"1500000US261635008001","Block Group 1; Census Tract 5008; Wayne County; Michigan","28826","8020",
"1500000US261635008002","Block Group 2; Census Tract 5008; Wayne County; Michigan","33458","16823",
"1500000US261635009001","Block Group 1; Census Tract 5009; Wayne County; Michigan","-","**",
"1500000US261635009002","Block Group 2; Census Tract 5009; Wayne County; Michigan","44041","24382",
"1500000US261635010001","Block Group 1; Census Tract 5010; Wayne County; Michigan","26136","11777",
"1500000US261635010002","Block Group 2; Census Tract 5010; Wayne County; Michigan","39539","17755",
"1500000US261635011001","Block Group 1; Census Tract 5011; Wayne County; Michigan","33942","20979",
"1500000US261635011002","Block Group 2; Census Tract 5011; Wayne County; Michigan","38815","12672",
"1500000US261635011003","Block Group 3; Census Tract 5011; Wayne County; Michigan","34494","16480",
"1500000US261635011004","Block Group 4; Census Tract 5011; Wayne County; Michigan","43529","33217",
"1500000US261635012001","Block Group 1; Census Tract 5012; Wayne County; Michigan","27847","8424",
"1500000US261635013001","Block Group 1; Census Tract 5013; Wayne County; Michigan","44231","13133",
"1500000US261635013002","Block Group 2; Census Tract 5013; Wayne County; Michigan","-","**",
"1500000US261635013003","Block Group 3; Census Tract 5013; Wayne County; Michigan","59273","14348",
"1500000US261635014001","Block Group 1; Census Tract 5014; Wayne County; Michigan","68182","37292",
"1500000US261635014002","Block Group 2; Census Tract 5014; Wayne County; Michigan","36023","33708",
"1500000US261635014003","Block Group 3; Census Tract 5014; Wayne County; Michigan","87411","44483",
"1500000US261635015001","Block Group 1; Census Tract 5015; Wayne County; Michigan","41681","22077",
"1500000US261635015002","Block Group 2; Census Tract 5015; Wayne County; Michigan","-","**",
"1500000US261635015003","Block Group 3; Census Tract 5015; Wayne County; Michigan","34444","23212",
"1500000US261635016001","Block Group 1; Census Tract 5016; Wayne County; Michigan","22158","21935",
"1500000US261635016002","Block Group 2; Census Tract 5016; Wayne County; Michigan","-","**",
"1500000US261635017001","Block Group 1; Census Tract 5017; Wayne County; Michigan","33293","8279",
"1500000US261635017002","Block Group 2; Census Tract 5017; Wayne County; Michigan","33984","19643",
