"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US484391001011","Block Group 1; Census Tract 1001.01; Tarrant County; Texas","62433","12531",
"1500000US484391001012","Block Group 2; Census Tract 1001.01; Tarrant County; Texas","42232","12900",
"1500000US484391001013","Block Group 3; Census Tract 1001.01; Tarrant County; Texas","51936","1967",
"1500000US484391001021","Block Group 1; Census Tract 1001.02; Tarrant County; Texas","67647","12957",
"1500000US484391001022","Block Group 2; Census Tract 1001.02; Tarrant County; Texas","76143","12609",
"1500000US484391001023","Block Group 3; Census Tract 1001.02; Tarrant County; Texas","43837","4971",
"1500000US484391002011","Block Group 1; Census Tract 1002.01; Tarrant County; Texas","55525","12842",
"1500000US484391002012","Block Group 2; Census Tract 1002.01; Tarrant County; Texas","56537","7422",
"1500000US484391002013","Block Group 3; Census Tract 1002.01; Tarrant County; Texas","-","**",
"1500000US484391002021","Block Group 1; Census Tract 1002.02; Tarrant County; Texas","75262","25687",
"1500000US484391002022","Block Group 2; Census Tract 1002.02; Tarrant County; Texas","35970","18433",
"1500000US484391002023","Block Group 3; Census Tract 1002.02; Tarrant County; Texas","47115","20314",
"1500000US484391003001","Block Group 1; Census Tract 1003; Tarrant County; Texas","29415","11001",
"1500000US484391003002","Block Group 2; Census Tract 1003; Tarrant County; Texas","53009","19162",
"1500000US484391003003","Block Group 3; Census Tract 1003; Tarrant County; Texas","97125","93023",
"1500000US484391003004","Block Group 4; Census Tract 1003; Tarrant County; Texas","45938","18497",
"1500000US484391004011","Block Group 1; Census Tract 1004.01; Tarrant County; Texas","34577","17419",
"1500000US484391004021","Block Group 1; Census Tract 1004.02; Tarrant County; Texas","57188","40032",
"1500000US484391004022","Block Group 2; Census Tract 1004.02; Tarrant County; Texas","26061","21657",
"1500000US484391004023","Block Group 3; Census Tract 1004.02; Tarrant County; Texas","66458","11553",
"1500000US484391005031","Block Group 1; Census Tract 1005.03; Tarrant County; Texas","69295","16695",
"1500000US484391005041","Block Group 1; Census Tract 1005.04; Tarrant County; Texas","36533","11935",
"1500000US484391005042","Block Group 2; Census Tract 1005.04; Tarrant County; Texas","71563","25651",
"1500000US484391005051","Block Group 1; Census Tract 1005.05; Tarrant County; Texas","31799","15051",
"1500000US484391005052","Block Group 2; Census Tract 1005.05; Tarrant County; Texas","52386","30797",
"1500000US484391005061","Block Group 1; Census Tract 1005.06; Tarrant County; Texas","53924","4068",
"1500000US484391005062","Block Group 2; Census Tract 1005.06; Tarrant County; Texas","54568","20176",
"1500000US484391005063","Block Group 3; Census Tract 1005.06; Tarrant County; Texas","64056","27550",
"1500000US484391006011","Block Group 1; Census Tract 1006.01; Tarrant County; Texas","66310","7655",
"1500000US484391006012","Block Group 2; Census Tract 1006.01; Tarrant County; Texas","-","**",
"1500000US484391006021","Block Group 1; Census Tract 1006.02; Tarrant County; Texas","103971","7927",
"1500000US484391006022","Block Group 2; Census Tract 1006.02; Tarrant County; Texas","51944","19075",
"1500000US484391006023","Block Group 3; Census Tract 1006.02; Tarrant County; Texas","30682","21396",
"1500000US484391006024","Block Group 4; Census Tract 1006.02; Tarrant County; Texas","-","**",
"1500000US484391007001","Block Group 1; Census Tract 1007; Tarrant County; Texas","63363","18462",
"1500000US484391007002","Block Group 2; Census Tract 1007; Tarrant County; Texas","72599","57745",
"1500000US484391007003","Block Group 3; Census Tract 1007; Tarrant County; Texas","35573","20649",
"1500000US484391007004","Block Group 4; Census Tract 1007; Tarrant County; Texas","90577","25464",
"1500000US484391008001","Block Group 1; Census Tract 1008; Tarrant County; Texas","60052","17446",
"1500000US484391008002","Block Group 2; Census Tract 1008; Tarrant County; Texas","62083","24018",
"1500000US484391008003","Block Group 3; Census Tract 1008; Tarrant County; Texas","57200","24068",
"1500000US484391009001","Block Group 1; Census Tract 1009; Tarrant County; Texas","35263","11750",
"1500000US484391012011","Block Group 1; Census Tract 1012.01; Tarrant County; Texas","76420","23632",
"1500000US484391012021","Block Group 1; Census Tract 1012.02; Tarrant County; Texas","65924","11543",
"1500000US484391012022","Block Group 2; Census Tract 1012.02; Tarrant County; Texas","49186","16973",
"1500000US484391012023","Block Group 3; Census Tract 1012.02; Tarrant County; Texas","52283","9969",
"1500000US484391013011","Block Group 1; Census Tract 1013.01; Tarrant County; Texas","76250","24701",
"1500000US484391013012","Block Group 2; Census Tract 1013.01; Tarrant County; Texas","28631","6606",
"1500000US484391013013","Block Group 3; Census Tract 1013.01; Tarrant County; Texas","66108","20539",
"1500000US484391013021","Block Group 1; Census Tract 1013.02; Tarrant County; Texas","67589","14272",
"1500000US484391013022","Block Group 2; Census Tract 1013.02; Tarrant County; Texas","-","**",
"1500000US484391014011","Block Group 1; Census Tract 1014.01; Tarrant County; Texas","-","**",
"1500000US484391014012","Block Group 2; Census Tract 1014.01; Tarrant County; Texas","58875","36040",
"1500000US484391014013","Block Group 3; Census Tract 1014.01; Tarrant County; Texas","51193","20850",
"1500000US484391014014","Block Group 4; Census Tract 1014.01; Tarrant County; Texas","84583","41665",
"1500000US484391014015","Block Group 5; Census Tract 1014.01; Tarrant County; Texas","80515","59880",
"1500000US484391014021","Block Group 1; Census Tract 1014.02; Tarrant County; Texas","68594","41045",
"1500000US484391014022","Block Group 2; Census Tract 1014.02; Tarrant County; Texas","64309","16613",
"1500000US484391014031","Block Group 1; Census Tract 1014.03; Tarrant County; Texas","57240","33943",
"1500000US484391014032","Block Group 2; Census Tract 1014.03; Tarrant County; Texas","45139","41554",
"1500000US484391014033","Block Group 3; Census Tract 1014.03; Tarrant County; Texas","36898","19920",
