"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US180973101041","Block Group 1; Census Tract 3101.04; Marion County; Indiana","-","**",
"1500000US180973101042","Block Group 2; Census Tract 3101.04; Marion County; Indiana","83304","9894",
"1500000US180973101043","Block Group 3; Census Tract 3101.04; Marion County; Indiana","54557","3793",
"1500000US180973101051","Block Group 1; Census Tract 3101.05; Marion County; Indiana","35074","12582",
"1500000US180973101052","Block Group 2; Census Tract 3101.05; Marion County; Indiana","86136","39474",
"1500000US180973101053","Block Group 3; Census Tract 3101.05; Marion County; Indiana","57130","19191",
"1500000US180973101061","Block Group 1; Census Tract 3101.06; Marion County; Indiana","53010","15139",
"1500000US180973101062","Block Group 2; Census Tract 3101.06; Marion County; Indiana","126300","1191",
"1500000US180973101063","Block Group 3; Census Tract 3101.06; Marion County; Indiana","46414","24757",
"1500000US180973101081","Block Group 1; Census Tract 3101.08; Marion County; Indiana","136042","35099",
"1500000US180973101082","Block Group 2; Census Tract 3101.08; Marion County; Indiana","138571","48800",
"1500000US180973101101","Block Group 1; Census Tract 3101.10; Marion County; Indiana","57311","8714",
"1500000US180973101102","Block Group 2; Census Tract 3101.10; Marion County; Indiana","61591","12660",
"1500000US180973101111","Block Group 1; Census Tract 3101.11; Marion County; Indiana","57708","14645",
"1500000US180973101112","Block Group 2; Census Tract 3101.11; Marion County; Indiana","44520","10766",
"1500000US180973101113","Block Group 3; Census Tract 3101.11; Marion County; Indiana","61250","31530",
"1500000US180973101121","Block Group 1; Census Tract 3101.12; Marion County; Indiana","114063","39316",
"1500000US180973101122","Block Group 2; Census Tract 3101.12; Marion County; Indiana","149215","12545",
"1500000US180973101123","Block Group 3; Census Tract 3101.12; Marion County; Indiana","158176","49907",
"1500000US180973101124","Block Group 4; Census Tract 3101.12; Marion County; Indiana","155954","13556",
"1500000US180973101131","Block Group 1; Census Tract 3101.13; Marion County; Indiana","124375","55076",
"1500000US180973102011","Block Group 1; Census Tract 3102.01; Marion County; Indiana","48210","16798",
"1500000US180973102012","Block Group 2; Census Tract 3102.01; Marion County; Indiana","62305","29599",
"1500000US180973102013","Block Group 3; Census Tract 3102.01; Marion County; Indiana","138636","73292",
"1500000US180973102014","Block Group 4; Census Tract 3102.01; Marion County; Indiana","88650","37797",
"1500000US180973102031","Block Group 1; Census Tract 3102.03; Marion County; Indiana","31707","18427",
"1500000US180973102032","Block Group 2; Census Tract 3102.03; Marion County; Indiana","134792","23661",
"1500000US180973102033","Block Group 3; Census Tract 3102.03; Marion County; Indiana","69900","49334",
"1500000US180973102034","Block Group 4; Census Tract 3102.03; Marion County; Indiana","58417","26226",
"1500000US180973102041","Block Group 1; Census Tract 3102.04; Marion County; Indiana","104191","3447",
"1500000US180973102042","Block Group 2; Census Tract 3102.04; Marion County; Indiana","10833","4408",
"1500000US180973102043","Block Group 3; Census Tract 3102.04; Marion County; Indiana","70556","45600",
"1500000US180973102044","Block Group 4; Census Tract 3102.04; Marion County; Indiana","96042","24585",
"1500000US180973103051","Block Group 1; Census Tract 3103.05; Marion County; Indiana","40709","6446",
"1500000US180973103052","Block Group 2; Census Tract 3103.05; Marion County; Indiana","39216","17378",
"1500000US180973103053","Block Group 3; Census Tract 3103.05; Marion County; Indiana","38750","34588",
"1500000US180973103054","Block Group 4; Census Tract 3103.05; Marion County; Indiana","90588","62955",
"1500000US180973103055","Block Group 5; Census Tract 3103.05; Marion County; Indiana","45552","22626",
"1500000US180973103061","Block Group 1; Census Tract 3103.06; Marion County; Indiana","43750","19040",
"1500000US180973103062","Block Group 2; Census Tract 3103.06; Marion County; Indiana","-","**",
"1500000US180973103063","Block Group 3; Census Tract 3103.06; Marion County; Indiana","68201","26254",
"1500000US180973103064","Block Group 4; Census Tract 3103.06; Marion County; Indiana","58937","14971",
"1500000US180973103081","Block Group 1; Census Tract 3103.08; Marion County; Indiana","74375","27009",
"1500000US180973103082","Block Group 2; Census Tract 3103.08; Marion County; Indiana","54643","21207",
"1500000US180973103091","Block Group 1; Census Tract 3103.09; Marion County; Indiana","53250","22982",
"1500000US180973103092","Block Group 2; Census Tract 3103.09; Marion County; Indiana","53979","6525",
"1500000US180973103093","Block Group 3; Census Tract 3103.09; Marion County; Indiana","36911","11386",
"1500000US180973103101","Block Group 1; Census Tract 3103.10; Marion County; Indiana","65938","17865",
"1500000US180973103102","Block Group 2; Census Tract 3103.10; Marion County; Indiana","89654","4882",
"1500000US180973103111","Block Group 1; Census Tract 3103.11; Marion County; Indiana","57478","20619",
"1500000US180973103112","Block Group 2; Census Tract 3103.11; Marion County; Indiana","88839","28356",
"1500000US180973103113","Block Group 3; Census Tract 3103.11; Marion County; Indiana","90707","16278",
"1500000US180973103121","Block Group 1; Census Tract 3103.12; Marion County; Indiana","54821","10399",
"1500000US180973103122","Block Group 2; Census Tract 3103.12; Marion County; Indiana","31011","17226",
"1500000US180973103123","Block Group 3; Census Tract 3103.12; Marion County; Indiana","77339","49636",
"1500000US180973103124","Block Group 4; Census Tract 3103.12; Marion County; Indiana","46250","25834",
"1500000US180973201051","Block Group 1; Census Tract 3201.05; Marion County; Indiana","93958","10855",
"1500000US180973201052","Block Group 2; Census Tract 3201.05; Marion County; Indiana","59089","18118",
"1500000US180973201053","Block Group 3; Census Tract 3201.05; Marion County; Indiana","98575","39091",
"1500000US180973201061","Block Group 1; Census Tract 3201.06; Marion County; Indiana","68095","23807",
"1500000US180973201062","Block Group 2; Census Tract 3201.06; Marion County; Indiana","113523","46220",
"1500000US180973201071","Block Group 1; Census Tract 3201.07; Marion County; Indiana","84722","23409",
"1500000US180973201072","Block Group 2; Census Tract 3201.07; Marion County; Indiana","137500","15233",
"1500000US180973201081","Block Group 1; Census Tract 3201.08; Marion County; Indiana","32868","11746",
"1500000US180973201082","Block Group 2; Census Tract 3201.08; Marion County; Indiana","24478","9002",
"1500000US180973201083","Block Group 3; Census Tract 3201.08; Marion County; Indiana","61330","26599",
"1500000US180973201091","Block Group 1; Census Tract 3201.09; Marion County; Indiana","55074","47787",
"1500000US180973201092","Block Group 2; Census Tract 3201.09; Marion County; Indiana","103281","36918",
"1500000US180973202021","Block Group 1; Census Tract 3202.02; Marion County; Indiana","126365","24990",
"1500000US180973202022","Block Group 2; Census Tract 3202.02; Marion County; Indiana","94375","33433",
"1500000US180973202023","Block Group 3; Census Tract 3202.02; Marion County; Indiana","88063","60247",
"1500000US180973202024","Block Group 4; Census Tract 3202.02; Marion County; Indiana","-","**",
"1500000US180973202031","Block Group 1; Census Tract 3202.03; Marion County; Indiana","46786","12733",
"1500000US180973202032","Block Group 2; Census Tract 3202.03; Marion County; Indiana","64583","32407",
"1500000US180973202033","Block Group 3; Census Tract 3202.03; Marion County; Indiana","36250","14538",
"1500000US180973202051","Block Group 1; Census Tract 3202.05; Marion County; Indiana","47404","5420",
"1500000US180973202052","Block Group 2; Census Tract 3202.05; Marion County; Indiana","68882","31753",
"1500000US180973202053","Block Group 3; Census Tract 3202.05; Marion County; Indiana","64917","17544",
"1500000US180973202061","Block Group 1; Census Tract 3202.06; Marion County; Indiana","41719","34022",
"1500000US180973202062","Block Group 2; Census Tract 3202.06; Marion County; Indiana","38288","6942",
"1500000US180973202063","Block Group 3; Census Tract 3202.06; Marion County; Indiana","-","**",
"1500000US180973203011","Block Group 1; Census Tract 3203.01; Marion County; Indiana","101667","83282",
"1500000US180973203012","Block Group 2; Census Tract 3203.01; Marion County; Indiana","127756","57014",
"1500000US180973203013","Block Group 3; Census Tract 3203.01; Marion County; Indiana","67609","20209",
"1500000US180973203031","Block Group 1; Census Tract 3203.03; Marion County; Indiana","51250","12619",
"1500000US180973203032","Block Group 2; Census Tract 3203.03; Marion County; Indiana","48155","4898",
"1500000US180973203033","Block Group 3; Census Tract 3203.03; Marion County; Indiana","57813","10450",
"1500000US180973203051","Block Group 1; Census Tract 3203.05; Marion County; Indiana","108188","28594",
"1500000US180973203052","Block Group 2; Census Tract 3203.05; Marion County; Indiana","152411","50962",
"1500000US180973203053","Block Group 3; Census Tract 3203.05; Marion County; Indiana","137778","46555",
"1500000US180973203061","Block Group 1; Census Tract 3203.06; Marion County; Indiana","84609","82573",
"1500000US180973203062","Block Group 2; Census Tract 3203.06; Marion County; Indiana","59724","16778",
"1500000US180973203063","Block Group 3; Census Tract 3203.06; Marion County; Indiana","151061","70535",
"1500000US180973204001","Block Group 1; Census Tract 3204; Marion County; Indiana","88393","8264",
"1500000US180973204002","Block Group 2; Census Tract 3204; Marion County; Indiana","58712","9204",
"1500000US180973205001","Block Group 1; Census Tract 3205; Marion County; Indiana","62202","41173",
"1500000US180973205002","Block Group 2; Census Tract 3205; Marion County; Indiana","80938","47552",
"1500000US180973206001","Block Group 1; Census Tract 3206; Marion County; Indiana","44844","12496",
"1500000US180973206002","Block Group 2; Census Tract 3206; Marion County; Indiana","71875","29168",
"1500000US180973207001","Block Group 1; Census Tract 3207; Marion County; Indiana","114063","16423",
"1500000US180973208001","Block Group 1; Census Tract 3208; Marion County; Indiana","173686","18838",
"1500000US180973208002","Block Group 2; Census Tract 3208; Marion County; Indiana","230481","57974",
"1500000US180973208003","Block Group 3; Census Tract 3208; Marion County; Indiana","190000","42990",
"1500000US180973209011","Block Group 1; Census Tract 3209.01; Marion County; Indiana","86250","68860",
"1500000US180973209012","Block Group 2; Census Tract 3209.01; Marion County; Indiana","85621","6168",
"1500000US180973209013","Block Group 3; Census Tract 3209.01; Marion County; Indiana","90139","30771",
"1500000US180973209014","Block Group 4; Census Tract 3209.01; Marion County; Indiana","73214","46446",
"1500000US180973209021","Block Group 1; Census Tract 3209.02; Marion County; Indiana","67426","14132",
"1500000US180973209022","Block Group 2; Census Tract 3209.02; Marion County; Indiana","35372","8415",
"1500000US180973209023","Block Group 3; Census Tract 3209.02; Marion County; Indiana","-","**",
