"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US120310001011","Block Group 1; Census Tract 1.01; Duval County; Florida","-","**",
"1500000US120310001012","Block Group 2; Census Tract 1.01; Duval County; Florida","36902","3104",
"1500000US120310001021","Block Group 1; Census Tract 1.02; Duval County; Florida","-","**",
"1500000US120310001022","Block Group 2; Census Tract 1.02; Duval County; Florida","30481","29176",
"1500000US120310002001","Block Group 1; Census Tract 2; Duval County; Florida","29573","18548",
"1500000US120310002002","Block Group 2; Census Tract 2; Duval County; Florida","28646","8874",
"1500000US120310002003","Block Group 3; Census Tract 2; Duval County; Florida","14892","7358",
"1500000US120310003001","Block Group 1; Census Tract 3; Duval County; Florida","30947","9329",
"1500000US120310003002","Block Group 2; Census Tract 3; Duval County; Florida","35438","16704",
"1500000US120310003003","Block Group 3; Census Tract 3; Duval County; Florida","29583","25102",
"1500000US120310006001","Block Group 1; Census Tract 6; Duval County; Florida","94904","55680",
"1500000US120310006002","Block Group 2; Census Tract 6; Duval County; Florida","11575","8157",
"1500000US120310006003","Block Group 3; Census Tract 6; Duval County; Florida","44677","37251",
"1500000US120310006004","Block Group 4; Census Tract 6; Duval County; Florida","53419","48787",
"1500000US120310006005","Block Group 5; Census Tract 6; Duval County; Florida","48399","6224",
"1500000US120310007001","Block Group 1; Census Tract 7; Duval County; Florida","70393","27652",
"1500000US120310007002","Block Group 2; Census Tract 7; Duval County; Florida","193510","33278",
"1500000US120310007003","Block Group 3; Census Tract 7; Duval County; Florida","67738","32704",
"1500000US120310008001","Block Group 1; Census Tract 8; Duval County; Florida","-","**",
"1500000US120310008002","Block Group 2; Census Tract 8; Duval County; Florida","98914","14911",
"1500000US120310008003","Block Group 3; Census Tract 8; Duval County; Florida","52917","22650",
"1500000US120310010001","Block Group 1; Census Tract 10; Duval County; Florida","11556","7156",
"1500000US120310010002","Block Group 2; Census Tract 10; Duval County; Florida","12927","2021",
"1500000US120310011001","Block Group 1; Census Tract 11; Duval County; Florida","51500","16844",
"1500000US120310011002","Block Group 2; Census Tract 11; Duval County; Florida","110789","59879",
"1500000US120310012001","Block Group 1; Census Tract 12; Duval County; Florida","49239","16774",
"1500000US120310012002","Block Group 2; Census Tract 12; Duval County; Florida","51917","8465",
"1500000US120310013001","Block Group 1; Census Tract 13; Duval County; Florida","-","**",
"1500000US120310013002","Block Group 2; Census Tract 13; Duval County; Florida","36573","15495",
"1500000US120310013003","Block Group 3; Census Tract 13; Duval County; Florida","34375","11397",
