"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US290370600011","Block Group 1; Census Tract 600.01; Cass County; Missouri","123438","29358",
"1500000US290370600012","Block Group 2; Census Tract 600.01; Cass County; Missouri","95820","37590",
"1500000US290370600013","Block Group 3; Census Tract 600.01; Cass County; Missouri","78194","15540",
"1500000US290370600031","Block Group 1; Census Tract 600.03; Cass County; Missouri","29821","18547",
"1500000US290370600032","Block Group 2; Census Tract 600.03; Cass County; Missouri","101167","19662",
"1500000US290370600033","Block Group 3; Census Tract 600.03; Cass County; Missouri","73958","24874",
"1500000US290370600041","Block Group 1; Census Tract 600.04; Cass County; Missouri","64453","10786",
"1500000US290370600042","Block Group 2; Census Tract 600.04; Cass County; Missouri","54540","19888",
"1500000US290370600043","Block Group 3; Census Tract 600.04; Cass County; Missouri","41946","13609",
"1500000US290370600044","Block Group 4; Census Tract 600.04; Cass County; Missouri","127109","61359",
"1500000US290370600045","Block Group 5; Census Tract 600.04; Cass County; Missouri","92443","5742",
"1500000US290370601001","Block Group 1; Census Tract 601; Cass County; Missouri","46226","27481",
"1500000US290370601002","Block Group 2; Census Tract 601; Cass County; Missouri","-","**",
"1500000US290370601003","Block Group 3; Census Tract 601; Cass County; Missouri","57969","45106",
"1500000US290370602021","Block Group 1; Census Tract 602.02; Cass County; Missouri","69267","18321",
"1500000US290370602022","Block Group 2; Census Tract 602.02; Cass County; Missouri","111957","26486",
"1500000US290370602023","Block Group 3; Census Tract 602.02; Cass County; Missouri","70000","17639",
"1500000US290370602024","Block Group 4; Census Tract 602.02; Cass County; Missouri","67292","20082",
"1500000US290370603051","Block Group 1; Census Tract 603.05; Cass County; Missouri","125357","31944",
"1500000US290370603052","Block Group 2; Census Tract 603.05; Cass County; Missouri","118654","10949",
"1500000US290370603053","Block Group 3; Census Tract 603.05; Cass County; Missouri","123750","37377",
"1500000US290370603061","Block Group 1; Census Tract 603.06; Cass County; Missouri","70667","33952",
"1500000US290370603062","Block Group 2; Census Tract 603.06; Cass County; Missouri","98750","53099",
"1500000US290370603063","Block Group 3; Census Tract 603.06; Cass County; Missouri","147548","18315",
"1500000US290370603064","Block Group 4; Census Tract 603.06; Cass County; Missouri","115472","58550",
"1500000US290370603065","Block Group 5; Census Tract 603.06; Cass County; Missouri","91563","46692",
"1500000US290370603071","Block Group 1; Census Tract 603.07; Cass County; Missouri","110341","47380",
"1500000US290370603072","Block Group 2; Census Tract 603.07; Cass County; Missouri","143625","112170",
"1500000US290370603073","Block Group 3; Census Tract 603.07; Cass County; Missouri","50969","7306",
"1500000US290370603081","Block Group 1; Census Tract 603.08; Cass County; Missouri","124712","24850",
"1500000US290370603082","Block Group 2; Census Tract 603.08; Cass County; Missouri","43167","15549",
"1500000US290370603091","Block Group 1; Census Tract 603.09; Cass County; Missouri","81987","20180",
"1500000US290370603092","Block Group 2; Census Tract 603.09; Cass County; Missouri","137841","70374",
"1500000US290370603093","Block Group 3; Census Tract 603.09; Cass County; Missouri","99315","11516",
"1500000US290370604011","Block Group 1; Census Tract 604.01; Cass County; Missouri","113523","34254",
"1500000US290370604012","Block Group 2; Census Tract 604.01; Cass County; Missouri","135385","24807",
"1500000US290370604021","Block Group 1; Census Tract 604.02; Cass County; Missouri","161500","29349",
"1500000US290370604022","Block Group 2; Census Tract 604.02; Cass County; Missouri","138906","37854",
"1500000US290370605001","Block Group 1; Census Tract 605; Cass County; Missouri","122765","26983",
"1500000US290370605002","Block Group 2; Census Tract 605; Cass County; Missouri","87500","18670",
"1500000US290370606011","Block Group 1; Census Tract 606.01; Cass County; Missouri","127740","47774",
"1500000US290370606012","Block Group 2; Census Tract 606.01; Cass County; Missouri","88259","9745",
"1500000US290370606013","Block Group 3; Census Tract 606.01; Cass County; Missouri","80559","20468",
"1500000US290370606021","Block Group 1; Census Tract 606.02; Cass County; Missouri","48113","31950",
"1500000US290370606022","Block Group 2; Census Tract 606.02; Cass County; Missouri","49974","45643",
"1500000US290370606023","Block Group 3; Census Tract 606.02; Cass County; Missouri","116146","30054",
"1500000US290370607001","Block Group 1; Census Tract 607; Cass County; Missouri","59125","11140",
"1500000US290370607002","Block Group 2; Census Tract 607; Cass County; Missouri","72500","41902",
"1500000US290370607003","Block Group 3; Census Tract 607; Cass County; Missouri","75000","12960",
"1500000US290370608001","Block Group 1; Census Tract 608; Cass County; Missouri","83750","34313",
"1500000US290370608002","Block Group 2; Census Tract 608; Cass County; Missouri","104412","25588",
"1500000US290370608003","Block Group 3; Census Tract 608; Cass County; Missouri","81954","30324",
"1500000US290370608004","Block Group 4; Census Tract 608; Cass County; Missouri","-","**",
"1500000US290370609041","Block Group 1; Census Tract 609.04; Cass County; Missouri","51525","7459",
"1500000US290370609042","Block Group 2; Census Tract 609.04; Cass County; Missouri","74375","57745",
"1500000US290370609043","Block Group 3; Census Tract 609.04; Cass County; Missouri","59618","22117",
"1500000US290370610011","Block Group 1; Census Tract 610.01; Cass County; Missouri","94963","8485",
"1500000US290370610012","Block Group 2; Census Tract 610.01; Cass County; Missouri","73036","26721",
"1500000US290370610013","Block Group 3; Census Tract 610.01; Cass County; Missouri","115074","30129",
"1500000US290370610021","Block Group 1; Census Tract 610.02; Cass County; Missouri","-","**",
"1500000US290370610022","Block Group 2; Census Tract 610.02; Cass County; Missouri","115031","23062",
"1500000US290370610023","Block Group 3; Census Tract 610.02; Cass County; Missouri","59194","47751",
"1500000US290370610024","Block Group 4; Census Tract 610.02; Cass County; Missouri","110059","15522",
"1500000US290370610025","Block Group 5; Census Tract 610.02; Cass County; Missouri","115783","31957",
"1500000US290370610026","Block Group 6; Census Tract 610.02; Cass County; Missouri","59500","19264",
"1500000US290370611001","Block Group 1; Census Tract 611; Cass County; Missouri","60469","16612",
"1500000US290370611002","Block Group 2; Census Tract 611; Cass County; Missouri","95313","37008",
"1500000US290370611003","Block Group 3; Census Tract 611; Cass County; Missouri","73824","8241",
"1500000US290370611004","Block Group 4; Census Tract 611; Cass County; Missouri","110625","24204",
"1500000US290370612001","Block Group 1; Census Tract 612; Cass County; Missouri","74427","61707",
"1500000US290370612002","Block Group 2; Census Tract 612; Cass County; Missouri","69028","11434",
"1500000US290370612003","Block Group 3; Census Tract 612; Cass County; Missouri","-","**",
"1500000US290370612004","Block Group 4; Census Tract 612; Cass County; Missouri","77619","11372",
"1500000US290370613001","Block Group 1; Census Tract 613; Cass County; Missouri","54318","27961",
"1500000US290370613002","Block Group 2; Census Tract 613; Cass County; Missouri","45202","16412",
"1500000US290370613003","Block Group 3; Census Tract 613; Cass County; Missouri","39849","34149",
"1500000US290370613004","Block Group 4; Census Tract 613; Cass County; Missouri","78345","27132",
"1500000US290370613005","Block Group 5; Census Tract 613; Cass County; Missouri","59380","44548",
"1500000US290370613006","Block Group 6; Census Tract 613; Cass County; Missouri","77500","20061",
"1500000US290370614001","Block Group 1; Census Tract 614; Cass County; Missouri","44886","27643",
"1500000US290370614002","Block Group 2; Census Tract 614; Cass County; Missouri","69922","50534",
"1500000US290370614003","Block Group 3; Census Tract 614; Cass County; Missouri","90214","54310",
"1500000US290370614004","Block Group 4; Census Tract 614; Cass County; Missouri","53190","6745",
"1500000US290470202011","Block Group 1; Census Tract 202.01; Clay County; Missouri","38710","9118",
"1500000US290470202012","Block Group 2; Census Tract 202.01; Clay County; Missouri","64479","7117",
"1500000US290470202013","Block Group 3; Census Tract 202.01; Clay County; Missouri","56477","23432",
"1500000US290470202014","Block Group 4; Census Tract 202.01; Clay County; Missouri","90516","28448",
"1500000US290470202015","Block Group 5; Census Tract 202.01; Clay County; Missouri","32466","8065",
"1500000US290470202021","Block Group 1; Census Tract 202.02; Clay County; Missouri","95729","43845",
"1500000US290470202022","Block Group 2; Census Tract 202.02; Clay County; Missouri","82031","11312",
"1500000US290470202023","Block Group 3; Census Tract 202.02; Clay County; Missouri","94792","61070",
"1500000US290470202024","Block Group 4; Census Tract 202.02; Clay County; Missouri","127634","24481",
"1500000US290470203001","Block Group 1; Census Tract 203; Clay County; Missouri","73886","2665",
"1500000US290470203002","Block Group 2; Census Tract 203; Clay County; Missouri","90344","34916",
"1500000US290470203003","Block Group 3; Census Tract 203; Clay County; Missouri","41213","6696",
"1500000US290470203004","Block Group 4; Census Tract 203; Clay County; Missouri","58672","56688",
"1500000US290470203005","Block Group 5; Census Tract 203; Clay County; Missouri","104539","27600",
"1500000US290470204001","Block Group 1; Census Tract 204; Clay County; Missouri","55795","28444",
"1500000US290470204002","Block Group 2; Census Tract 204; Clay County; Missouri","42059","14400",
"1500000US290470204003","Block Group 3; Census Tract 204; Clay County; Missouri","-","**",
"1500000US290470205001","Block Group 1; Census Tract 205; Clay County; Missouri","38175","16067",
"1500000US290470205002","Block Group 2; Census Tract 205; Clay County; Missouri","61759","37676",
"1500000US290470205003","Block Group 3; Census Tract 205; Clay County; Missouri","18625","14186",
"1500000US290470205004","Block Group 4; Census Tract 205; Clay County; Missouri","103235","22189",
"1500000US290470205005","Block Group 5; Census Tract 205; Clay County; Missouri","78333","35355",
"1500000US290470205006","Block Group 6; Census Tract 205; Clay County; Missouri","47700","8086",
"1500000US290470205007","Block Group 7; Census Tract 205; Clay County; Missouri","-","**",
"1500000US290470206021","Block Group 1; Census Tract 206.02; Clay County; Missouri","26676","24926",
"1500000US290470206022","Block Group 2; Census Tract 206.02; Clay County; Missouri","46000","26231",
"1500000US290470206023","Block Group 3; Census Tract 206.02; Clay County; Missouri","76050","7374",
"1500000US290470206024","Block Group 4; Census Tract 206.02; Clay County; Missouri","47201","24179",
"1500000US290470206025","Block Group 5; Census Tract 206.02; Clay County; Missouri","-","**",
"1500000US290470206031","Block Group 1; Census Tract 206.03; Clay County; Missouri","55609","14612",
"1500000US290470206032","Block Group 2; Census Tract 206.03; Clay County; Missouri","54643","17526",
"1500000US290470206033","Block Group 3; Census Tract 206.03; Clay County; Missouri","49036","11726",
"1500000US290470206034","Block Group 4; Census Tract 206.03; Clay County; Missouri","62000","37480",
"1500000US290470206041","Block Group 1; Census Tract 206.04; Clay County; Missouri","76741","23376",
"1500000US290470206042","Block Group 2; Census Tract 206.04; Clay County; Missouri","76316","72643",
"1500000US290470206043","Block Group 3; Census Tract 206.04; Clay County; Missouri","95294","30969",
"1500000US290470206044","Block Group 4; Census Tract 206.04; Clay County; Missouri","60750","49677",
"1500000US290470206045","Block Group 5; Census Tract 206.04; Clay County; Missouri","56370","21659",
"1500000US290470208021","Block Group 1; Census Tract 208.02; Clay County; Missouri","63857","17713",
"1500000US290470208022","Block Group 2; Census Tract 208.02; Clay County; Missouri","42760","23057",
"1500000US290470208031","Block Group 1; Census Tract 208.03; Clay County; Missouri","70208","21406",
"1500000US290470208032","Block Group 2; Census Tract 208.03; Clay County; Missouri","50833","15899",
"1500000US290470208033","Block Group 3; Census Tract 208.03; Clay County; Missouri","92083","25408",
"1500000US290470209011","Block Group 1; Census Tract 209.01; Clay County; Missouri","140893","51242",
"1500000US290470209012","Block Group 2; Census Tract 209.01; Clay County; Missouri","60179","31962",
"1500000US290470209013","Block Group 3; Census Tract 209.01; Clay County; Missouri","44760","22711",
"1500000US290470209014","Block Group 4; Census Tract 209.01; Clay County; Missouri","125436","29107",
"1500000US290470209015","Block Group 5; Census Tract 209.01; Clay County; Missouri","61439","4657",
"1500000US290470209021","Block Group 1; Census Tract 209.02; Clay County; Missouri","70781","11935",
"1500000US290470209022","Block Group 2; Census Tract 209.02; Clay County; Missouri","66528","16962",
"1500000US290470210011","Block Group 1; Census Tract 210.01; Clay County; Missouri","37948","8927",
"1500000US290470210012","Block Group 2; Census Tract 210.01; Clay County; Missouri","45365","9571",
"1500000US290470210013","Block Group 3; Census Tract 210.01; Clay County; Missouri","79034","5788",
"1500000US290470210014","Block Group 4; Census Tract 210.01; Clay County; Missouri","86250","30657",
