"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US211110002011","Block Group 1; Census Tract 2.01; Jefferson County; Kentucky","32436","3926",
"1500000US211110002012","Block Group 2; Census Tract 2.01; Jefferson County; Kentucky","-","**",
"1500000US211110002020","Block Group 0; Census Tract 2.02; Jefferson County; Kentucky","-","**",
"1500000US211110002021","Block Group 1; Census Tract 2.02; Jefferson County; Kentucky","-","**",
"1500000US211110003001","Block Group 1; Census Tract 3; Jefferson County; Kentucky","35563","12160",
"1500000US211110003002","Block Group 2; Census Tract 3; Jefferson County; Kentucky","-","**",
"1500000US211110003003","Block Group 3; Census Tract 3; Jefferson County; Kentucky","61250","11476",
"1500000US211110004000","Block Group 0; Census Tract 4; Jefferson County; Kentucky","-","**",
"1500000US211110004001","Block Group 1; Census Tract 4; Jefferson County; Kentucky","-","**",
"1500000US211110004002","Block Group 2; Census Tract 4; Jefferson County; Kentucky","62331","30989",
"1500000US211110004003","Block Group 3; Census Tract 4; Jefferson County; Kentucky","39167","8634",
"1500000US211110004004","Block Group 4; Census Tract 4; Jefferson County; Kentucky","29318","7042",
"1500000US211110004005","Block Group 5; Census Tract 4; Jefferson County; Kentucky","75017","50332",
"1500000US211110006001","Block Group 1; Census Tract 6; Jefferson County; Kentucky","32188","15126",
"1500000US211110006002","Block Group 2; Census Tract 6; Jefferson County; Kentucky","42857","24688",
"1500000US211110007001","Block Group 1; Census Tract 7; Jefferson County; Kentucky","14583","11852",
"1500000US211110007002","Block Group 2; Census Tract 7; Jefferson County; Kentucky","36250","21816",
"1500000US211110007003","Block Group 3; Census Tract 7; Jefferson County; Kentucky","35900","28968",
"1500000US211110008000","Block Group 0; Census Tract 8; Jefferson County; Kentucky","-","**",
"1500000US211110008001","Block Group 1; Census Tract 8; Jefferson County; Kentucky","37681","4672",
"1500000US211110008002","Block Group 2; Census Tract 8; Jefferson County; Kentucky","-","**",
"1500000US211110008003","Block Group 3; Census Tract 8; Jefferson County; Kentucky","36042","19793",
"1500000US211110009001","Block Group 1; Census Tract 9; Jefferson County; Kentucky","24315","10491",
"1500000US211110009002","Block Group 2; Census Tract 9; Jefferson County; Kentucky","18667","6491",
"1500000US211110010001","Block Group 1; Census Tract 10; Jefferson County; Kentucky","120706","116019",
"1500000US211110010002","Block Group 2; Census Tract 10; Jefferson County; Kentucky","20966","17303",
"1500000US211110010003","Block Group 3; Census Tract 10; Jefferson County; Kentucky","34211","19018",
"1500000US211110011000","Block Group 0; Census Tract 11; Jefferson County; Kentucky","-","**",
"1500000US211110011001","Block Group 1; Census Tract 11; Jefferson County; Kentucky","-","**",
"1500000US211110011002","Block Group 2; Census Tract 11; Jefferson County; Kentucky","32500","22007",
"1500000US211110011003","Block Group 3; Census Tract 11; Jefferson County; Kentucky","50862","12254",
"1500000US211110012000","Block Group 0; Census Tract 12; Jefferson County; Kentucky","-","**",
"1500000US211110012001","Block Group 1; Census Tract 12; Jefferson County; Kentucky","-","**",
"1500000US211110012002","Block Group 2; Census Tract 12; Jefferson County; Kentucky","-","**",
"1500000US211110012003","Block Group 3; Census Tract 12; Jefferson County; Kentucky","35833","8281",
"1500000US211110014001","Block Group 1; Census Tract 14; Jefferson County; Kentucky","-","**",
"1500000US211110014002","Block Group 2; Census Tract 14; Jefferson County; Kentucky","51932","51476",
"1500000US211110014003","Block Group 3; Census Tract 14; Jefferson County; Kentucky","39750","19246",
"1500000US211110015001","Block Group 1; Census Tract 15; Jefferson County; Kentucky","29103","10760",
"1500000US211110015002","Block Group 2; Census Tract 15; Jefferson County; Kentucky","-","**",
"1500000US211110015003","Block Group 3; Census Tract 15; Jefferson County; Kentucky","35662","13806",
"1500000US211110016001","Block Group 1; Census Tract 16; Jefferson County; Kentucky","60371","36524",
"1500000US211110016002","Block Group 2; Census Tract 16; Jefferson County; Kentucky","48250","8766",
"1500000US211110016003","Block Group 3; Census Tract 16; Jefferson County; Kentucky","-","**",
"1500000US211110017001","Block Group 1; Census Tract 17; Jefferson County; Kentucky","-","**",
"1500000US211110017002","Block Group 2; Census Tract 17; Jefferson County; Kentucky","37417","15900",
"1500000US211110017003","Block Group 3; Census Tract 17; Jefferson County; Kentucky","57014","20379",
"1500000US211110018001","Block Group 1; Census Tract 18; Jefferson County; Kentucky","12220","4870",
"1500000US211110021001","Block Group 1; Census Tract 21; Jefferson County; Kentucky","-","**",
"1500000US211110021002","Block Group 2; Census Tract 21; Jefferson County; Kentucky","40769","20093",
"1500000US211110021003","Block Group 3; Census Tract 21; Jefferson County; Kentucky","15385","13521",
"1500000US211110023001","Block Group 1; Census Tract 23; Jefferson County; Kentucky","37629","21310",
"1500000US211110023002","Block Group 2; Census Tract 23; Jefferson County; Kentucky","28429","12266",
"1500000US211110023003","Block Group 3; Census Tract 23; Jefferson County; Kentucky","27386","10588",
"1500000US211110024011","Block Group 1; Census Tract 24.01; Jefferson County; Kentucky","-","**",
"1500000US211110024012","Block Group 2; Census Tract 24.01; Jefferson County; Kentucky","28750","15358",
"1500000US211110024021","Block Group 1; Census Tract 24.02; Jefferson County; Kentucky","60490","17554",
"1500000US211110024022","Block Group 2; Census Tract 24.02; Jefferson County; Kentucky","46449","23549",
"1500000US211110027001","Block Group 1; Census Tract 27; Jefferson County; Kentucky","16066","3966",
"1500000US211110027002","Block Group 2; Census Tract 27; Jefferson County; Kentucky","36013","24852",
"1500000US211110027003","Block Group 3; Census Tract 27; Jefferson County; Kentucky","50213","47803",
"1500000US211110028001","Block Group 1; Census Tract 28; Jefferson County; Kentucky","39787","9129",
"1500000US211110028002","Block Group 2; Census Tract 28; Jefferson County; Kentucky","37361","18249",
"1500000US211110030001","Block Group 1; Census Tract 30; Jefferson County; Kentucky","9931","2467",
"1500000US211110030002","Block Group 2; Census Tract 30; Jefferson County; Kentucky","23385","17844",
"1500000US211110035011","Block Group 1; Census Tract 35.01; Jefferson County; Kentucky","30819","16017",
"1500000US211110035021","Block Group 1; Census Tract 35.02; Jefferson County; Kentucky","10455","3191",
"1500000US211110036001","Block Group 1; Census Tract 36; Jefferson County; Kentucky","24107","14126",
"1500000US211110036002","Block Group 2; Census Tract 36; Jefferson County; Kentucky","60806","51283",
"1500000US211110036003","Block Group 3; Census Tract 36; Jefferson County; Kentucky","-","**",
"1500000US211110036004","Block Group 4; Census Tract 36; Jefferson County; Kentucky","48448","30260",
"1500000US211110036005","Block Group 5; Census Tract 36; Jefferson County; Kentucky","32786","7077",
"1500000US211110037001","Block Group 1; Census Tract 37; Jefferson County; Kentucky","23250","17255",
"1500000US211110037002","Block Group 2; Census Tract 37; Jefferson County; Kentucky","39688","15758",
"1500000US211110038001","Block Group 1; Census Tract 38; Jefferson County; Kentucky","46458","16527",
"1500000US211110038002","Block Group 2; Census Tract 38; Jefferson County; Kentucky","-","**",
"1500000US211110038003","Block Group 3; Census Tract 38; Jefferson County; Kentucky","62976","20346",
"1500000US211110038004","Block Group 4; Census Tract 38; Jefferson County; Kentucky","42729","2399",
"1500000US211110039001","Block Group 1; Census Tract 39; Jefferson County; Kentucky","57803","9560",
"1500000US211110039002","Block Group 2; Census Tract 39; Jefferson County; Kentucky","53429","16890",
"1500000US211110039003","Block Group 3; Census Tract 39; Jefferson County; Kentucky","31231","2165",
"1500000US211110040001","Block Group 1; Census Tract 40; Jefferson County; Kentucky","42019","34731",
"1500000US211110040002","Block Group 2; Census Tract 40; Jefferson County; Kentucky","49000","18720",
"1500000US211110041001","Block Group 1; Census Tract 41; Jefferson County; Kentucky","33476","14218",
"1500000US211110041002","Block Group 2; Census Tract 41; Jefferson County; Kentucky","31452","22624",
"1500000US211110041003","Block Group 3; Census Tract 41; Jefferson County; Kentucky","50402","44179",
"1500000US211110043011","Block Group 1; Census Tract 43.01; Jefferson County; Kentucky","52857","8254",
"1500000US211110043012","Block Group 2; Census Tract 43.01; Jefferson County; Kentucky","22452","11146",
"1500000US211110043013","Block Group 3; Census Tract 43.01; Jefferson County; Kentucky","21809","5057",
"1500000US211110043014","Block Group 4; Census Tract 43.01; Jefferson County; Kentucky","16514","13121",
"1500000US211110043021","Block Group 1; Census Tract 43.02; Jefferson County; Kentucky","46641","7155",
"1500000US211110044001","Block Group 1; Census Tract 44; Jefferson County; Kentucky","48750","7186",
"1500000US211110044002","Block Group 2; Census Tract 44; Jefferson County; Kentucky","42750","12135",
"1500000US211110044003","Block Group 3; Census Tract 44; Jefferson County; Kentucky","40862","18731",
"1500000US211110044004","Block Group 4; Census Tract 44; Jefferson County; Kentucky","41944","25664",
"1500000US211110045001","Block Group 1; Census Tract 45; Jefferson County; Kentucky","41719","15382",
"1500000US211110045002","Block Group 2; Census Tract 45; Jefferson County; Kentucky","50363","34293",
"1500000US211110045003","Block Group 3; Census Tract 45; Jefferson County; Kentucky","110269","31221",
"1500000US211110046001","Block Group 1; Census Tract 46; Jefferson County; Kentucky","64531","29527",
"1500000US211110046002","Block Group 2; Census Tract 46; Jefferson County; Kentucky","68692","19463",
"1500000US211110046003","Block Group 3; Census Tract 46; Jefferson County; Kentucky","50310","4340",
"1500000US211110049000","Block Group 0; Census Tract 49; Jefferson County; Kentucky","-","**",
"1500000US211110049001","Block Group 1; Census Tract 49; Jefferson County; Kentucky","48175","15838",
"1500000US211110049002","Block Group 2; Census Tract 49; Jefferson County; Kentucky","17550","12523",
"1500000US211110049003","Block Group 3; Census Tract 49; Jefferson County; Kentucky","-","**",
"1500000US211110050001","Block Group 1; Census Tract 50; Jefferson County; Kentucky","51250","24590",
"1500000US211110050002","Block Group 2; Census Tract 50; Jefferson County; Kentucky","17857","7849",
"1500000US211110051001","Block Group 1; Census Tract 51; Jefferson County; Kentucky","29147","2607",
"1500000US211110051002","Block Group 2; Census Tract 51; Jefferson County; Kentucky","30724","28376",
"1500000US211110051003","Block Group 3; Census Tract 51; Jefferson County; Kentucky","31705","17983",
"1500000US211110052001","Block Group 1; Census Tract 52; Jefferson County; Kentucky","29521","18115",
"1500000US211110052002","Block Group 2; Census Tract 52; Jefferson County; Kentucky","55144","26344",
"1500000US211110052003","Block Group 3; Census Tract 52; Jefferson County; Kentucky","34750","15578",
"1500000US211110053001","Block Group 1; Census Tract 53; Jefferson County; Kentucky","28683","4524",
"1500000US211110053002","Block Group 2; Census Tract 53; Jefferson County; Kentucky","-","**",
"1500000US211110056001","Block Group 1; Census Tract 56; Jefferson County; Kentucky","45260","30246",
"1500000US211110056002","Block Group 2; Census Tract 56; Jefferson County; Kentucky","30000","17642",
"1500000US211110056003","Block Group 3; Census Tract 56; Jefferson County; Kentucky","51375","28557",
"1500000US211110059011","Block Group 1; Census Tract 59.01; Jefferson County; Kentucky","10106","1454",
"1500000US211110059012","Block Group 2; Census Tract 59.01; Jefferson County; Kentucky","28623","891",
"1500000US211110059021","Block Group 1; Census Tract 59.02; Jefferson County; Kentucky","56528","51514",
"1500000US211110059022","Block Group 2; Census Tract 59.02; Jefferson County; Kentucky","23548","20170",
"1500000US211110059023","Block Group 3; Census Tract 59.02; Jefferson County; Kentucky","47031","11292",
