"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US471570001001","Block Group 1; Census Tract 1; Shelby County; Tennessee","61875","15470",
"1500000US471570001002","Block Group 2; Census Tract 1; Shelby County; Tennessee","83000","53481",
"1500000US471570001003","Block Group 3; Census Tract 1; Shelby County; Tennessee","114648","37757",
"1500000US471570002001","Block Group 1; Census Tract 2; Shelby County; Tennessee","28083","4251",
"1500000US471570003001","Block Group 1; Census Tract 3; Shelby County; Tennessee","24732","11819",
"1500000US471570004001","Block Group 1; Census Tract 4; Shelby County; Tennessee","33355","33154",
"1500000US471570004002","Block Group 2; Census Tract 4; Shelby County; Tennessee","22381","12163",
"1500000US471570006001","Block Group 1; Census Tract 6; Shelby County; Tennessee","29537","14373",
"1500000US471570006002","Block Group 2; Census Tract 6; Shelby County; Tennessee","16346","5961",
"1500000US471570007001","Block Group 1; Census Tract 7; Shelby County; Tennessee","12342","1727",
"1500000US471570007002","Block Group 2; Census Tract 7; Shelby County; Tennessee","-","**",
"1500000US471570007003","Block Group 3; Census Tract 7; Shelby County; Tennessee","25298","13456",
"1500000US471570007004","Block Group 4; Census Tract 7; Shelby County; Tennessee","31385","6125",
"1500000US471570008001","Block Group 1; Census Tract 8; Shelby County; Tennessee","-","**",
"1500000US471570008002","Block Group 2; Census Tract 8; Shelby County; Tennessee","23242","14703",
"1500000US471570008003","Block Group 3; Census Tract 8; Shelby County; Tennessee","29777","11697",
"1500000US471570009001","Block Group 1; Census Tract 9; Shelby County; Tennessee","11563","4173",
"1500000US471570009002","Block Group 2; Census Tract 9; Shelby County; Tennessee","23554","5330",
"1500000US471570009003","Block Group 3; Census Tract 9; Shelby County; Tennessee","37415","22057",
"1500000US471570011001","Block Group 1; Census Tract 11; Shelby County; Tennessee","46250","16828",
"1500000US471570011002","Block Group 2; Census Tract 11; Shelby County; Tennessee","-","**",
"1500000US471570011003","Block Group 3; Census Tract 11; Shelby County; Tennessee","39786","21601",
"1500000US471570012001","Block Group 1; Census Tract 12; Shelby County; Tennessee","42354","10971",
"1500000US471570012002","Block Group 2; Census Tract 12; Shelby County; Tennessee","38819","15106",
"1500000US471570012003","Block Group 3; Census Tract 12; Shelby County; Tennessee","39536","10885",
"1500000US471570013001","Block Group 1; Census Tract 13; Shelby County; Tennessee","43542","16694",
"1500000US471570013002","Block Group 2; Census Tract 13; Shelby County; Tennessee","46875","28532",
"1500000US471570013003","Block Group 3; Census Tract 13; Shelby County; Tennessee","61806","27494",
"1500000US471570013004","Block Group 4; Census Tract 13; Shelby County; Tennessee","14132","4648",
"1500000US471570014001","Block Group 1; Census Tract 14; Shelby County; Tennessee","30708","13657",
"1500000US471570015001","Block Group 1; Census Tract 15; Shelby County; Tennessee","33375","5077",
"1500000US471570015002","Block Group 2; Census Tract 15; Shelby County; Tennessee","-","**",
"1500000US471570016001","Block Group 1; Census Tract 16; Shelby County; Tennessee","99875","67983",
"1500000US471570016002","Block Group 2; Census Tract 16; Shelby County; Tennessee","86250","23134",
"1500000US471570017001","Block Group 1; Census Tract 17; Shelby County; Tennessee","81379","3584",
"1500000US471570017002","Block Group 2; Census Tract 17; Shelby County; Tennessee","60328","4863",
"1500000US471570017003","Block Group 3; Census Tract 17; Shelby County; Tennessee","53758","7565",
"1500000US471570019001","Block Group 1; Census Tract 19; Shelby County; Tennessee","-","**",
"1500000US471570019002","Block Group 2; Census Tract 19; Shelby County; Tennessee","28233","16777",
"1500000US471570020001","Block Group 1; Census Tract 20; Shelby County; Tennessee","35125","20780",
"1500000US471570020002","Block Group 2; Census Tract 20; Shelby County; Tennessee","45000","14207",
"1500000US471570021001","Block Group 1; Census Tract 21; Shelby County; Tennessee","29111","12351",
"1500000US471570024001","Block Group 1; Census Tract 24; Shelby County; Tennessee","46607","11563",
"1500000US471570024002","Block Group 2; Census Tract 24; Shelby County; Tennessee","21951","16755",
"1500000US471570024003","Block Group 3; Census Tract 24; Shelby County; Tennessee","28256","3043",
"1500000US471570025001","Block Group 1; Census Tract 25; Shelby County; Tennessee","-","**",
"1500000US471570025002","Block Group 2; Census Tract 25; Shelby County; Tennessee","52500","24250",
"1500000US471570026001","Block Group 1; Census Tract 26; Shelby County; Tennessee","100735","63855",
"1500000US471570026002","Block Group 2; Census Tract 26; Shelby County; Tennessee","108105","49099",
"1500000US471570027001","Block Group 1; Census Tract 27; Shelby County; Tennessee","54250","12850",
"1500000US471570027002","Block Group 2; Census Tract 27; Shelby County; Tennessee","51042","19914",
"1500000US471570028001","Block Group 1; Census Tract 28; Shelby County; Tennessee","33125","14256",
"1500000US471570028002","Block Group 2; Census Tract 28; Shelby County; Tennessee","-","**",
"1500000US471570028003","Block Group 3; Census Tract 28; Shelby County; Tennessee","19331","17469",
"1500000US471570029001","Block Group 1; Census Tract 29; Shelby County; Tennessee","62350","61267",
"1500000US471570029002","Block Group 2; Census Tract 29; Shelby County; Tennessee","58750","41144",
"1500000US471570029003","Block Group 3; Census Tract 29; Shelby County; Tennessee","177857","63301",
"1500000US471570029004","Block Group 4; Census Tract 29; Shelby County; Tennessee","173052","46178",
"1500000US471570029005","Block Group 5; Census Tract 29; Shelby County; Tennessee","171538","153695",
"1500000US471570030001","Block Group 1; Census Tract 30; Shelby County; Tennessee","9463","1910",
"1500000US471570030002","Block Group 2; Census Tract 30; Shelby County; Tennessee","37727","28179",
"1500000US471570030003","Block Group 3; Census Tract 30; Shelby County; Tennessee","52054","31091",
"1500000US471570031001","Block Group 1; Census Tract 31; Shelby County; Tennessee","51705","16662",
"1500000US471570031002","Block Group 2; Census Tract 31; Shelby County; Tennessee","79375","37260",
"1500000US471570031003","Block Group 3; Census Tract 31; Shelby County; Tennessee","37321","33895",
"1500000US471570031004","Block Group 4; Census Tract 31; Shelby County; Tennessee","72303","20975",
"1500000US471570032001","Block Group 1; Census Tract 32; Shelby County; Tennessee","40395","4601",
"1500000US471570032002","Block Group 2; Census Tract 32; Shelby County; Tennessee","41250","16579",
"1500000US471570032003","Block Group 3; Census Tract 32; Shelby County; Tennessee","56044","7834",
"1500000US471570033001","Block Group 1; Census Tract 33; Shelby County; Tennessee","93966","29890",
"1500000US471570033002","Block Group 2; Census Tract 33; Shelby County; Tennessee","131691","19580",
"1500000US471570034001","Block Group 1; Census Tract 34; Shelby County; Tennessee","67308","24866",
