"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US470370101031","Block Group 1; Census Tract 101.03; Davidson County; Tennessee","78164","22394",
"1500000US470370101032","Block Group 2; Census Tract 101.03; Davidson County; Tennessee","76157","17730",
"1500000US470370101041","Block Group 1; Census Tract 101.04; Davidson County; Tennessee","111160","2944",
"1500000US470370101042","Block Group 2; Census Tract 101.04; Davidson County; Tennessee","82336","20454",
"1500000US470370101051","Block Group 1; Census Tract 101.05; Davidson County; Tennessee","130625","72612",
"1500000US470370101052","Block Group 2; Census Tract 101.05; Davidson County; Tennessee","67450","27817",
"1500000US470370101053","Block Group 3; Census Tract 101.05; Davidson County; Tennessee","44257","39499",
"1500000US470370101061","Block Group 1; Census Tract 101.06; Davidson County; Tennessee","108285","23151",
"1500000US470370101062","Block Group 2; Census Tract 101.06; Davidson County; Tennessee","70089","28457",
"1500000US470370102011","Block Group 1; Census Tract 102.01; Davidson County; Tennessee","70847","12738",
"1500000US470370102012","Block Group 2; Census Tract 102.01; Davidson County; Tennessee","76433","19071",
"1500000US470370102013","Block Group 3; Census Tract 102.01; Davidson County; Tennessee","74539","28743",
"1500000US470370102021","Block Group 1; Census Tract 102.02; Davidson County; Tennessee","104125","56167",
"1500000US470370102022","Block Group 2; Census Tract 102.02; Davidson County; Tennessee","86447","20310",
"1500000US470370102023","Block Group 3; Census Tract 102.02; Davidson County; Tennessee","89858","38959",
"1500000US470370103011","Block Group 1; Census Tract 103.01; Davidson County; Tennessee","64688","20572",
"1500000US470370103012","Block Group 2; Census Tract 103.01; Davidson County; Tennessee","57791","13821",
"1500000US470370103021","Block Group 1; Census Tract 103.02; Davidson County; Tennessee","60951","12716",
"1500000US470370103022","Block Group 2; Census Tract 103.02; Davidson County; Tennessee","62569","42648",
"1500000US470370103031","Block Group 1; Census Tract 103.03; Davidson County; Tennessee","58893","9538",
"1500000US470370103032","Block Group 2; Census Tract 103.03; Davidson County; Tennessee","56886","6754",
"1500000US470370103033","Block Group 3; Census Tract 103.03; Davidson County; Tennessee","51853","40865",
"1500000US470370104011","Block Group 1; Census Tract 104.01; Davidson County; Tennessee","46839","37997",
"1500000US470370104012","Block Group 2; Census Tract 104.01; Davidson County; Tennessee","42370","10015",
"1500000US470370104013","Block Group 3; Census Tract 104.01; Davidson County; Tennessee","56736","12252",
"1500000US470370104031","Block Group 1; Census Tract 104.03; Davidson County; Tennessee","65771","12749",
"1500000US470370104032","Block Group 2; Census Tract 104.03; Davidson County; Tennessee","24875","10573",
"1500000US470370104033","Block Group 3; Census Tract 104.03; Davidson County; Tennessee","22779","7803",
"1500000US470370104041","Block Group 1; Census Tract 104.04; Davidson County; Tennessee","81875","36684",
"1500000US470370104042","Block Group 2; Census Tract 104.04; Davidson County; Tennessee","74641","7936",
"1500000US470370105011","Block Group 1; Census Tract 105.01; Davidson County; Tennessee","55672","8264",
"1500000US470370105012","Block Group 2; Census Tract 105.01; Davidson County; Tennessee","88618","6798",
"1500000US470370105013","Block Group 3; Census Tract 105.01; Davidson County; Tennessee","87454","27645",
"1500000US470370105014","Block Group 4; Census Tract 105.01; Davidson County; Tennessee","62073","27875",
"1500000US470370105015","Block Group 5; Census Tract 105.01; Davidson County; Tennessee","55313","25899",
"1500000US470370105021","Block Group 1; Census Tract 105.02; Davidson County; Tennessee","64063","57909",
"1500000US470370105022","Block Group 2; Census Tract 105.02; Davidson County; Tennessee","71992","21973",
"1500000US470370105023","Block Group 3; Census Tract 105.02; Davidson County; Tennessee","84000","22796",
"1500000US470370106011","Block Group 1; Census Tract 106.01; Davidson County; Tennessee","80903","38314",
