"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US401091001001","Block Group 1; Census Tract 1001; Oklahoma County; Oklahoma","75864","16065",
"1500000US401091001002","Block Group 2; Census Tract 1001; Oklahoma County; Oklahoma","34556","10201",
"1500000US401091001003","Block Group 3; Census Tract 1001; Oklahoma County; Oklahoma","47625","21085",
"1500000US401091001004","Block Group 4; Census Tract 1001; Oklahoma County; Oklahoma","-","**",
"1500000US401091002011","Block Group 1; Census Tract 1002.01; Oklahoma County; Oklahoma","77008","71264",
"1500000US401091002012","Block Group 2; Census Tract 1002.01; Oklahoma County; Oklahoma","104421","80294",
"1500000US401091002021","Block Group 1; Census Tract 1002.02; Oklahoma County; Oklahoma","42844","30917",
"1500000US401091002022","Block Group 2; Census Tract 1002.02; Oklahoma County; Oklahoma","61591","22966",
"1500000US401091002031","Block Group 1; Census Tract 1002.03; Oklahoma County; Oklahoma","80096","57075",
"1500000US401091002032","Block Group 2; Census Tract 1002.03; Oklahoma County; Oklahoma","58750","12981",
"1500000US401091002033","Block Group 3; Census Tract 1002.03; Oklahoma County; Oklahoma","41339","25115",
"1500000US401091003001","Block Group 1; Census Tract 1003; Oklahoma County; Oklahoma","81250","72301",
"1500000US401091003002","Block Group 2; Census Tract 1003; Oklahoma County; Oklahoma","158750","81945",
"1500000US401091003003","Block Group 3; Census Tract 1003; Oklahoma County; Oklahoma","77663","34695",
"1500000US401091004001","Block Group 1; Census Tract 1004; Oklahoma County; Oklahoma","32171","11980",
"1500000US401091004002","Block Group 2; Census Tract 1004; Oklahoma County; Oklahoma","37316","16500",
"1500000US401091004003","Block Group 3; Census Tract 1004; Oklahoma County; Oklahoma","39132","2032",
"1500000US401091005001","Block Group 1; Census Tract 1005; Oklahoma County; Oklahoma","-","**",
"1500000US401091005002","Block Group 2; Census Tract 1005; Oklahoma County; Oklahoma","32237","12737",
"1500000US401091005003","Block Group 3; Census Tract 1005; Oklahoma County; Oklahoma","33173","10519",
"1500000US401091008001","Block Group 1; Census Tract 1008; Oklahoma County; Oklahoma","47500","18199",
"1500000US401091008002","Block Group 2; Census Tract 1008; Oklahoma County; Oklahoma","62909","6937",
