"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US480291101001","Block Group 1; Census Tract 1101; Bexar County; Texas","51010","25745",
"1500000US480291101002","Block Group 2; Census Tract 1101; Bexar County; Texas","37048","18906",
"1500000US480291101003","Block Group 3; Census Tract 1101; Bexar County; Texas","-","**",
"1500000US480291103001","Block Group 1; Census Tract 1103; Bexar County; Texas","50606","11990",
"1500000US480291103002","Block Group 2; Census Tract 1103; Bexar County; Texas","68567","11005",
"1500000US480291103003","Block Group 3; Census Tract 1103; Bexar County; Texas","-","**",
"1500000US480291105001","Block Group 1; Census Tract 1105; Bexar County; Texas","16607","9180",
"1500000US480291106001","Block Group 1; Census Tract 1106; Bexar County; Texas","42273","29453",
"1500000US480291106002","Block Group 2; Census Tract 1106; Bexar County; Texas","20459","2386",
"1500000US480291106003","Block Group 3; Census Tract 1106; Bexar County; Texas","15712","2953",
"1500000US480291107001","Block Group 1; Census Tract 1107; Bexar County; Texas","18993","12359",
"1500000US480291110001","Block Group 1; Census Tract 1110; Bexar County; Texas","34013","15595",
"1500000US480291110002","Block Group 2; Census Tract 1110; Bexar County; Texas","71000","23595",
"1500000US480291110003","Block Group 3; Census Tract 1110; Bexar County; Texas","60117","17042",
"1500000US480291111001","Block Group 1; Census Tract 1111; Bexar County; Texas","29943","17322",
"1500000US480291111002","Block Group 2; Census Tract 1111; Bexar County; Texas","23702","10199",
"1500000US480291111003","Block Group 3; Census Tract 1111; Bexar County; Texas","56658","16965",
"1500000US480291111004","Block Group 4; Census Tract 1111; Bexar County; Texas","83156","16305",
"1500000US480291201001","Block Group 1; Census Tract 1201; Bexar County; Texas","85903","21815",
"1500000US480291203011","Block Group 1; Census Tract 1203.01; Bexar County; Texas","150893","43660",
"1500000US480291203012","Block Group 2; Census Tract 1203.01; Bexar County; Texas","90721","21384",
"1500000US480291203021","Block Group 1; Census Tract 1203.02; Bexar County; Texas","175156","150861",
"1500000US480291203022","Block Group 2; Census Tract 1203.02; Bexar County; Texas","250,000+","***",
"1500000US480291203023","Block Group 3; Census Tract 1203.02; Bexar County; Texas","250,000+","***",
"1500000US480291203024","Block Group 4; Census Tract 1203.02; Bexar County; Texas","243446","34645",
"1500000US480291203025","Block Group 5; Census Tract 1203.02; Bexar County; Texas","-","**",
"1500000US480291204011","Block Group 1; Census Tract 1204.01; Bexar County; Texas","-","**",
"1500000US480291204012","Block Group 2; Census Tract 1204.01; Bexar County; Texas","-","**",
"1500000US480291204013","Block Group 3; Census Tract 1204.01; Bexar County; Texas","74565","44461",
"1500000US480291204021","Block Group 1; Census Tract 1204.02; Bexar County; Texas","250,000+","***",
"1500000US480291204022","Block Group 2; Census Tract 1204.02; Bexar County; Texas","250,000+","***",
"1500000US480291204023","Block Group 3; Census Tract 1204.02; Bexar County; Texas","250,000+","***",
"1500000US480291205021","Block Group 1; Census Tract 1205.02; Bexar County; Texas","62482","28367",
"1500000US480291205022","Block Group 2; Census Tract 1205.02; Bexar County; Texas","54091","15545",
"1500000US480291205023","Block Group 3; Census Tract 1205.02; Bexar County; Texas","33832","17755",
"1500000US480291205024","Block Group 4; Census Tract 1205.02; Bexar County; Texas","71591","53008",
"1500000US480291205025","Block Group 5; Census Tract 1205.02; Bexar County; Texas","20449","14151",
"1500000US480291205026","Block Group 6; Census Tract 1205.02; Bexar County; Texas","47500","20932",
"1500000US480291205031","Block Group 1; Census Tract 1205.03; Bexar County; Texas","49219","22170",
"1500000US480291205032","Block Group 2; Census Tract 1205.03; Bexar County; Texas","53047","33834",
"1500000US480291205033","Block Group 3; Census Tract 1205.03; Bexar County; Texas","-","**",
"1500000US480291205041","Block Group 1; Census Tract 1205.04; Bexar County; Texas","70072","30042",
"1500000US480291205042","Block Group 2; Census Tract 1205.04; Bexar County; Texas","40175","25144",
"1500000US480291205043","Block Group 3; Census Tract 1205.04; Bexar County; Texas","68685","8790",
"1500000US480291205044","Block Group 4; Census Tract 1205.04; Bexar County; Texas","-","**",
"1500000US480291206011","Block Group 1; Census Tract 1206.01; Bexar County; Texas","60051","9264",
"1500000US480291206012","Block Group 2; Census Tract 1206.01; Bexar County; Texas","70789","25277",
"1500000US480291206013","Block Group 3; Census Tract 1206.01; Bexar County; Texas","39639","26275",
"1500000US480291206021","Block Group 1; Census Tract 1206.02; Bexar County; Texas","68990","12279",
"1500000US480291206022","Block Group 2; Census Tract 1206.02; Bexar County; Texas","88707","49729",
"1500000US480291206023","Block Group 3; Census Tract 1206.02; Bexar County; Texas","-","**",
"1500000US480291206024","Block Group 4; Census Tract 1206.02; Bexar County; Texas","89653","47345",
"1500000US480291207011","Block Group 1; Census Tract 1207.01; Bexar County; Texas","36615","10273",
"1500000US480291207012","Block Group 2; Census Tract 1207.01; Bexar County; Texas","70870","22876",
"1500000US480291207013","Block Group 3; Census Tract 1207.01; Bexar County; Texas","70994","18651",
"1500000US480291207014","Block Group 4; Census Tract 1207.01; Bexar County; Texas","53824","38489",
"1500000US480291207015","Block Group 5; Census Tract 1207.01; Bexar County; Texas","61150","26955",
"1500000US480291207021","Block Group 1; Census Tract 1207.02; Bexar County; Texas","192530","148599",
"1500000US480291207022","Block Group 2; Census Tract 1207.02; Bexar County; Texas","80189","38768",
