"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US060730001001","Block Group 1; Census Tract 1; San Diego County; California","199643","67511",
"1500000US060730001002","Block Group 2; Census Tract 1; San Diego County; California","174375","87814",
"1500000US060730002011","Block Group 1; Census Tract 2.01; San Diego County; California","159250","41452",
"1500000US060730002012","Block Group 2; Census Tract 2.01; San Diego County; California","90658","27331",
"1500000US060730002021","Block Group 1; Census Tract 2.02; San Diego County; California","49727","33993",
"1500000US060730002022","Block Group 2; Census Tract 2.02; San Diego County; California","116150","27789",
"1500000US060730002023","Block Group 3; Census Tract 2.02; San Diego County; California","134450","34821",
"1500000US060730002024","Block Group 4; Census Tract 2.02; San Diego County; California","105329","49705",
"1500000US060730003011","Block Group 1; Census Tract 3.01; San Diego County; California","93512","3744",
"1500000US060730003012","Block Group 2; Census Tract 3.01; San Diego County; California","115030","66621",
"1500000US060730003013","Block Group 3; Census Tract 3.01; San Diego County; California","83056","27213",
"1500000US060730003021","Block Group 1; Census Tract 3.02; San Diego County; California","76975","30947",
"1500000US060730003022","Block Group 2; Census Tract 3.02; San Diego County; California","111107","35150",
"1500000US060730004001","Block Group 1; Census Tract 4; San Diego County; California","85179","29452",
"1500000US060730004002","Block Group 2; Census Tract 4; San Diego County; California","131625","56150",
"1500000US060730004003","Block Group 3; Census Tract 4; San Diego County; California","85019","40280",
"1500000US060730004004","Block Group 4; Census Tract 4; San Diego County; California","86445","20869",
"1500000US060730005001","Block Group 1; Census Tract 5; San Diego County; California","88333","22492",
"1500000US060730005002","Block Group 2; Census Tract 5; San Diego County; California","92371","24536",
"1500000US060730005003","Block Group 3; Census Tract 5; San Diego County; California","104886","45765",
"1500000US060730006001","Block Group 1; Census Tract 6; San Diego County; California","96771","31092",
"1500000US060730006002","Block Group 2; Census Tract 6; San Diego County; California","111467","19955",
"1500000US060730006003","Block Group 3; Census Tract 6; San Diego County; California","82344","30831",
"1500000US060730007001","Block Group 1; Census Tract 7; San Diego County; California","89742","44524",
"1500000US060730007002","Block Group 2; Census Tract 7; San Diego County; California","111504","11851",
"1500000US060730007003","Block Group 3; Census Tract 7; San Diego County; California","56890","32471",
"1500000US060730008001","Block Group 1; Census Tract 8; San Diego County; California","107330","61822",
"1500000US060730008002","Block Group 2; Census Tract 8; San Diego County; California","203625","106423",
"1500000US060730008003","Block Group 3; Census Tract 8; San Diego County; California","114231","57026",
"1500000US060730008004","Block Group 4; Census Tract 8; San Diego County; California","55991","22230",
"1500000US060730008005","Block Group 5; Census Tract 8; San Diego County; California","67162","11774",
"1500000US060730009011","Block Group 1; Census Tract 9.01; San Diego County; California","105867","42094",
"1500000US060730009012","Block Group 2; Census Tract 9.01; San Diego County; California","93207","37830",
"1500000US060730009013","Block Group 3; Census Tract 9.01; San Diego County; California","89712","16307",
"1500000US060730009021","Block Group 1; Census Tract 9.02; San Diego County; California","23494","12875",
