"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US040190001001","Block Group 1; Census Tract 1; Pima County; Arizona","19583","13516",
"1500000US040190001002","Block Group 2; Census Tract 1; Pima County; Arizona","31250","22001",
"1500000US040190002001","Block Group 1; Census Tract 2; Pima County; Arizona","38973","13164",
"1500000US040190002002","Block Group 2; Census Tract 2; Pima County; Arizona","-","**",
"1500000US040190002003","Block Group 3; Census Tract 2; Pima County; Arizona","78056","67266",
"1500000US040190002004","Block Group 4; Census Tract 2; Pima County; Arizona","-","**",
"1500000US040190003001","Block Group 1; Census Tract 3; Pima County; Arizona","35125","17308",
"1500000US040190003002","Block Group 2; Census Tract 3; Pima County; Arizona","42813","21217",
"1500000US040190004011","Block Group 1; Census Tract 4.01; Pima County; Arizona","37969","13911",
"1500000US040190004012","Block Group 2; Census Tract 4.01; Pima County; Arizona","34550","29285",
"1500000US040190004021","Block Group 1; Census Tract 4.02; Pima County; Arizona","-","**",
"1500000US040190004022","Block Group 2; Census Tract 4.02; Pima County; Arizona","23986","11878",
"1500000US040190005011","Block Group 1; Census Tract 5.01; Pima County; Arizona","36250","25760",
"1500000US040190005012","Block Group 2; Census Tract 5.01; Pima County; Arizona","-","**",
"1500000US040190005013","Block Group 3; Census Tract 5.01; Pima County; Arizona","31615","8842",
"1500000US040190005021","Block Group 1; Census Tract 5.02; Pima County; Arizona","33956","6233",
"1500000US040190005022","Block Group 2; Census Tract 5.02; Pima County; Arizona","-","**",
"1500000US040190005023","Block Group 3; Census Tract 5.02; Pima County; Arizona","-","**",
"1500000US040190005024","Block Group 4; Census Tract 5.02; Pima County; Arizona","-","**",
"1500000US040190006001","Block Group 1; Census Tract 6; Pima County; Arizona","-","**",
"1500000US040190006002","Block Group 2; Census Tract 6; Pima County; Arizona","83244","13190",
"1500000US040190006003","Block Group 3; Census Tract 6; Pima County; Arizona","85141","31606",
"1500000US040190006004","Block Group 4; Census Tract 6; Pima County; Arizona","99063","26215",
"1500000US040190007001","Block Group 1; Census Tract 7; Pima County; Arizona","91838","36203",
"1500000US040190007002","Block Group 2; Census Tract 7; Pima County; Arizona","50703","13369",
"1500000US040190007003","Block Group 3; Census Tract 7; Pima County; Arizona","55331","19158",
"1500000US040190007004","Block Group 4; Census Tract 7; Pima County; Arizona","-","**",
"1500000US040190008001","Block Group 1; Census Tract 8; Pima County; Arizona","55670","6396",
"1500000US040190011001","Block Group 1; Census Tract 11; Pima County; Arizona","51167","11129",
"1500000US040190011002","Block Group 2; Census Tract 11; Pima County; Arizona","35459","3069",
"1500000US040190012001","Block Group 1; Census Tract 12; Pima County; Arizona","38580","12970",
"1500000US040190012002","Block Group 2; Census Tract 12; Pima County; Arizona","56034","8911",
"1500000US040190013021","Block Group 1; Census Tract 13.02; Pima County; Arizona","19542","11023",
"1500000US040190013022","Block Group 2; Census Tract 13.02; Pima County; Arizona","43032","11074",
"1500000US040190013031","Block Group 1; Census Tract 13.03; Pima County; Arizona","26023","10094",
"1500000US040190013032","Block Group 2; Census Tract 13.03; Pima County; Arizona","34563","2583",
"1500000US040190013041","Block Group 1; Census Tract 13.04; Pima County; Arizona","22557","21987",
"1500000US040190013042","Block Group 2; Census Tract 13.04; Pima County; Arizona","44242","12968",
"1500000US040190013043","Block Group 3; Census Tract 13.04; Pima County; Arizona","33659","3245",
"1500000US040190013044","Block Group 4; Census Tract 13.04; Pima County; Arizona","30104","21368",
"1500000US040190014001","Block Group 1; Census Tract 14; Pima County; Arizona","-","**",
"1500000US040190014002","Block Group 2; Census Tract 14; Pima County; Arizona","19194","8840",
"1500000US040190014003","Block Group 3; Census Tract 14; Pima County; Arizona","45240","15485",
"1500000US040190014004","Block Group 4; Census Tract 14; Pima County; Arizona","46087","19151",
"1500000US040190015001","Block Group 1; Census Tract 15; Pima County; Arizona","40233","9716",
"1500000US040190015002","Block Group 2; Census Tract 15; Pima County; Arizona","40000","20520",
"1500000US040190015003","Block Group 3; Census Tract 15; Pima County; Arizona","-","**",
"1500000US040190015004","Block Group 4; Census Tract 15; Pima County; Arizona","-","**",
"1500000US040190016001","Block Group 1; Census Tract 16; Pima County; Arizona","48125","24526",
"1500000US040190016002","Block Group 2; Census Tract 16; Pima County; Arizona","51793","33631",
"1500000US040190016003","Block Group 3; Census Tract 16; Pima County; Arizona","64219","21190",
"1500000US040190016004","Block Group 4; Census Tract 16; Pima County; Arizona","66011","15032",
"1500000US040190017001","Block Group 1; Census Tract 17; Pima County; Arizona","66438","10989",
"1500000US040190017002","Block Group 2; Census Tract 17; Pima County; Arizona","49563","24263",
"1500000US040190018011","Block Group 1; Census Tract 18.01; Pima County; Arizona","52813","47843",
"1500000US040190018012","Block Group 2; Census Tract 18.01; Pima County; Arizona","28866","4896",
"1500000US040190018013","Block Group 3; Census Tract 18.01; Pima County; Arizona","26199","5338",
"1500000US040190018014","Block Group 4; Census Tract 18.01; Pima County; Arizona","17168","7249",
"1500000US040190018015","Block Group 5; Census Tract 18.01; Pima County; Arizona","39792","30638",
"1500000US040190018021","Block Group 1; Census Tract 18.02; Pima County; Arizona","36250","19947",
"1500000US040190018022","Block Group 2; Census Tract 18.02; Pima County; Arizona","41625","9464",
"1500000US040190018023","Block Group 3; Census Tract 18.02; Pima County; Arizona","72188","23503",
"1500000US040190019001","Block Group 1; Census Tract 19; Pima County; Arizona","60917","23574",
"1500000US040190019002","Block Group 2; Census Tract 19; Pima County; Arizona","118618","54437",
"1500000US040190019003","Block Group 3; Census Tract 19; Pima County; Arizona","83977","33291",
"1500000US040190020001","Block Group 1; Census Tract 20; Pima County; Arizona","40989","7675",
"1500000US040190020002","Block Group 2; Census Tract 20; Pima County; Arizona","41538","25692",
"1500000US040190020003","Block Group 3; Census Tract 20; Pima County; Arizona","55286","15884",
"1500000US040190020004","Block Group 4; Census Tract 20; Pima County; Arizona","62412","58292",
"1500000US040190020005","Block Group 5; Census Tract 20; Pima County; Arizona","46167","33517",
"1500000US040190021001","Block Group 1; Census Tract 21; Pima County; Arizona","51354","20429",
"1500000US040190021002","Block Group 2; Census Tract 21; Pima County; Arizona","70582","10150",
"1500000US040190021003","Block Group 3; Census Tract 21; Pima County; Arizona","52111","11409",
"1500000US040190022011","Block Group 1; Census Tract 22.01; Pima County; Arizona","41550","12281",
"1500000US040190022012","Block Group 2; Census Tract 22.01; Pima County; Arizona","66463","22977",
"1500000US040190022021","Block Group 1; Census Tract 22.02; Pima County; Arizona","56953","35016",
"1500000US040190022022","Block Group 2; Census Tract 22.02; Pima County; Arizona","-","**",
"1500000US040190023001","Block Group 1; Census Tract 23; Pima County; Arizona","43333","16605",
"1500000US040190023002","Block Group 2; Census Tract 23; Pima County; Arizona","34222","6722",
"1500000US040190023003","Block Group 3; Census Tract 23; Pima County; Arizona","22292","7404",
"1500000US040190024001","Block Group 1; Census Tract 24; Pima County; Arizona","40417","23846",
"1500000US040190024002","Block Group 2; Census Tract 24; Pima County; Arizona","23066","12312",
"1500000US040190024003","Block Group 3; Census Tract 24; Pima County; Arizona","55762","19900",
"1500000US040190024004","Block Group 4; Census Tract 24; Pima County; Arizona","47098","23540",
"1500000US040190025031","Block Group 1; Census Tract 25.03; Pima County; Arizona","30536","13521",
"1500000US040190025032","Block Group 2; Census Tract 25.03; Pima County; Arizona","43374","13791",
"1500000US040190025033","Block Group 3; Census Tract 25.03; Pima County; Arizona","42105","24877",
"1500000US040190025041","Block Group 1; Census Tract 25.04; Pima County; Arizona","37740","6491",
"1500000US040190025042","Block Group 2; Census Tract 25.04; Pima County; Arizona","52123","21832",
"1500000US040190025043","Block Group 3; Census Tract 25.04; Pima County; Arizona","57281","34341",
"1500000US040190025051","Block Group 1; Census Tract 25.05; Pima County; Arizona","56030","6622",
"1500000US040190025052","Block Group 2; Census Tract 25.05; Pima County; Arizona","63478","14344",
"1500000US040190025053","Block Group 3; Census Tract 25.05; Pima County; Arizona","72543","15620",
"1500000US040190025054","Block Group 4; Census Tract 25.05; Pima County; Arizona","65872","36021",
"1500000US040190025071","Block Group 1; Census Tract 25.07; Pima County; Arizona","64628","36178",
"1500000US040190025072","Block Group 2; Census Tract 25.07; Pima County; Arizona","33606","5940",
"1500000US040190025081","Block Group 1; Census Tract 25.08; Pima County; Arizona","73365","27926",
"1500000US040190025082","Block Group 2; Census Tract 25.08; Pima County; Arizona","-","**",
"1500000US040190025083","Block Group 3; Census Tract 25.08; Pima County; Arizona","46500","25906",
"1500000US040190025091","Block Group 1; Census Tract 25.09; Pima County; Arizona","49375","16692",
"1500000US040190025092","Block Group 2; Census Tract 25.09; Pima County; Arizona","-","**",
"1500000US040190025093","Block Group 3; Census Tract 25.09; Pima County; Arizona","-","**",
"1500000US040190026021","Block Group 1; Census Tract 26.02; Pima County; Arizona","42593","17841",
"1500000US040190026022","Block Group 2; Census Tract 26.02; Pima County; Arizona","18209","4377",
"1500000US040190026023","Block Group 3; Census Tract 26.02; Pima County; Arizona","53200","8337",
"1500000US040190026024","Block Group 4; Census Tract 26.02; Pima County; Arizona","43319","16495",
"1500000US040190026031","Block Group 1; Census Tract 26.03; Pima County; Arizona","28364","6335",
"1500000US040190026032","Block Group 2; Census Tract 26.03; Pima County; Arizona","31068","9038",
"1500000US040190026041","Block Group 1; Census Tract 26.04; Pima County; Arizona","30667","11986",
"1500000US040190026042","Block Group 2; Census Tract 26.04; Pima County; Arizona","31648","14745",
"1500000US040190026043","Block Group 3; Census Tract 26.04; Pima County; Arizona","30625","9969",
"1500000US040190027021","Block Group 1; Census Tract 27.02; Pima County; Arizona","38785","26042",
"1500000US040190027022","Block Group 2; Census Tract 27.02; Pima County; Arizona","60784","7480",
"1500000US040190027023","Block Group 3; Census Tract 27.02; Pima County; Arizona","64392","17419",
"1500000US040190027024","Block Group 4; Census Tract 27.02; Pima County; Arizona","71789","13852",
"1500000US040190027025","Block Group 5; Census Tract 27.02; Pima County; Arizona","43688","16374",
"1500000US040190027031","Block Group 1; Census Tract 27.03; Pima County; Arizona","38221","11177",
"1500000US040190027032","Block Group 2; Census Tract 27.03; Pima County; Arizona","42813","12684",
"1500000US040190027033","Block Group 3; Census Tract 27.03; Pima County; Arizona","43355","12943",
"1500000US040190027041","Block Group 1; Census Tract 27.04; Pima County; Arizona","37361","19233",
"1500000US040190027042","Block Group 2; Census Tract 27.04; Pima County; Arizona","42000","19442",
"1500000US040190028011","Block Group 1; Census Tract 28.01; Pima County; Arizona","35484","8733",
"1500000US040190028012","Block Group 2; Census Tract 28.01; Pima County; Arizona","20094","17298",
"1500000US040190028021","Block Group 1; Census Tract 28.02; Pima County; Arizona","49255","8289",
"1500000US040190028022","Block Group 2; Census Tract 28.02; Pima County; Arizona","47538","15677",
"1500000US040190028023","Block Group 3; Census Tract 28.02; Pima County; Arizona","24656","16311",
"1500000US040190028031","Block Group 1; Census Tract 28.03; Pima County; Arizona","47143","29959",
