"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US110010001011","Block Group 1; Census Tract 1.01; District of Columbia; District of Columbia","168705","60589",
"1500000US110010001021","Block Group 1; Census Tract 1.02; District of Columbia; District of Columbia","182885","59396",
"1500000US110010001022","Block Group 2; Census Tract 1.02; District of Columbia; District of Columbia","217772","97815",
"1500000US110010001023","Block Group 3; Census Tract 1.02; District of Columbia; District of Columbia","146139","101076",
"1500000US110010002011","Block Group 1; Census Tract 2.01; District of Columbia; District of Columbia","-","**",
"1500000US110010002012","Block Group 2; Census Tract 2.01; District of Columbia; District of Columbia","-","**",
"1500000US110010002021","Block Group 1; Census Tract 2.02; District of Columbia; District of Columbia","250,000+","***",
"1500000US110010002022","Block Group 2; Census Tract 2.02; District of Columbia; District of Columbia","250,000+","***",
"1500000US110010002023","Block Group 3; Census Tract 2.02; District of Columbia; District of Columbia","123345","25239",
"1500000US110010002024","Block Group 4; Census Tract 2.02; District of Columbia; District of Columbia","170688","49742",
"1500000US110010003001","Block Group 1; Census Tract 3; District of Columbia; District of Columbia","190313","119795",
"1500000US110010003002","Block Group 2; Census Tract 3; District of Columbia; District of Columbia","102917","37994",
"1500000US110010003003","Block Group 3; Census Tract 3; District of Columbia; District of Columbia","250,000+","***",
"1500000US110010003004","Block Group 4; Census Tract 3; District of Columbia; District of Columbia","218088","48159",
"1500000US110010004001","Block Group 1; Census Tract 4; District of Columbia; District of Columbia","250,000+","***",
"1500000US110010004002","Block Group 2; Census Tract 4; District of Columbia; District of Columbia","174107","54241",
"1500000US110010005011","Block Group 1; Census Tract 5.01; District of Columbia; District of Columbia","104410","27584",
"1500000US110010005012","Block Group 2; Census Tract 5.01; District of Columbia; District of Columbia","109625","71308",
"1500000US110010005013","Block Group 3; Census Tract 5.01; District of Columbia; District of Columbia","135455","79594",
"1500000US110010005021","Block Group 1; Census Tract 5.02; District of Columbia; District of Columbia","222875","52292",
"1500000US110010005022","Block Group 2; Census Tract 5.02; District of Columbia; District of Columbia","136435","20114",
"1500000US110010006001","Block Group 1; Census Tract 6; District of Columbia; District of Columbia","94118","38480",
"1500000US110010006002","Block Group 2; Census Tract 6; District of Columbia; District of Columbia","220536","120703",
"1500000US110010006003","Block Group 3; Census Tract 6; District of Columbia; District of Columbia","100743","70835",
"1500000US110010006004","Block Group 4; Census Tract 6; District of Columbia; District of Columbia","250,000+","***",
