"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US350010001071","Block Group 1; Census Tract 1.07; Bernalillo County; New Mexico","72344","64013",
"1500000US350010001072","Block Group 2; Census Tract 1.07; Bernalillo County; New Mexico","85491","7402",
"1500000US350010001081","Block Group 1; Census Tract 1.08; Bernalillo County; New Mexico","111053","40762",
"1500000US350010001082","Block Group 2; Census Tract 1.08; Bernalillo County; New Mexico","-","**",
"1500000US350010001091","Block Group 1; Census Tract 1.09; Bernalillo County; New Mexico","69375","52640",
"1500000US350010001092","Block Group 2; Census Tract 1.09; Bernalillo County; New Mexico","87545","12286",
"1500000US350010001101","Block Group 1; Census Tract 1.10; Bernalillo County; New Mexico","41366","7945",
"1500000US350010001102","Block Group 2; Census Tract 1.10; Bernalillo County; New Mexico","66326","2936",
"1500000US350010001103","Block Group 3; Census Tract 1.10; Bernalillo County; New Mexico","112404","46892",
"1500000US350010001111","Block Group 1; Census Tract 1.11; Bernalillo County; New Mexico","94750","29204",
"1500000US350010001112","Block Group 2; Census Tract 1.11; Bernalillo County; New Mexico","132522","70839",
"1500000US350010001121","Block Group 1; Census Tract 1.12; Bernalillo County; New Mexico","103466","7058",
"1500000US350010001122","Block Group 2; Census Tract 1.12; Bernalillo County; New Mexico","138594","18002",
"1500000US350010001131","Block Group 1; Census Tract 1.13; Bernalillo County; New Mexico","69861","27671",
"1500000US350010001132","Block Group 2; Census Tract 1.13; Bernalillo County; New Mexico","87411","53485",
"1500000US350010001141","Block Group 1; Census Tract 1.14; Bernalillo County; New Mexico","62188","20642",
"1500000US350010001142","Block Group 2; Census Tract 1.14; Bernalillo County; New Mexico","43750","21376",
"1500000US350010001151","Block Group 1; Census Tract 1.15; Bernalillo County; New Mexico","72635","9784",
"1500000US350010001152","Block Group 2; Census Tract 1.15; Bernalillo County; New Mexico","76250","30880",
"1500000US350010001153","Block Group 3; Census Tract 1.15; Bernalillo County; New Mexico","-","**",
"1500000US350010001161","Block Group 1; Census Tract 1.16; Bernalillo County; New Mexico","123594","29479",
"1500000US350010001162","Block Group 2; Census Tract 1.16; Bernalillo County; New Mexico","80250","39280",
"1500000US350010001171","Block Group 1; Census Tract 1.17; Bernalillo County; New Mexico","73333","16875",
"1500000US350010001172","Block Group 2; Census Tract 1.17; Bernalillo County; New Mexico","95640","24310",
"1500000US350010001181","Block Group 1; Census Tract 1.18; Bernalillo County; New Mexico","65357","24225",
"1500000US350010001182","Block Group 2; Census Tract 1.18; Bernalillo County; New Mexico","86563","67388",
"1500000US350010001191","Block Group 1; Census Tract 1.19; Bernalillo County; New Mexico","133173","20584",
"1500000US350010001192","Block Group 2; Census Tract 1.19; Bernalillo County; New Mexico","82188","56396",
"1500000US350010001201","Block Group 1; Census Tract 1.20; Bernalillo County; New Mexico","50703","13672",
"1500000US350010001202","Block Group 2; Census Tract 1.20; Bernalillo County; New Mexico","30078","4200",
"1500000US350010001211","Block Group 1; Census Tract 1.21; Bernalillo County; New Mexico","36382","18300",
"1500000US350010001212","Block Group 2; Census Tract 1.21; Bernalillo County; New Mexico","60219","17430",
"1500000US350010001213","Block Group 3; Census Tract 1.21; Bernalillo County; New Mexico","29125","14435",
"1500000US350010001214","Block Group 4; Census Tract 1.21; Bernalillo County; New Mexico","57849","20747",
"1500000US350010001215","Block Group 5; Census Tract 1.21; Bernalillo County; New Mexico","62639","56247",
"1500000US350010001221","Block Group 1; Census Tract 1.22; Bernalillo County; New Mexico","51944","43135",
"1500000US350010001222","Block Group 2; Census Tract 1.22; Bernalillo County; New Mexico","78125","39447",
"1500000US350010001223","Block Group 3; Census Tract 1.22; Bernalillo County; New Mexico","74531","33592",
