"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US131210001001","Block Group 1; Census Tract 1; Fulton County; Georgia","-","**",
"1500000US131210001002","Block Group 2; Census Tract 1; Fulton County; Georgia","166128","155996",
"1500000US131210001003","Block Group 3; Census Tract 1; Fulton County; Georgia","187065","51862",
"1500000US131210001004","Block Group 4; Census Tract 1; Fulton County; Georgia","-","**",
"1500000US131210001005","Block Group 5; Census Tract 1; Fulton County; Georgia","159375","120094",
"1500000US131210002011","Block Group 1; Census Tract 2.01; Fulton County; Georgia","114842","41133",
"1500000US131210002012","Block Group 2; Census Tract 2.01; Fulton County; Georgia","140938","53592",
"1500000US131210002021","Block Group 1; Census Tract 2.02; Fulton County; Georgia","-","**",
"1500000US131210002022","Block Group 2; Census Tract 2.02; Fulton County; Georgia","250,000+","***",
"1500000US131210002023","Block Group 3; Census Tract 2.02; Fulton County; Georgia","132197","122432",
"1500000US131210004001","Block Group 1; Census Tract 4; Fulton County; Georgia","180134","47886",
"1500000US131210004002","Block Group 2; Census Tract 4; Fulton County; Georgia","117250","20144",
"1500000US131210005011","Block Group 1; Census Tract 5.01; Fulton County; Georgia","241453","90395",
"1500000US131210005012","Block Group 2; Census Tract 5.01; Fulton County; Georgia","103592","17188",
"1500000US131210005013","Block Group 3; Census Tract 5.01; Fulton County; Georgia","59875","51732",
"1500000US131210005014","Block Group 4; Census Tract 5.01; Fulton County; Georgia","-","**",
"1500000US131210005021","Block Group 1; Census Tract 5.02; Fulton County; Georgia","94643","16286",
"1500000US131210005022","Block Group 2; Census Tract 5.02; Fulton County; Georgia","173167","109669",
"1500000US131210006011","Block Group 1; Census Tract 6.01; Fulton County; Georgia","81184","27387",
"1500000US131210006012","Block Group 2; Census Tract 6.01; Fulton County; Georgia","-","**",
"1500000US131210006013","Block Group 3; Census Tract 6.01; Fulton County; Georgia","91838","72355",
"1500000US131210006021","Block Group 1; Census Tract 6.02; Fulton County; Georgia","55486","29229",
