"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US482090101001","Block Group 1; Census Tract 101; Hays County; Texas","28831","6676",
"1500000US482090101002","Block Group 2; Census Tract 101; Hays County; Texas","70833","26599",
"1500000US482090102001","Block Group 1; Census Tract 102; Hays County; Texas","27411","19617",
"1500000US482090102002","Block Group 2; Census Tract 102; Hays County; Texas","2,500-","***",
"1500000US482090102003","Block Group 3; Census Tract 102; Hays County; Texas","25966","22141",
"1500000US482090102004","Block Group 4; Census Tract 102; Hays County; Texas","73750","60164",
"1500000US482090103021","Block Group 1; Census Tract 103.02; Hays County; Texas","34968","20641",
"1500000US482090103022","Block Group 2; Census Tract 103.02; Hays County; Texas","78750","63315",
"1500000US482090103023","Block Group 3; Census Tract 103.02; Hays County; Texas","36250","21398",
"1500000US482090103051","Block Group 1; Census Tract 103.05; Hays County; Texas","40179","30257",
"1500000US482090103052","Block Group 2; Census Tract 103.05; Hays County; Texas","43949","21630",
"1500000US482090103053","Block Group 3; Census Tract 103.05; Hays County; Texas","48506","1127",
"1500000US482090103054","Block Group 4; Census Tract 103.05; Hays County; Texas","-","**",
"1500000US482090103061","Block Group 1; Census Tract 103.06; Hays County; Texas","50800","16801",
"1500000US482090103071","Block Group 1; Census Tract 103.07; Hays County; Texas","23260","4390",
"1500000US482090103072","Block Group 2; Census Tract 103.07; Hays County; Texas","34896","24234",
"1500000US482090103073","Block Group 3; Census Tract 103.07; Hays County; Texas","18958","11912",
"1500000US482090103081","Block Group 1; Census Tract 103.08; Hays County; Texas","-","**",
"1500000US482090103082","Block Group 2; Census Tract 103.08; Hays County; Texas","-","**",
"1500000US482090103091","Block Group 1; Census Tract 103.09; Hays County; Texas","49178","9093",
"1500000US482090103092","Block Group 2; Census Tract 103.09; Hays County; Texas","48882","32236",
"1500000US482090104011","Block Group 1; Census Tract 104.01; Hays County; Texas","61002","2439",
"1500000US482090104012","Block Group 2; Census Tract 104.01; Hays County; Texas","55498","15757",
"1500000US482090104013","Block Group 3; Census Tract 104.01; Hays County; Texas","26250","9137",
"1500000US482090104021","Block Group 1; Census Tract 104.02; Hays County; Texas","89129","11423",
"1500000US482090104022","Block Group 2; Census Tract 104.02; Hays County; Texas","68557","18931",
"1500000US482090104023","Block Group 3; Census Tract 104.02; Hays County; Texas","50884","5827",
"1500000US482090105001","Block Group 1; Census Tract 105; Hays County; Texas","66000","14307",
"1500000US482090105002","Block Group 2; Census Tract 105; Hays County; Texas","36400","4552",
"1500000US482090105003","Block Group 3; Census Tract 105; Hays County; Texas","54808","26262",
"1500000US482090106011","Block Group 1; Census Tract 106.01; Hays County; Texas","32090","4358",
"1500000US482090106012","Block Group 2; Census Tract 106.01; Hays County; Texas","-","**",
"1500000US482090106013","Block Group 3; Census Tract 106.01; Hays County; Texas","91732","82046",
"1500000US482090106021","Block Group 1; Census Tract 106.02; Hays County; Texas","201101","28666",
"1500000US482090106022","Block Group 2; Census Tract 106.02; Hays County; Texas","48508","25841",
"1500000US482090106023","Block Group 3; Census Tract 106.02; Hays County; Texas","107460","32459",
"1500000US482090106031","Block Group 1; Census Tract 106.03; Hays County; Texas","92250","35406",
"1500000US482090106032","Block Group 2; Census Tract 106.03; Hays County; Texas","181250","113765",
"1500000US482090107021","Block Group 1; Census Tract 107.02; Hays County; Texas","34596","18433",
"1500000US482090107022","Block Group 2; Census Tract 107.02; Hays County; Texas","89219","23660",
"1500000US482090107031","Block Group 1; Census Tract 107.03; Hays County; Texas","-","**",
"1500000US482090107032","Block Group 2; Census Tract 107.03; Hays County; Texas","40357","15101",
"1500000US482090107033","Block Group 3; Census Tract 107.03; Hays County; Texas","64485","44567",
"1500000US482090107034","Block Group 4; Census Tract 107.03; Hays County; Texas","25074","15160",
"1500000US482090107041","Block Group 1; Census Tract 107.04; Hays County; Texas","37219","14217",
"1500000US482090108061","Block Group 1; Census Tract 108.06; Hays County; Texas","146346","99233",
"1500000US482090108062","Block Group 2; Census Tract 108.06; Hays County; Texas","140536","54006",
"1500000US482090108063","Block Group 3; Census Tract 108.06; Hays County; Texas","121806","28340",
"1500000US482090108071","Block Group 1; Census Tract 108.07; Hays County; Texas","154583","72289",
"1500000US482090108072","Block Group 2; Census Tract 108.07; Hays County; Texas","140224","20946",
"1500000US482090108091","Block Group 1; Census Tract 108.09; Hays County; Texas","133086","30437",
"1500000US482090108092","Block Group 2; Census Tract 108.09; Hays County; Texas","153906","21920",
"1500000US482090108093","Block Group 3; Census Tract 108.09; Hays County; Texas","119971","47267",
"1500000US482090108101","Block Group 1; Census Tract 108.10; Hays County; Texas","-","**",
"1500000US482090108102","Block Group 2; Census Tract 108.10; Hays County; Texas","99743","64128",
"1500000US482090108111","Block Group 1; Census Tract 108.11; Hays County; Texas","-","**",
"1500000US482090108112","Block Group 2; Census Tract 108.11; Hays County; Texas","80288","71028",
"1500000US482090108121","Block Group 1; Census Tract 108.12; Hays County; Texas","170142","33487",
"1500000US482090108122","Block Group 2; Census Tract 108.12; Hays County; Texas","-","**",
"1500000US482090108123","Block Group 3; Census Tract 108.12; Hays County; Texas","157500","116646",
"1500000US482090108124","Block Group 4; Census Tract 108.12; Hays County; Texas","132417","75604",
"1500000US482090108131","Block Group 1; Census Tract 108.13; Hays County; Texas","54167","21484",
"1500000US482090108132","Block Group 2; Census Tract 108.13; Hays County; Texas","135380","37750",
"1500000US482090108133","Block Group 3; Census Tract 108.13; Hays County; Texas","-","**",
"1500000US482090108141","Block Group 1; Census Tract 108.14; Hays County; Texas","73542","31656",
"1500000US482090108142","Block Group 2; Census Tract 108.14; Hays County; Texas","67837","17649",
"1500000US482090108151","Block Group 1; Census Tract 108.15; Hays County; Texas","140238","23648",
"1500000US482090108161","Block Group 1; Census Tract 108.16; Hays County; Texas","109360","94392",
"1500000US482090108162","Block Group 2; Census Tract 108.16; Hays County; Texas","144702","81549",
"1500000US482090108163","Block Group 3; Census Tract 108.16; Hays County; Texas","211354","3714",
"1500000US482090108164","Block Group 4; Census Tract 108.16; Hays County; Texas","204141","43594",
"1500000US482090108165","Block Group 5; Census Tract 108.16; Hays County; Texas","149495","50842",
"1500000US482090108171","Block Group 1; Census Tract 108.17; Hays County; Texas","113523","83152",
"1500000US482090108172","Block Group 2; Census Tract 108.17; Hays County; Texas","106667","44890",
