"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US080310001021","Block Group 1; Census Tract 1.02; Denver County; Colorado","149276","47289",
"1500000US080310001022","Block Group 2; Census Tract 1.02; Denver County; Colorado","108375","28844",
"1500000US080310001023","Block Group 3; Census Tract 1.02; Denver County; Colorado","150375","41379",
"1500000US080310001024","Block Group 4; Census Tract 1.02; Denver County; Colorado","-","**",
"1500000US080310002011","Block Group 1; Census Tract 2.01; Denver County; Colorado","40682","16832",
"1500000US080310002012","Block Group 2; Census Tract 2.01; Denver County; Colorado","107305","25861",
"1500000US080310002021","Block Group 1; Census Tract 2.02; Denver County; Colorado","16250","10311",
"1500000US080310002022","Block Group 2; Census Tract 2.02; Denver County; Colorado","91688","31260",
"1500000US080310002023","Block Group 3; Census Tract 2.02; Denver County; Colorado","96094","30626",
"1500000US080310002024","Block Group 4; Census Tract 2.02; Denver County; Colorado","147581","82036",
"1500000US080310003011","Block Group 1; Census Tract 3.01; Denver County; Colorado","110446","48592",
"1500000US080310003012","Block Group 2; Census Tract 3.01; Denver County; Colorado","150272","35596",
"1500000US080310003013","Block Group 3; Census Tract 3.01; Denver County; Colorado","155139","75449",
"1500000US080310003014","Block Group 4; Census Tract 3.01; Denver County; Colorado","113861","32620",
"1500000US080310003015","Block Group 5; Census Tract 3.01; Denver County; Colorado","-","**",
"1500000US080310003016","Block Group 6; Census Tract 3.01; Denver County; Colorado","192241","53508",
"1500000US080310003021","Block Group 1; Census Tract 3.02; Denver County; Colorado","76118","56360",
"1500000US080310003022","Block Group 2; Census Tract 3.02; Denver County; Colorado","113505","76622",
"1500000US080310003023","Block Group 3; Census Tract 3.02; Denver County; Colorado","166979","91124",
"1500000US080310003024","Block Group 4; Census Tract 3.02; Denver County; Colorado","155750","86506",
"1500000US080310003025","Block Group 5; Census Tract 3.02; Denver County; Colorado","103602","9841",
"1500000US080310003031","Block Group 1; Census Tract 3.03; Denver County; Colorado","172011","66252",
"1500000US080310003032","Block Group 2; Census Tract 3.03; Denver County; Colorado","68229","2326",
"1500000US080310003033","Block Group 3; Census Tract 3.03; Denver County; Colorado","151250","80939",
"1500000US080310003034","Block Group 4; Census Tract 3.03; Denver County; Colorado","88225","46461",
"1500000US080310003035","Block Group 5; Census Tract 3.03; Denver County; Colorado","163889","95964",
"1500000US080310003036","Block Group 6; Census Tract 3.03; Denver County; Colorado","112738","101610",
"1500000US080310004011","Block Group 1; Census Tract 4.01; Denver County; Colorado","112151","23189",
"1500000US080310004012","Block Group 2; Census Tract 4.01; Denver County; Colorado","54943","39734",
"1500000US080310004013","Block Group 3; Census Tract 4.01; Denver County; Colorado","126063","35830",
"1500000US080310004014","Block Group 4; Census Tract 4.01; Denver County; Colorado","116375","83671",
"1500000US080310004031","Block Group 1; Census Tract 4.03; Denver County; Colorado","-","**",
