"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US060190001001","Block Group 1; Census Tract 1; Fresno County; California","18081","4436",
"1500000US060190002001","Block Group 1; Census Tract 2; Fresno County; California","24643","15117",
"1500000US060190002002","Block Group 2; Census Tract 2; Fresno County; California","54009","14862",
"1500000US060190003001","Block Group 1; Census Tract 3; Fresno County; California","40859","17008",
"1500000US060190003002","Block Group 2; Census Tract 3; Fresno County; California","54213","18175",
"1500000US060190003003","Block Group 3; Census Tract 3; Fresno County; California","26329","20784",
"1500000US060190004001","Block Group 1; Census Tract 4; Fresno County; California","23611","11546",
"1500000US060190004002","Block Group 2; Census Tract 4; Fresno County; California","55809","18589",
"1500000US060190004003","Block Group 3; Census Tract 4; Fresno County; California","-","**",
"1500000US060190004004","Block Group 4; Census Tract 4; Fresno County; California","50819","31368",
"1500000US060190005011","Block Group 1; Census Tract 5.01; Fresno County; California","33750","11843",
"1500000US060190005012","Block Group 2; Census Tract 5.01; Fresno County; California","34242","6972",
"1500000US060190005021","Block Group 1; Census Tract 5.02; Fresno County; California","36964","15966",
"1500000US060190005022","Block Group 2; Census Tract 5.02; Fresno County; California","32396","11288",
"1500000US060190006011","Block Group 1; Census Tract 6.01; Fresno County; California","23877","7523",
"1500000US060190006012","Block Group 2; Census Tract 6.01; Fresno County; California","20439","17120",
"1500000US060190006013","Block Group 3; Census Tract 6.01; Fresno County; California","29420","8150",
"1500000US060190006014","Block Group 4; Census Tract 6.01; Fresno County; California","27078","8568",
"1500000US060190006021","Block Group 1; Census Tract 6.02; Fresno County; California","19286","18361",
"1500000US060190007011","Block Group 1; Census Tract 7.01; Fresno County; California","24511","17824",
"1500000US060190007021","Block Group 1; Census Tract 7.02; Fresno County; California","36009","7618",
"1500000US060190009011","Block Group 1; Census Tract 9.01; Fresno County; California","59464","32242",
"1500000US060190009012","Block Group 2; Census Tract 9.01; Fresno County; California","26213","13357",
"1500000US060190009021","Block Group 1; Census Tract 9.02; Fresno County; California","-","**",
"1500000US060190009022","Block Group 2; Census Tract 9.02; Fresno County; California","-","**",
"1500000US060190009023","Block Group 3; Census Tract 9.02; Fresno County; California","-","**",
"1500000US060190010001","Block Group 1; Census Tract 10; Fresno County; California","24476","3915",
"1500000US060190010002","Block Group 2; Census Tract 10; Fresno County; California","45597","10493",
"1500000US060190011001","Block Group 1; Census Tract 11; Fresno County; California","37917","25942",
"1500000US060190011002","Block Group 2; Census Tract 11; Fresno County; California","35804","17231",
"1500000US060190012011","Block Group 1; Census Tract 12.01; Fresno County; California","62500","49258",
"1500000US060190012012","Block Group 2; Census Tract 12.01; Fresno County; California","48657","8566",
"1500000US060190012013","Block Group 3; Census Tract 12.01; Fresno County; California","77292","42299",
"1500000US060190012014","Block Group 4; Census Tract 12.01; Fresno County; California","38409","26807",
"1500000US060190012021","Block Group 1; Census Tract 12.02; Fresno County; California","35303","10082",
"1500000US060190012022","Block Group 2; Census Tract 12.02; Fresno County; California","57698","15779",
"1500000US060190013011","Block Group 1; Census Tract 13.01; Fresno County; California","-","**",
"1500000US060190013012","Block Group 2; Census Tract 13.01; Fresno County; California","-","**",
"1500000US060190013013","Block Group 3; Census Tract 13.01; Fresno County; California","57415","13254",
"1500000US060190013014","Block Group 4; Census Tract 13.01; Fresno County; California","32898","16207",
"1500000US060190013015","Block Group 5; Census Tract 13.01; Fresno County; California","20519","12175",
"1500000US060190013031","Block Group 1; Census Tract 13.03; Fresno County; California","53750","28787",
"1500000US060190013032","Block Group 2; Census Tract 13.03; Fresno County; California","42250","18098",
"1500000US060190013041","Block Group 1; Census Tract 13.04; Fresno County; California","24348","6233",
"1500000US060190013042","Block Group 2; Census Tract 13.04; Fresno County; California","40664","13236",
"1500000US060190013043","Block Group 3; Census Tract 13.04; Fresno County; California","23384","6165",
"1500000US060190014071","Block Group 1; Census Tract 14.07; Fresno County; California","18295","6396",
"1500000US060190014072","Block Group 2; Census Tract 14.07; Fresno County; California","34840","19951",
"1500000US060190014073","Block Group 3; Census Tract 14.07; Fresno County; California","29234","25187",
"1500000US060190014074","Block Group 4; Census Tract 14.07; Fresno County; California","-","**",
"1500000US060190014081","Block Group 1; Census Tract 14.08; Fresno County; California","16388","1650",
"1500000US060190014082","Block Group 2; Census Tract 14.08; Fresno County; California","130486","55667",
"1500000US060190014091","Block Group 1; Census Tract 14.09; Fresno County; California","109615","25593",
"1500000US060190014111","Block Group 1; Census Tract 14.11; Fresno County; California","91196","14380",
"1500000US060190014112","Block Group 2; Census Tract 14.11; Fresno County; California","70571","19802",
"1500000US060190014113","Block Group 3; Census Tract 14.11; Fresno County; California","84464","27971",
"1500000US060190014114","Block Group 4; Census Tract 14.11; Fresno County; California","-","**",
"1500000US060190014121","Block Group 1; Census Tract 14.12; Fresno County; California","97500","28339",
"1500000US060190014131","Block Group 1; Census Tract 14.13; Fresno County; California","96458","15358",
"1500000US060190014132","Block Group 2; Census Tract 14.13; Fresno County; California","131295","16855",
"1500000US060190014151","Block Group 1; Census Tract 14.15; Fresno County; California","76719","29815",
"1500000US060190014152","Block Group 2; Census Tract 14.15; Fresno County; California","73516","24073",
"1500000US060190014153","Block Group 3; Census Tract 14.15; Fresno County; California","113333","78792",
"1500000US060190014161","Block Group 1; Census Tract 14.16; Fresno County; California","89769","38757",
"1500000US060190014162","Block Group 2; Census Tract 14.16; Fresno County; California","99141","26365",
"1500000US060190014171","Block Group 1; Census Tract 14.17; Fresno County; California","120114","28636",
"1500000US060190014172","Block Group 2; Census Tract 14.17; Fresno County; California","115938","60904",
"1500000US060190014173","Block Group 3; Census Tract 14.17; Fresno County; California","250,000+","***",
"1500000US060190014181","Block Group 1; Census Tract 14.18; Fresno County; California","114934","23531",
"1500000US060190014182","Block Group 2; Census Tract 14.18; Fresno County; California","-","**",
"1500000US060190015001","Block Group 1; Census Tract 15; Fresno County; California","55481","17603",
"1500000US060190015002","Block Group 2; Census Tract 15; Fresno County; California","71250","40822",
"1500000US060190016001","Block Group 1; Census Tract 16; Fresno County; California","73646","37346",
"1500000US060190016002","Block Group 2; Census Tract 16; Fresno County; California","-","**",
"1500000US060190016003","Block Group 3; Census Tract 16; Fresno County; California","40156","26601",
"1500000US060190017001","Block Group 1; Census Tract 17; Fresno County; California","69792","21069",
"1500000US060190017002","Block Group 2; Census Tract 17; Fresno County; California","97545","50618",
"1500000US060190017003","Block Group 3; Census Tract 17; Fresno County; California","96890","26465",
"1500000US060190017004","Block Group 4; Census Tract 17; Fresno County; California","85609","26842",
