"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US482011000011","Block Group 1; Census Tract 1000.01; Harris County; Texas","78060","21494",
"1500000US482011000012","Block Group 2; Census Tract 1000.01; Harris County; Texas","96615","38448",
"1500000US482012104001","Block Group 1; Census Tract 2104; Harris County; Texas","60663","16348",
"1500000US482012104002","Block Group 2; Census Tract 2104; Harris County; Texas","41268","17155",
"1500000US482012105001","Block Group 1; Census Tract 2105; Harris County; Texas","66979","27972",
"1500000US482012105002","Block Group 2; Census Tract 2105; Harris County; Texas","-","**",
"1500000US482012105003","Block Group 3; Census Tract 2105; Harris County; Texas","34702","28511",
"1500000US482012106001","Block Group 1; Census Tract 2106; Harris County; Texas","96667","80787",
"1500000US482012106002","Block Group 2; Census Tract 2106; Harris County; Texas","52962","24366",
"1500000US482012106003","Block Group 3; Census Tract 2106; Harris County; Texas","85994","5745",
"1500000US482012107001","Block Group 1; Census Tract 2107; Harris County; Texas","49588","10379",
"1500000US482012108001","Block Group 1; Census Tract 2108; Harris County; Texas","25670","9717",
"1500000US482012108002","Block Group 2; Census Tract 2108; Harris County; Texas","58421","28855",
"1500000US482012109001","Block Group 1; Census Tract 2109; Harris County; Texas","37235","11423",
"1500000US482012110001","Block Group 1; Census Tract 2110; Harris County; Texas","28185","16611",
"1500000US482012111011","Block Group 1; Census Tract 2111.01; Harris County; Texas","-","**",
"1500000US482012111012","Block Group 2; Census Tract 2111.01; Harris County; Texas","40723","3500",
"1500000US482012111021","Block Group 1; Census Tract 2111.02; Harris County; Texas","-","**",
"1500000US482012111022","Block Group 2; Census Tract 2111.02; Harris County; Texas","29563","14670",
"1500000US482012111023","Block Group 3; Census Tract 2111.02; Harris County; Texas","-","**",
"1500000US482012112001","Block Group 1; Census Tract 2112; Harris County; Texas","-","**",
"1500000US482012112002","Block Group 2; Census Tract 2112; Harris County; Texas","20188","15837",
"1500000US482012113011","Block Group 1; Census Tract 2113.01; Harris County; Texas","29385","12506",
"1500000US482012113012","Block Group 2; Census Tract 2113.01; Harris County; Texas","70788","15202",
"1500000US482012113021","Block Group 1; Census Tract 2113.02; Harris County; Texas","26507","22247",
"1500000US482012113022","Block Group 2; Census Tract 2113.02; Harris County; Texas","31406","14335",
"1500000US482012113023","Block Group 3; Census Tract 2113.02; Harris County; Texas","82798","46219",
"1500000US482012114001","Block Group 1; Census Tract 2114; Harris County; Texas","51875","27258",
"1500000US482012114002","Block Group 2; Census Tract 2114; Harris County; Texas","15667","12767",
"1500000US482012114003","Block Group 3; Census Tract 2114; Harris County; Texas","85500","60245",
"1500000US482012115011","Block Group 1; Census Tract 2115.01; Harris County; Texas","33182","21282",
"1500000US482012115012","Block Group 2; Census Tract 2115.01; Harris County; Texas","47321","19686",
"1500000US482012115013","Block Group 3; Census Tract 2115.01; Harris County; Texas","-","**",
"1500000US482012115021","Block Group 1; Census Tract 2115.02; Harris County; Texas","52135","5040",
"1500000US482012115022","Block Group 2; Census Tract 2115.02; Harris County; Texas","35881","24734",
"1500000US482012116001","Block Group 1; Census Tract 2116; Harris County; Texas","37083","25606",
"1500000US482012116002","Block Group 2; Census Tract 2116; Harris County; Texas","51809","6727",
"1500000US482012117001","Block Group 1; Census Tract 2117; Harris County; Texas","28774","21864",
"1500000US482012117002","Block Group 2; Census Tract 2117; Harris County; Texas","31551","21957",
