"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US202090401001","Block Group 1; Census Tract 401; Wyandotte County; Kansas","51324","5220",
"1500000US202090401002","Block Group 2; Census Tract 401; Wyandotte County; Kansas","58295","24750",
"1500000US202090401003","Block Group 3; Census Tract 401; Wyandotte County; Kansas","58320","21062",
"1500000US202090402001","Block Group 1; Census Tract 402; Wyandotte County; Kansas","73352","6248",
"1500000US202090405001","Block Group 1; Census Tract 405; Wyandotte County; Kansas","48797","417",
"1500000US202090405002","Block Group 2; Census Tract 405; Wyandotte County; Kansas","42206","18235",
"1500000US202090406001","Block Group 1; Census Tract 406; Wyandotte County; Kansas","62909","4719",
"1500000US202090406002","Block Group 2; Census Tract 406; Wyandotte County; Kansas","75870","40947",
"1500000US202090406003","Block Group 3; Census Tract 406; Wyandotte County; Kansas","54856","15232",
"1500000US202090407001","Block Group 1; Census Tract 407; Wyandotte County; Kansas","44899","36630",
"1500000US202090407002","Block Group 2; Census Tract 407; Wyandotte County; Kansas","38750","29288",
"1500000US202090409001","Block Group 1; Census Tract 409; Wyandotte County; Kansas","69650","22712",
"1500000US202090411001","Block Group 1; Census Tract 411; Wyandotte County; Kansas","28655","4009",
"1500000US202090412001","Block Group 1; Census Tract 412; Wyandotte County; Kansas","43095","18498",
"1500000US202090412002","Block Group 2; Census Tract 412; Wyandotte County; Kansas","21694","12471",
"1500000US202090413001","Block Group 1; Census Tract 413; Wyandotte County; Kansas","81042","20877",
"1500000US202090413002","Block Group 2; Census Tract 413; Wyandotte County; Kansas","31232","4086",
"1500000US202090413003","Block Group 3; Census Tract 413; Wyandotte County; Kansas","51298","28432",
"1500000US202090413004","Block Group 4; Census Tract 413; Wyandotte County; Kansas","77868","25795",
"1500000US202090414001","Block Group 1; Census Tract 414; Wyandotte County; Kansas","51821","16849",
"1500000US202090414002","Block Group 2; Census Tract 414; Wyandotte County; Kansas","11789","1678",
"1500000US202090414003","Block Group 3; Census Tract 414; Wyandotte County; Kansas","28557","1000",
"1500000US202090415001","Block Group 1; Census Tract 415; Wyandotte County; Kansas","36444","18230",
"1500000US202090415002","Block Group 2; Census Tract 415; Wyandotte County; Kansas","85035","13965",
"1500000US202090416001","Block Group 1; Census Tract 416; Wyandotte County; Kansas","58125","5869",
"1500000US202090416002","Block Group 2; Census Tract 416; Wyandotte County; Kansas","108125","31293",
"1500000US202090416003","Block Group 3; Census Tract 416; Wyandotte County; Kansas","59922","13890",
"1500000US202090416004","Block Group 4; Census Tract 416; Wyandotte County; Kansas","-","**",
"1500000US202090419001","Block Group 1; Census Tract 419; Wyandotte County; Kansas","53229","18263",
"1500000US202090419002","Block Group 2; Census Tract 419; Wyandotte County; Kansas","68333","1582",
"1500000US202090420011","Block Group 1; Census Tract 420.01; Wyandotte County; Kansas","32022","7829",
"1500000US202090420012","Block Group 2; Census Tract 420.01; Wyandotte County; Kansas","-","**",
"1500000US202090420021","Block Group 1; Census Tract 420.02; Wyandotte County; Kansas","75882","46366",
"1500000US202090420022","Block Group 2; Census Tract 420.02; Wyandotte County; Kansas","13868","1794",
"1500000US202090421001","Block Group 1; Census Tract 421; Wyandotte County; Kansas","51491","3558",
"1500000US202090421002","Block Group 2; Census Tract 421; Wyandotte County; Kansas","49000","22815",
"1500000US202090421003","Block Group 3; Census Tract 421; Wyandotte County; Kansas","36389","18998",
"1500000US202090422001","Block Group 1; Census Tract 422; Wyandotte County; Kansas","49722","35493",
"1500000US202090422002","Block Group 2; Census Tract 422; Wyandotte County; Kansas","37204","22737",
"1500000US202090423001","Block Group 1; Census Tract 423; Wyandotte County; Kansas","47750","12708",
"1500000US202090423002","Block Group 2; Census Tract 423; Wyandotte County; Kansas","25536","16837",
"1500000US202090423003","Block Group 3; Census Tract 423; Wyandotte County; Kansas","41058","7627",
"1500000US202090424001","Block Group 1; Census Tract 424; Wyandotte County; Kansas","44596","4217",
"1500000US202090424002","Block Group 2; Census Tract 424; Wyandotte County; Kansas","58942","36554",
"1500000US202090424003","Block Group 3; Census Tract 424; Wyandotte County; Kansas","17466","16009",
"1500000US202090426001","Block Group 1; Census Tract 426; Wyandotte County; Kansas","32903","2603",
"1500000US202090426002","Block Group 2; Census Tract 426; Wyandotte County; Kansas","-","**",
"1500000US202090426003","Block Group 3; Census Tract 426; Wyandotte County; Kansas","24063","17394",
"1500000US202090427001","Block Group 1; Census Tract 427; Wyandotte County; Kansas","58000","26753",
"1500000US202090427002","Block Group 2; Census Tract 427; Wyandotte County; Kansas","35250","21802",
"1500000US202090428001","Block Group 1; Census Tract 428; Wyandotte County; Kansas","13353","2263",
"1500000US202090428002","Block Group 2; Census Tract 428; Wyandotte County; Kansas","45250","12719",
"1500000US202090428003","Block Group 3; Census Tract 428; Wyandotte County; Kansas","66667","16798",
"1500000US202090429001","Block Group 1; Census Tract 429; Wyandotte County; Kansas","21036","16960",
"1500000US202090429002","Block Group 2; Census Tract 429; Wyandotte County; Kansas","75536","52053",
"1500000US202090429003","Block Group 3; Census Tract 429; Wyandotte County; Kansas","44375","23086",
"1500000US202090429004","Block Group 4; Census Tract 429; Wyandotte County; Kansas","11407","904",
"1500000US202090429005","Block Group 5; Census Tract 429; Wyandotte County; Kansas","23906","18892",
"1500000US202090430001","Block Group 1; Census Tract 430; Wyandotte County; Kansas","44216","11535",
"1500000US202090430002","Block Group 2; Census Tract 430; Wyandotte County; Kansas","57054","19476",
"1500000US202090430003","Block Group 3; Census Tract 430; Wyandotte County; Kansas","68024","35376",
"1500000US202090430004","Block Group 4; Census Tract 430; Wyandotte County; Kansas","-","**",
"1500000US202090433011","Block Group 1; Census Tract 433.01; Wyandotte County; Kansas","58265","13697",
"1500000US202090433012","Block Group 2; Census Tract 433.01; Wyandotte County; Kansas","50694","28427",
"1500000US202090433013","Block Group 3; Census Tract 433.01; Wyandotte County; Kansas","40893","14559",
"1500000US202090434001","Block Group 1; Census Tract 434; Wyandotte County; Kansas","67500","23681",
"1500000US202090434002","Block Group 2; Census Tract 434; Wyandotte County; Kansas","54297","15658",
"1500000US202090435001","Block Group 1; Census Tract 435; Wyandotte County; Kansas","79536","30316",
"1500000US202090435002","Block Group 2; Census Tract 435; Wyandotte County; Kansas","49630","17509",
"1500000US202090436001","Block Group 1; Census Tract 436; Wyandotte County; Kansas","98707","8017",
"1500000US202090436002","Block Group 2; Census Tract 436; Wyandotte County; Kansas","49484","10140",
"1500000US202090436003","Block Group 3; Census Tract 436; Wyandotte County; Kansas","23358","10329",
"1500000US202090436004","Block Group 4; Census Tract 436; Wyandotte County; Kansas","100395","36836",
"1500000US202090436005","Block Group 5; Census Tract 436; Wyandotte County; Kansas","48378","19009",
"1500000US202090437001","Block Group 1; Census Tract 437; Wyandotte County; Kansas","57656","36977",
"1500000US202090437002","Block Group 2; Census Tract 437; Wyandotte County; Kansas","54583","22759",
"1500000US202090438021","Block Group 1; Census Tract 438.02; Wyandotte County; Kansas","68000","39567",
"1500000US202090438022","Block Group 2; Census Tract 438.02; Wyandotte County; Kansas","-","**",
"1500000US202090438023","Block Group 3; Census Tract 438.02; Wyandotte County; Kansas","77583","21998",
