"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US320030001011","Block Group 1; Census Tract 1.01; Clark County; Nevada","42307","8680",
"1500000US320030001012","Block Group 2; Census Tract 1.01; Clark County; Nevada","96477","21672",
"1500000US320030001013","Block Group 3; Census Tract 1.01; Clark County; Nevada","145595","86140",
"1500000US320030001014","Block Group 4; Census Tract 1.01; Clark County; Nevada","70109","35791",
"1500000US320030001015","Block Group 5; Census Tract 1.01; Clark County; Nevada","91034","4978",
"1500000US320030001031","Block Group 1; Census Tract 1.03; Clark County; Nevada","83472","14601",
"1500000US320030001032","Block Group 2; Census Tract 1.03; Clark County; Nevada","73397","12454",
"1500000US320030001033","Block Group 3; Census Tract 1.03; Clark County; Nevada","58125","15654",
"1500000US320030001034","Block Group 4; Census Tract 1.03; Clark County; Nevada","85375","74776",
"1500000US320030001051","Block Group 1; Census Tract 1.05; Clark County; Nevada","60703","43279",
"1500000US320030001052","Block Group 2; Census Tract 1.05; Clark County; Nevada","76416","8502",
"1500000US320030001053","Block Group 3; Census Tract 1.05; Clark County; Nevada","66806","16918",
"1500000US320030001061","Block Group 1; Census Tract 1.06; Clark County; Nevada","18094","9870",
"1500000US320030001062","Block Group 2; Census Tract 1.06; Clark County; Nevada","87772","29885",
"1500000US320030001063","Block Group 3; Census Tract 1.06; Clark County; Nevada","40172","25318",
"1500000US320030001071","Block Group 1; Census Tract 1.07; Clark County; Nevada","66563","19122",
"1500000US320030001072","Block Group 2; Census Tract 1.07; Clark County; Nevada","40213","5993",
"1500000US320030001081","Block Group 1; Census Tract 1.08; Clark County; Nevada","39355","6239",
"1500000US320030001082","Block Group 2; Census Tract 1.08; Clark County; Nevada","47536","18084",
"1500000US320030001091","Block Group 1; Census Tract 1.09; Clark County; Nevada","43452","26849",
"1500000US320030001092","Block Group 2; Census Tract 1.09; Clark County; Nevada","51387","2848",
"1500000US320030001093","Block Group 3; Census Tract 1.09; Clark County; Nevada","53170","26255",
"1500000US320030002011","Block Group 1; Census Tract 2.01; Clark County; Nevada","42860","14367",
"1500000US320030002012","Block Group 2; Census Tract 2.01; Clark County; Nevada","29365","14090",
"1500000US320030002013","Block Group 3; Census Tract 2.01; Clark County; Nevada","31542","12739",
"1500000US320030002031","Block Group 1; Census Tract 2.03; Clark County; Nevada","49952","25870",
"1500000US320030002032","Block Group 2; Census Tract 2.03; Clark County; Nevada","68866","31388",
"1500000US320030002033","Block Group 3; Census Tract 2.03; Clark County; Nevada","-","**",
"1500000US320030002034","Block Group 4; Census Tract 2.03; Clark County; Nevada","29194","14398",
"1500000US320030002041","Block Group 1; Census Tract 2.04; Clark County; Nevada","136944","48373",
"1500000US320030002042","Block Group 2; Census Tract 2.04; Clark County; Nevada","143938","15245",
"1500000US320030003011","Block Group 1; Census Tract 3.01; Clark County; Nevada","43843","11835",
"1500000US320030003012","Block Group 2; Census Tract 3.01; Clark County; Nevada","-","**",
"1500000US320030003013","Block Group 3; Census Tract 3.01; Clark County; Nevada","21731","10178",
"1500000US320030003021","Block Group 1; Census Tract 3.02; Clark County; Nevada","63586","23407",
"1500000US320030003022","Block Group 2; Census Tract 3.02; Clark County; Nevada","23092","2888",
"1500000US320030003023","Block Group 3; Census Tract 3.02; Clark County; Nevada","39396","25723",
"1500000US320030003024","Block Group 4; Census Tract 3.02; Clark County; Nevada","31692","2645",
"1500000US320030003025","Block Group 5; Census Tract 3.02; Clark County; Nevada","-","**",
"1500000US320030004011","Block Group 1; Census Tract 4.01; Clark County; Nevada","57206","15459",
"1500000US320030004012","Block Group 2; Census Tract 4.01; Clark County; Nevada","12864","2373",
