"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US060371011101","Block Group 1; Census Tract 1011.10; Los Angeles County; California","60545","16506",
"1500000US060371011102","Block Group 2; Census Tract 1011.10; Los Angeles County; California","102572","35536",
"1500000US060371011103","Block Group 3; Census Tract 1011.10; Los Angeles County; California","94375","33083",
"1500000US060371011221","Block Group 1; Census Tract 1011.22; Los Angeles County; California","145865","34498",
"1500000US060371011222","Block Group 2; Census Tract 1011.22; Los Angeles County; California","83558","41807",
"1500000US060371012201","Block Group 1; Census Tract 1012.20; Los Angeles County; California","78571","34626",
"1500000US060371012202","Block Group 2; Census Tract 1012.20; Los Angeles County; California","64439","5971",
"1500000US060371012211","Block Group 1; Census Tract 1012.21; Los Angeles County; California","61364","31308",
"1500000US060371012212","Block Group 2; Census Tract 1012.21; Los Angeles County; California","49651","26438",
"1500000US060371012221","Block Group 1; Census Tract 1012.22; Los Angeles County; California","36779","22089",
"1500000US060371013001","Block Group 1; Census Tract 1013; Los Angeles County; California","89907","21828",
"1500000US060371013002","Block Group 2; Census Tract 1013; Los Angeles County; California","121891","33740",
"1500000US060371013003","Block Group 3; Census Tract 1013; Los Angeles County; California","109508","84195",
"1500000US060371013004","Block Group 4; Census Tract 1013; Los Angeles County; California","144444","23489",
"1500000US060371014001","Block Group 1; Census Tract 1014; Los Angeles County; California","61985","49152",
"1500000US060371014002","Block Group 2; Census Tract 1014; Los Angeles County; California","118370","59328",
"1500000US060371014003","Block Group 3; Census Tract 1014; Los Angeles County; California","112639","51629",
"1500000US060371021031","Block Group 1; Census Tract 1021.03; Los Angeles County; California","65250","24560",
"1500000US060371021041","Block Group 1; Census Tract 1021.04; Los Angeles County; California","109762","22702",
"1500000US060371021042","Block Group 2; Census Tract 1021.04; Los Angeles County; California","93750","28403",
"1500000US060371021051","Block Group 1; Census Tract 1021.05; Los Angeles County; California","96719","16459",
"1500000US060371021052","Block Group 2; Census Tract 1021.05; Los Angeles County; California","90104","42581",
"1500000US060371021071","Block Group 1; Census Tract 1021.07; Los Angeles County; California","97847","36875",
"1500000US060371021072","Block Group 2; Census Tract 1021.07; Los Angeles County; California","97321","62652",
"1500000US060371031011","Block Group 1; Census Tract 1031.01; Los Angeles County; California","133150","19438",
"1500000US060371031012","Block Group 2; Census Tract 1031.01; Los Angeles County; California","100625","58823",
"1500000US060371031021","Block Group 1; Census Tract 1031.02; Los Angeles County; California","69375","49580",
"1500000US060371031022","Block Group 2; Census Tract 1031.02; Los Angeles County; California","58036","31350",
"1500000US060371031023","Block Group 3; Census Tract 1031.02; Los Angeles County; California","95847","18554",
"1500000US060371031024","Block Group 4; Census Tract 1031.02; Los Angeles County; California","85778","36578",
"1500000US060371031025","Block Group 5; Census Tract 1031.02; Los Angeles County; California","100179","49096",
"1500000US060371032011","Block Group 1; Census Tract 1032.01; Los Angeles County; California","78100","33184",
"1500000US060371032012","Block Group 2; Census Tract 1032.01; Los Angeles County; California","104464","62171",
"1500000US060371032021","Block Group 1; Census Tract 1032.02; Los Angeles County; California","112491","3997",
"1500000US060371033001","Block Group 1; Census Tract 1033; Los Angeles County; California","134722","53499",
"1500000US060371033002","Block Group 2; Census Tract 1033; Los Angeles County; California","129679","59569",
"1500000US060371034011","Block Group 1; Census Tract 1034.01; Los Angeles County; California","96884","30471",
