"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US550790001011","Block Group 1; Census Tract 1.01; Milwaukee County; Wisconsin","-","**",
"1500000US550790001012","Block Group 2; Census Tract 1.01; Milwaukee County; Wisconsin","27670","21690",
"1500000US550790001013","Block Group 3; Census Tract 1.01; Milwaukee County; Wisconsin","33811","20968",
"1500000US550790001021","Block Group 1; Census Tract 1.02; Milwaukee County; Wisconsin","39839","9860",
"1500000US550790001022","Block Group 2; Census Tract 1.02; Milwaukee County; Wisconsin","42069","29189",
"1500000US550790001023","Block Group 3; Census Tract 1.02; Milwaukee County; Wisconsin","55259","13163",
"1500000US550790002011","Block Group 1; Census Tract 2.01; Milwaukee County; Wisconsin","-","**",
"1500000US550790002012","Block Group 2; Census Tract 2.01; Milwaukee County; Wisconsin","28386","24079",
"1500000US550790002013","Block Group 3; Census Tract 2.01; Milwaukee County; Wisconsin","36374","5095",
"1500000US550790002014","Block Group 4; Census Tract 2.01; Milwaukee County; Wisconsin","37943","10856",
"1500000US550790002021","Block Group 1; Census Tract 2.02; Milwaukee County; Wisconsin","75051","44973",
"1500000US550790002022","Block Group 2; Census Tract 2.02; Milwaukee County; Wisconsin","88355","49976",
"1500000US550790002023","Block Group 3; Census Tract 2.02; Milwaukee County; Wisconsin","75644","29918",
"1500000US550790003011","Block Group 1; Census Tract 3.01; Milwaukee County; Wisconsin","80295","11873",
"1500000US550790003021","Block Group 1; Census Tract 3.02; Milwaukee County; Wisconsin","47969","10239",
"1500000US550790003022","Block Group 2; Census Tract 3.02; Milwaukee County; Wisconsin","54000","26878",
"1500000US550790003031","Block Group 1; Census Tract 3.03; Milwaukee County; Wisconsin","83309","19141",
"1500000US550790003032","Block Group 2; Census Tract 3.03; Milwaukee County; Wisconsin","56563","16360",
"1500000US550790003041","Block Group 1; Census Tract 3.04; Milwaukee County; Wisconsin","141250","86025",
"1500000US550790003042","Block Group 2; Census Tract 3.04; Milwaukee County; Wisconsin","82617","19257",
"1500000US550790004001","Block Group 1; Census Tract 4; Milwaukee County; Wisconsin","73750","20166",
"1500000US550790004002","Block Group 2; Census Tract 4; Milwaukee County; Wisconsin","48099","6768",
"1500000US550790005011","Block Group 1; Census Tract 5.01; Milwaukee County; Wisconsin","70197","44172",
"1500000US550790005012","Block Group 2; Census Tract 5.01; Milwaukee County; Wisconsin","59919","18416",
"1500000US550790005021","Block Group 1; Census Tract 5.02; Milwaukee County; Wisconsin","38986","23358",
"1500000US550790005022","Block Group 2; Census Tract 5.02; Milwaukee County; Wisconsin","44918","18004",
"1500000US550790005023","Block Group 3; Census Tract 5.02; Milwaukee County; Wisconsin","42045","19090",
"1500000US550790006001","Block Group 1; Census Tract 6; Milwaukee County; Wisconsin","14085","2969",
"1500000US550790006002","Block Group 2; Census Tract 6; Milwaukee County; Wisconsin","77875","32845",
"1500000US550790006003","Block Group 3; Census Tract 6; Milwaukee County; Wisconsin","66485","12972",
"1500000US550790006004","Block Group 4; Census Tract 6; Milwaukee County; Wisconsin","44536","9811",
"1500000US550790006005","Block Group 5; Census Tract 6; Milwaukee County; Wisconsin","70089","66048",
"1500000US550790007001","Block Group 1; Census Tract 7; Milwaukee County; Wisconsin","71938","30788",
"1500000US550790007002","Block Group 2; Census Tract 7; Milwaukee County; Wisconsin","54811","31465",
"1500000US550790007003","Block Group 3; Census Tract 7; Milwaukee County; Wisconsin","28854","9925",
"1500000US550790008001","Block Group 1; Census Tract 8; Milwaukee County; Wisconsin","57643","18278",
"1500000US550790008002","Block Group 2; Census Tract 8; Milwaukee County; Wisconsin","72768","9074",
"1500000US550790008003","Block Group 3; Census Tract 8; Milwaukee County; Wisconsin","63787","3191",
"1500000US550790009001","Block Group 1; Census Tract 9; Milwaukee County; Wisconsin","48333","11547",
"1500000US550790009002","Block Group 2; Census Tract 9; Milwaukee County; Wisconsin","31830","17816",
"1500000US550790010001","Block Group 1; Census Tract 10; Milwaukee County; Wisconsin","50500","32971",
"1500000US550790010002","Block Group 2; Census Tract 10; Milwaukee County; Wisconsin","39271","29930",
"1500000US550790010003","Block Group 3; Census Tract 10; Milwaukee County; Wisconsin","51150","26431",
"1500000US550790011001","Block Group 1; Census Tract 11; Milwaukee County; Wisconsin","-","**",
"1500000US550790011002","Block Group 2; Census Tract 11; Milwaukee County; Wisconsin","30750","29936",
"1500000US550790011003","Block Group 3; Census Tract 11; Milwaukee County; Wisconsin","41250","38868",
"1500000US550790012001","Block Group 1; Census Tract 12; Milwaukee County; Wisconsin","46202","14173",
"1500000US550790012002","Block Group 2; Census Tract 12; Milwaukee County; Wisconsin","23143","7612",
"1500000US550790012003","Block Group 3; Census Tract 12; Milwaukee County; Wisconsin","24650","5627",
"1500000US550790013001","Block Group 1; Census Tract 13; Milwaukee County; Wisconsin","43750","30378",
"1500000US550790013002","Block Group 2; Census Tract 13; Milwaukee County; Wisconsin","51744","41377",
"1500000US550790013003","Block Group 3; Census Tract 13; Milwaukee County; Wisconsin","33295","12797",
"1500000US550790013004","Block Group 4; Census Tract 13; Milwaukee County; Wisconsin","55250","23627",
"1500000US550790014001","Block Group 1; Census Tract 14; Milwaukee County; Wisconsin","45000","19200",
"1500000US550790014002","Block Group 2; Census Tract 14; Milwaukee County; Wisconsin","41010","15191",
"1500000US550790015001","Block Group 1; Census Tract 15; Milwaukee County; Wisconsin","30341","18876",
"1500000US550790015002","Block Group 2; Census Tract 15; Milwaukee County; Wisconsin","41447","17601",
"1500000US550790015003","Block Group 3; Census Tract 15; Milwaukee County; Wisconsin","46357","7863",
"1500000US550790016001","Block Group 1; Census Tract 16; Milwaukee County; Wisconsin","34583","16038",
