"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US220710001001","Block Group 1; Census Tract 1; Orleans Parish; Louisiana","69196","27587",
"1500000US220710001002","Block Group 2; Census Tract 1; Orleans Parish; Louisiana","94554","41313",
"1500000US220710001003","Block Group 3; Census Tract 1; Orleans Parish; Louisiana","91964","32582",
"1500000US220710002001","Block Group 1; Census Tract 2; Orleans Parish; Louisiana","54167","21024",
"1500000US220710002002","Block Group 2; Census Tract 2; Orleans Parish; Louisiana","-","**",
"1500000US220710003001","Block Group 1; Census Tract 3; Orleans Parish; Louisiana","-","**",
"1500000US220710003002","Block Group 2; Census Tract 3; Orleans Parish; Louisiana","33342","13693",
"1500000US220710004001","Block Group 1; Census Tract 4; Orleans Parish; Louisiana","66875","13601",
"1500000US220710004002","Block Group 2; Census Tract 4; Orleans Parish; Louisiana","-","**",
"1500000US220710006011","Block Group 1; Census Tract 6.01; Orleans Parish; Louisiana","11045","3574",
"1500000US220710006012","Block Group 2; Census Tract 6.01; Orleans Parish; Louisiana","-","**",
"1500000US220710006021","Block Group 1; Census Tract 6.02; Orleans Parish; Louisiana","49238","13274",
"1500000US220710006022","Block Group 2; Census Tract 6.02; Orleans Parish; Louisiana","-","**",
"1500000US220710006023","Block Group 3; Census Tract 6.02; Orleans Parish; Louisiana","38393","21829",
"1500000US220710006031","Block Group 1; Census Tract 6.03; Orleans Parish; Louisiana","-","**",
"1500000US220710006032","Block Group 2; Census Tract 6.03; Orleans Parish; Louisiana","23828","11349",
"1500000US220710006041","Block Group 1; Census Tract 6.04; Orleans Parish; Louisiana","51181","9772",
"1500000US220710006042","Block Group 2; Census Tract 6.04; Orleans Parish; Louisiana","41779","19712",
"1500000US220710006043","Block Group 3; Census Tract 6.04; Orleans Parish; Louisiana","23952","6506",
"1500000US220710006051","Block Group 1; Census Tract 6.05; Orleans Parish; Louisiana","39205","22844",
"1500000US220710006052","Block Group 2; Census Tract 6.05; Orleans Parish; Louisiana","38250","19287",
"1500000US220710006053","Block Group 3; Census Tract 6.05; Orleans Parish; Louisiana","58438","30288",
"1500000US220710006061","Block Group 1; Census Tract 6.06; Orleans Parish; Louisiana","66741","39606",
"1500000US220710006062","Block Group 2; Census Tract 6.06; Orleans Parish; Louisiana","46944","40862",
"1500000US220710006063","Block Group 3; Census Tract 6.06; Orleans Parish; Louisiana","117083","59923",
"1500000US220710006071","Block Group 1; Census Tract 6.07; Orleans Parish; Louisiana","44167","18989",
"1500000US220710006072","Block Group 2; Census Tract 6.07; Orleans Parish; Louisiana","61840","39585",
"1500000US220710006073","Block Group 3; Census Tract 6.07; Orleans Parish; Louisiana","56513","9376",
"1500000US220710006111","Block Group 1; Census Tract 6.11; Orleans Parish; Louisiana","40625","14778",
"1500000US220710006112","Block Group 2; Census Tract 6.11; Orleans Parish; Louisiana","46227","30134",
"1500000US220710006121","Block Group 1; Census Tract 6.12; Orleans Parish; Louisiana","152321","28080",
"1500000US220710006151","Block Group 1; Census Tract 6.15; Orleans Parish; Louisiana","52039","14553",
"1500000US220710006152","Block Group 2; Census Tract 6.15; Orleans Parish; Louisiana","49021","5066",
"1500000US220710006153","Block Group 3; Census Tract 6.15; Orleans Parish; Louisiana","63676","33075",
"1500000US220710006161","Block Group 1; Census Tract 6.16; Orleans Parish; Louisiana","59250","5326",
"1500000US220710006162","Block Group 2; Census Tract 6.16; Orleans Parish; Louisiana","63438","51063",
"1500000US220710006163","Block Group 3; Census Tract 6.16; Orleans Parish; Louisiana","52917","30300",
"1500000US220710006171","Block Group 1; Census Tract 6.17; Orleans Parish; Louisiana","27059","16976",
"1500000US220710006172","Block Group 2; Census Tract 6.17; Orleans Parish; Louisiana","60284","17807",
"1500000US220710006173","Block Group 3; Census Tract 6.17; Orleans Parish; Louisiana","55996","17097",
"1500000US220710006181","Block Group 1; Census Tract 6.18; Orleans Parish; Louisiana","168375","34829",
"1500000US220710006182","Block Group 2; Census Tract 6.18; Orleans Parish; Louisiana","77917","23469",
"1500000US220710006191","Block Group 1; Census Tract 6.19; Orleans Parish; Louisiana","55260","19957",
"1500000US220710006192","Block Group 2; Census Tract 6.19; Orleans Parish; Louisiana","22253","3523",
"1500000US220710006201","Block Group 1; Census Tract 6.20; Orleans Parish; Louisiana","30521","20671",
"1500000US220710006202","Block Group 2; Census Tract 6.20; Orleans Parish; Louisiana","18286","6156",
"1500000US220710007011","Block Group 1; Census Tract 7.01; Orleans Parish; Louisiana","48125","40666",
"1500000US220710007012","Block Group 2; Census Tract 7.01; Orleans Parish; Louisiana","-","**",
"1500000US220710007021","Block Group 1; Census Tract 7.02; Orleans Parish; Louisiana","57383","40706",
"1500000US220710007022","Block Group 2; Census Tract 7.02; Orleans Parish; Louisiana","15750","13875",
"1500000US220710008001","Block Group 1; Census Tract 8; Orleans Parish; Louisiana","59491","14462",
"1500000US220710008002","Block Group 2; Census Tract 8; Orleans Parish; Louisiana","46250","21003",
"1500000US220710009011","Block Group 1; Census Tract 9.01; Orleans Parish; Louisiana","51250","14758",
"1500000US220710009012","Block Group 2; Census Tract 9.01; Orleans Parish; Louisiana","25625","7418",
"1500000US220710009021","Block Group 1; Census Tract 9.02; Orleans Parish; Louisiana","19018","18422",
"1500000US220710009022","Block Group 2; Census Tract 9.02; Orleans Parish; Louisiana","80766","39064",
"1500000US220710009031","Block Group 1; Census Tract 9.03; Orleans Parish; Louisiana","19063","7679",
"1500000US220710009032","Block Group 2; Census Tract 9.03; Orleans Parish; Louisiana","-","**",
"1500000US220710009041","Block Group 1; Census Tract 9.04; Orleans Parish; Louisiana","26511","5665",
"1500000US220710009042","Block Group 2; Census Tract 9.04; Orleans Parish; Louisiana","34297","8398",
"1500000US220710011001","Block Group 1; Census Tract 11; Orleans Parish; Louisiana","32788","7595",
"1500000US220710011002","Block Group 2; Census Tract 11; Orleans Parish; Louisiana","40272","22047",
"1500000US220710012001","Block Group 1; Census Tract 12; Orleans Parish; Louisiana","63881","4819",
"1500000US220710012002","Block Group 2; Census Tract 12; Orleans Parish; Louisiana","63864","32997",
"1500000US220710012003","Block Group 3; Census Tract 12; Orleans Parish; Louisiana","79375","27911",
"1500000US220710013011","Block Group 1; Census Tract 13.01; Orleans Parish; Louisiana","-","**",
"1500000US220710013012","Block Group 2; Census Tract 13.01; Orleans Parish; Louisiana","53250","40394",
"1500000US220710013013","Block Group 3; Census Tract 13.01; Orleans Parish; Louisiana","43155","21655",
"1500000US220710013021","Block Group 1; Census Tract 13.02; Orleans Parish; Louisiana","40875","24058",
"1500000US220710014011","Block Group 1; Census Tract 14.01; Orleans Parish; Louisiana","28098","7698",
"1500000US220710014021","Block Group 1; Census Tract 14.02; Orleans Parish; Louisiana","22800","19039",
"1500000US220710014022","Block Group 2; Census Tract 14.02; Orleans Parish; Louisiana","43191","37673",
"1500000US220710014023","Block Group 3; Census Tract 14.02; Orleans Parish; Louisiana","47083","20424",
"1500000US220710015001","Block Group 1; Census Tract 15; Orleans Parish; Louisiana","23750","12568",
"1500000US220710015002","Block Group 2; Census Tract 15; Orleans Parish; Louisiana","47891","28173",
"1500000US220710016001","Block Group 1; Census Tract 16; Orleans Parish; Louisiana","-","**",
"1500000US220710017011","Block Group 1; Census Tract 17.01; Orleans Parish; Louisiana","30813","5674",
"1500000US220710017012","Block Group 2; Census Tract 17.01; Orleans Parish; Louisiana","30956","16735",
"1500000US220710017021","Block Group 1; Census Tract 17.02; Orleans Parish; Louisiana","-","**",
"1500000US220710017022","Block Group 2; Census Tract 17.02; Orleans Parish; Louisiana","32800","15931",
"1500000US220710017023","Block Group 3; Census Tract 17.02; Orleans Parish; Louisiana","67279","8393",
"1500000US220710017024","Block Group 4; Census Tract 17.02; Orleans Parish; Louisiana","70714","36001",
"1500000US220710017201","Block Group 1; Census Tract 17.20; Orleans Parish; Louisiana","45391","17256",
"1500000US220710017202","Block Group 2; Census Tract 17.20; Orleans Parish; Louisiana","9167","2052",
"1500000US220710017203","Block Group 3; Census Tract 17.20; Orleans Parish; Louisiana","22243","11275",
"1500000US220710017204","Block Group 4; Census Tract 17.20; Orleans Parish; Louisiana","17481","17220",
"1500000US220710017231","Block Group 1; Census Tract 17.23; Orleans Parish; Louisiana","-","**",
"1500000US220710017232","Block Group 2; Census Tract 17.23; Orleans Parish; Louisiana","61167","10054",
"1500000US220710017233","Block Group 3; Census Tract 17.23; Orleans Parish; Louisiana","80150","16241",
"1500000US220710017234","Block Group 4; Census Tract 17.23; Orleans Parish; Louisiana","38343","7066",
"1500000US220710017241","Block Group 1; Census Tract 17.24; Orleans Parish; Louisiana","51369","35312",
"1500000US220710017242","Block Group 2; Census Tract 17.24; Orleans Parish; Louisiana","72656","20355",
"1500000US220710017243","Block Group 3; Census Tract 17.24; Orleans Parish; Louisiana","29017","5955",
"1500000US220710017244","Block Group 4; Census Tract 17.24; Orleans Parish; Louisiana","39643","32601",
"1500000US220710017361","Block Group 1; Census Tract 17.36; Orleans Parish; Louisiana","37321","9851",
"1500000US220710017362","Block Group 2; Census Tract 17.36; Orleans Parish; Louisiana","-","**",
"1500000US220710017363","Block Group 3; Census Tract 17.36; Orleans Parish; Louisiana","21293","13488",
"1500000US220710017371","Block Group 1; Census Tract 17.37; Orleans Parish; Louisiana","27361","12041",
"1500000US220710017372","Block Group 2; Census Tract 17.37; Orleans Parish; Louisiana","57228","27319",
"1500000US220710017373","Block Group 3; Census Tract 17.37; Orleans Parish; Louisiana","-","**",
"1500000US220710017391","Block Group 1; Census Tract 17.39; Orleans Parish; Louisiana","48669","8339",
"1500000US220710017392","Block Group 2; Census Tract 17.39; Orleans Parish; Louisiana","72875","33324",
"1500000US220710017401","Block Group 1; Census Tract 17.40; Orleans Parish; Louisiana","73424","15726",
"1500000US220710017402","Block Group 2; Census Tract 17.40; Orleans Parish; Louisiana","-","**",
"1500000US220710017403","Block Group 3; Census Tract 17.40; Orleans Parish; Louisiana","34412","28664",
"1500000US220710017411","Block Group 1; Census Tract 17.41; Orleans Parish; Louisiana","66506","6456",
"1500000US220710017431","Block Group 1; Census Tract 17.43; Orleans Parish; Louisiana","35246","5524",
"1500000US220710017432","Block Group 2; Census Tract 17.43; Orleans Parish; Louisiana","25368","7411",
"1500000US220710017441","Block Group 1; Census Tract 17.44; Orleans Parish; Louisiana","29246","13170",
"1500000US220710017442","Block Group 2; Census Tract 17.44; Orleans Parish; Louisiana","13186","4387",
"1500000US220710017443","Block Group 3; Census Tract 17.44; Orleans Parish; Louisiana","25585","24014",
"1500000US220710017451","Block Group 1; Census Tract 17.45; Orleans Parish; Louisiana","47297","31750",
"1500000US220710017452","Block Group 2; Census Tract 17.45; Orleans Parish; Louisiana","61563","23946",
"1500000US220710017461","Block Group 1; Census Tract 17.46; Orleans Parish; Louisiana","39891","17956",
"1500000US220710017462","Block Group 2; Census Tract 17.46; Orleans Parish; Louisiana","27349","12670",
"1500000US220710017463","Block Group 3; Census Tract 17.46; Orleans Parish; Louisiana","26964","12112",
"1500000US220710017471","Block Group 1; Census Tract 17.47; Orleans Parish; Louisiana","89573","9387",
"1500000US220710017472","Block Group 2; Census Tract 17.47; Orleans Parish; Louisiana","172500","102508",
"1500000US220710017481","Block Group 1; Census Tract 17.48; Orleans Parish; Louisiana","50714","42728",
"1500000US220710017482","Block Group 2; Census Tract 17.48; Orleans Parish; Louisiana","64286","5055",
"1500000US220710017483","Block Group 3; Census Tract 17.48; Orleans Parish; Louisiana","47569","14487",
"1500000US220710017484","Block Group 4; Census Tract 17.48; Orleans Parish; Louisiana","-","**",
"1500000US220710017491","Block Group 1; Census Tract 17.49; Orleans Parish; Louisiana","74813","19729",
"1500000US220710017492","Block Group 2; Census Tract 17.49; Orleans Parish; Louisiana","42431","32686",
"1500000US220710017501","Block Group 1; Census Tract 17.50; Orleans Parish; Louisiana","20357","15499",
"1500000US220710017502","Block Group 2; Census Tract 17.50; Orleans Parish; Louisiana","16174","10935",
"1500000US220710017503","Block Group 3; Census Tract 17.50; Orleans Parish; Louisiana","49643","26999",
"1500000US220710017511","Block Group 1; Census Tract 17.51; Orleans Parish; Louisiana","11614","6274",
"1500000US220710017512","Block Group 2; Census Tract 17.51; Orleans Parish; Louisiana","7292","4595",
"1500000US220710017521","Block Group 1; Census Tract 17.52; Orleans Parish; Louisiana","28942","12488",
"1500000US220710017522","Block Group 2; Census Tract 17.52; Orleans Parish; Louisiana","29088","4625",
"1500000US220710017523","Block Group 3; Census Tract 17.52; Orleans Parish; Louisiana","52847","39538",
"1500000US220710017531","Block Group 1; Census Tract 17.53; Orleans Parish; Louisiana","-","**",
"1500000US220710017532","Block Group 2; Census Tract 17.53; Orleans Parish; Louisiana","23661","17545",
"1500000US220710017533","Block Group 3; Census Tract 17.53; Orleans Parish; Louisiana","49732","46213",
"1500000US220710017541","Block Group 1; Census Tract 17.54; Orleans Parish; Louisiana","28488","7493",
"1500000US220710017542","Block Group 2; Census Tract 17.54; Orleans Parish; Louisiana","53528","17516",
"1500000US220710017551","Block Group 1; Census Tract 17.55; Orleans Parish; Louisiana","20550","14838",
"1500000US220710017552","Block Group 2; Census Tract 17.55; Orleans Parish; Louisiana","45561","9295",
"1500000US220710017561","Block Group 1; Census Tract 17.56; Orleans Parish; Louisiana","28190","22941",
"1500000US220710017562","Block Group 2; Census Tract 17.56; Orleans Parish; Louisiana","-","**",
"1500000US220710017571","Block Group 1; Census Tract 17.57; Orleans Parish; Louisiana","27606","10613",
"1500000US220710017572","Block Group 2; Census Tract 17.57; Orleans Parish; Louisiana","97083","55242",
"1500000US220710017581","Block Group 1; Census Tract 17.58; Orleans Parish; Louisiana","78750","65915",
"1500000US220710017582","Block Group 2; Census Tract 17.58; Orleans Parish; Louisiana","72788","26427",
"1500000US220710018001","Block Group 1; Census Tract 18; Orleans Parish; Louisiana","63359","23723",
"1500000US220710018002","Block Group 2; Census Tract 18; Orleans Parish; Louisiana","69519","15683",
"1500000US220710019001","Block Group 1; Census Tract 19; Orleans Parish; Louisiana","-","**",
"1500000US220710019002","Block Group 2; Census Tract 19; Orleans Parish; Louisiana","47750","43940",
"1500000US220710019003","Block Group 3; Census Tract 19; Orleans Parish; Louisiana","-","**",
"1500000US220710020001","Block Group 1; Census Tract 20; Orleans Parish; Louisiana","40472","10677",
"1500000US220710020002","Block Group 2; Census Tract 20; Orleans Parish; Louisiana","55900","22667",
"1500000US220710021001","Block Group 1; Census Tract 21; Orleans Parish; Louisiana","28125","7498",
"1500000US220710021002","Block Group 2; Census Tract 21; Orleans Parish; Louisiana","-","**",
"1500000US220710022001","Block Group 1; Census Tract 22; Orleans Parish; Louisiana","14904","8732",
"1500000US220710023001","Block Group 1; Census Tract 23; Orleans Parish; Louisiana","33945","13197",
"1500000US220710023002","Block Group 2; Census Tract 23; Orleans Parish; Louisiana","23807","9299",
"1500000US220710023003","Block Group 3; Census Tract 23; Orleans Parish; Louisiana","26768","1112",
"1500000US220710024011","Block Group 1; Census Tract 24.01; Orleans Parish; Louisiana","43542","12833",
"1500000US220710024012","Block Group 2; Census Tract 24.01; Orleans Parish; Louisiana","57679","17931",
"1500000US220710024021","Block Group 1; Census Tract 24.02; Orleans Parish; Louisiana","59938","48124",
"1500000US220710024022","Block Group 2; Census Tract 24.02; Orleans Parish; Louisiana","35972","19259",
"1500000US220710024023","Block Group 3; Census Tract 24.02; Orleans Parish; Louisiana","39727","8215",
"1500000US220710024024","Block Group 4; Census Tract 24.02; Orleans Parish; Louisiana","47794","15974",
"1500000US220710025011","Block Group 1; Census Tract 25.01; Orleans Parish; Louisiana","52917","39542",
"1500000US220710025012","Block Group 2; Census Tract 25.01; Orleans Parish; Louisiana","43017","25122",
"1500000US220710025021","Block Group 1; Census Tract 25.02; Orleans Parish; Louisiana","31756","11870",
"1500000US220710025022","Block Group 2; Census Tract 25.02; Orleans Parish; Louisiana","34861","13215",
"1500000US220710025023","Block Group 3; Census Tract 25.02; Orleans Parish; Louisiana","24940","12915",
"1500000US220710025031","Block Group 1; Census Tract 25.03; Orleans Parish; Louisiana","93333","30648",
"1500000US220710025032","Block Group 2; Census Tract 25.03; Orleans Parish; Louisiana","51458","47259",
"1500000US220710025041","Block Group 1; Census Tract 25.04; Orleans Parish; Louisiana","91875","29797",
