"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US421010001011","Block Group 1; Census Tract 1.01; Philadelphia County; Pennsylvania","-","**",
"1500000US421010001012","Block Group 2; Census Tract 1.01; Philadelphia County; Pennsylvania","-","**",
"1500000US421010001013","Block Group 3; Census Tract 1.01; Philadelphia County; Pennsylvania","-","**",
"1500000US421010001014","Block Group 4; Census Tract 1.01; Philadelphia County; Pennsylvania","104809","14979",
"1500000US421010001015","Block Group 5; Census Tract 1.01; Philadelphia County; Pennsylvania","140802","47395",
"1500000US421010001021","Block Group 1; Census Tract 1.02; Philadelphia County; Pennsylvania","92221","33826",
"1500000US421010001022","Block Group 2; Census Tract 1.02; Philadelphia County; Pennsylvania","-","**",
"1500000US421010001023","Block Group 3; Census Tract 1.02; Philadelphia County; Pennsylvania","122394","50094",
"1500000US421010001024","Block Group 4; Census Tract 1.02; Philadelphia County; Pennsylvania","168988","61570",
"1500000US421010001025","Block Group 5; Census Tract 1.02; Philadelphia County; Pennsylvania","82895","46845",
"1500000US421010002001","Block Group 1; Census Tract 2; Philadelphia County; Pennsylvania","57277","30509",
"1500000US421010002002","Block Group 2; Census Tract 2; Philadelphia County; Pennsylvania","250,000+","***",
"1500000US421010002003","Block Group 3; Census Tract 2; Philadelphia County; Pennsylvania","-","**",
"1500000US421010002004","Block Group 4; Census Tract 2; Philadelphia County; Pennsylvania","-","**",
"1500000US421010003001","Block Group 1; Census Tract 3; Philadelphia County; Pennsylvania","94833","51924",
"1500000US421010003002","Block Group 2; Census Tract 3; Philadelphia County; Pennsylvania","71711","27269",
"1500000US421010003003","Block Group 3; Census Tract 3; Philadelphia County; Pennsylvania","82292","52434",
"1500000US421010003004","Block Group 4; Census Tract 3; Philadelphia County; Pennsylvania","99107","24149",
"1500000US421010003005","Block Group 5; Census Tract 3; Philadelphia County; Pennsylvania","98818","23614",
"1500000US421010004011","Block Group 1; Census Tract 4.01; Philadelphia County; Pennsylvania","118933","74052",
"1500000US421010004012","Block Group 2; Census Tract 4.01; Philadelphia County; Pennsylvania","67396","28169",
"1500000US421010004013","Block Group 3; Census Tract 4.01; Philadelphia County; Pennsylvania","78875","37767",
"1500000US421010004031","Block Group 1; Census Tract 4.03; Philadelphia County; Pennsylvania","-","**",
"1500000US421010004032","Block Group 2; Census Tract 4.03; Philadelphia County; Pennsylvania","181066","52578",
"1500000US421010004041","Block Group 1; Census Tract 4.04; Philadelphia County; Pennsylvania","81492","25152",
"1500000US421010004042","Block Group 2; Census Tract 4.04; Philadelphia County; Pennsylvania","91250","20418",
"1500000US421010004043","Block Group 3; Census Tract 4.04; Philadelphia County; Pennsylvania","146429","65024",
"1500000US421010005001","Block Group 1; Census Tract 5; Philadelphia County; Pennsylvania","37045","13813",
"1500000US421010005002","Block Group 2; Census Tract 5; Philadelphia County; Pennsylvania","-","**",
"1500000US421010005003","Block Group 3; Census Tract 5; Philadelphia County; Pennsylvania","91500","45166",
"1500000US421010005004","Block Group 4; Census Tract 5; Philadelphia County; Pennsylvania","57297","36043",
"1500000US421010006001","Block Group 1; Census Tract 6; Philadelphia County; Pennsylvania","135403","104767",
"1500000US421010006002","Block Group 2; Census Tract 6; Philadelphia County; Pennsylvania","96667","15978",
"1500000US421010007011","Block Group 1; Census Tract 7.01; Philadelphia County; Pennsylvania","166000","115336",
"1500000US421010007012","Block Group 2; Census Tract 7.01; Philadelphia County; Pennsylvania","-","**",
"1500000US421010007013","Block Group 3; Census Tract 7.01; Philadelphia County; Pennsylvania","70313","27815",
"1500000US421010007021","Block Group 1; Census Tract 7.02; Philadelphia County; Pennsylvania","59183","13269",
"1500000US421010007022","Block Group 2; Census Tract 7.02; Philadelphia County; Pennsylvania","100000","82570",
"1500000US421010008011","Block Group 1; Census Tract 8.01; Philadelphia County; Pennsylvania","39036","3158",
"1500000US421010008012","Block Group 2; Census Tract 8.01; Philadelphia County; Pennsylvania","190313","79837",
"1500000US421010008031","Block Group 1; Census Tract 8.03; Philadelphia County; Pennsylvania","62344","26176",
"1500000US421010008032","Block Group 2; Census Tract 8.03; Philadelphia County; Pennsylvania","61458","22404",
"1500000US421010008033","Block Group 3; Census Tract 8.03; Philadelphia County; Pennsylvania","140469","136704",
"1500000US421010008034","Block Group 4; Census Tract 8.03; Philadelphia County; Pennsylvania","120469","63769",
"1500000US421010008051","Block Group 1; Census Tract 8.05; Philadelphia County; Pennsylvania","68532","29123",
"1500000US421010008052","Block Group 2; Census Tract 8.05; Philadelphia County; Pennsylvania","161250","84969",
"1500000US421010008061","Block Group 1; Census Tract 8.06; Philadelphia County; Pennsylvania","125083","84627",
"1500000US421010008062","Block Group 2; Census Tract 8.06; Philadelphia County; Pennsylvania","192409","83920",
"1500000US421010009011","Block Group 1; Census Tract 9.01; Philadelphia County; Pennsylvania","56852","19761",
"1500000US421010009012","Block Group 2; Census Tract 9.01; Philadelphia County; Pennsylvania","34551","15666",
"1500000US421010009021","Block Group 1; Census Tract 9.02; Philadelphia County; Pennsylvania","75972","45946",
"1500000US421010009022","Block Group 2; Census Tract 9.02; Philadelphia County; Pennsylvania","131136","62236",
"1500000US421010010011","Block Group 1; Census Tract 10.01; Philadelphia County; Pennsylvania","174060","2075",
"1500000US421010010012","Block Group 2; Census Tract 10.01; Philadelphia County; Pennsylvania","-","**",
"1500000US421010010013","Block Group 3; Census Tract 10.01; Philadelphia County; Pennsylvania","93750","28616",
"1500000US421010010021","Block Group 1; Census Tract 10.02; Philadelphia County; Pennsylvania","130254","49758",
"1500000US421010010022","Block Group 2; Census Tract 10.02; Philadelphia County; Pennsylvania","198239","105194",
"1500000US421010010023","Block Group 3; Census Tract 10.02; Philadelphia County; Pennsylvania","-","**",
"1500000US421010010024","Block Group 4; Census Tract 10.02; Philadelphia County; Pennsylvania","176875","103500",
"1500000US421010011011","Block Group 1; Census Tract 11.01; Philadelphia County; Pennsylvania","129079","40051",
"1500000US421010011012","Block Group 2; Census Tract 11.01; Philadelphia County; Pennsylvania","57813","21817",
"1500000US421010011013","Block Group 3; Census Tract 11.01; Philadelphia County; Pennsylvania","41502","21100",
"1500000US421010011014","Block Group 4; Census Tract 11.01; Philadelphia County; Pennsylvania","76731","68819",
"1500000US421010011021","Block Group 1; Census Tract 11.02; Philadelphia County; Pennsylvania","106128","42687",
"1500000US421010011022","Block Group 2; Census Tract 11.02; Philadelphia County; Pennsylvania","67419","15712",
"1500000US421010011023","Block Group 3; Census Tract 11.02; Philadelphia County; Pennsylvania","250,000+","***",
"1500000US421010012011","Block Group 1; Census Tract 12.01; Philadelphia County; Pennsylvania","140446","81246",
"1500000US421010012012","Block Group 2; Census Tract 12.01; Philadelphia County; Pennsylvania","169476","35065",
"1500000US421010012013","Block Group 3; Census Tract 12.01; Philadelphia County; Pennsylvania","116694","75438",
"1500000US421010012014","Block Group 4; Census Tract 12.01; Philadelphia County; Pennsylvania","112591","27249",
"1500000US421010012031","Block Group 1; Census Tract 12.03; Philadelphia County; Pennsylvania","84728","24556",
"1500000US421010012032","Block Group 2; Census Tract 12.03; Philadelphia County; Pennsylvania","159500","82737",
"1500000US421010012041","Block Group 1; Census Tract 12.04; Philadelphia County; Pennsylvania","73421","19929",
"1500000US421010012042","Block Group 2; Census Tract 12.04; Philadelphia County; Pennsylvania","113333","39236",
"1500000US421010012043","Block Group 3; Census Tract 12.04; Philadelphia County; Pennsylvania","104219","28171",
"1500000US421010013011","Block Group 1; Census Tract 13.01; Philadelphia County; Pennsylvania","153250","127558",
"1500000US421010013012","Block Group 2; Census Tract 13.01; Philadelphia County; Pennsylvania","-","**",
"1500000US421010013021","Block Group 1; Census Tract 13.02; Philadelphia County; Pennsylvania","89500","24408",
"1500000US421010013022","Block Group 2; Census Tract 13.02; Philadelphia County; Pennsylvania","97167","85271",
"1500000US421010013023","Block Group 3; Census Tract 13.02; Philadelphia County; Pennsylvania","117759","16024",
"1500000US421010013024","Block Group 4; Census Tract 13.02; Philadelphia County; Pennsylvania","158750","66433",
"1500000US421010014001","Block Group 1; Census Tract 14; Philadelphia County; Pennsylvania","102303","18757",
"1500000US421010014002","Block Group 2; Census Tract 14; Philadelphia County; Pennsylvania","108125","48440",
"1500000US421010014003","Block Group 3; Census Tract 14; Philadelphia County; Pennsylvania","67471","37696",
"1500000US421010015001","Block Group 1; Census Tract 15; Philadelphia County; Pennsylvania","70240","34744",
"1500000US421010015002","Block Group 2; Census Tract 15; Philadelphia County; Pennsylvania","124760","33116",
"1500000US421010016001","Block Group 1; Census Tract 16; Philadelphia County; Pennsylvania","132250","39346",
"1500000US421010016002","Block Group 2; Census Tract 16; Philadelphia County; Pennsylvania","203333","114123",
"1500000US421010017001","Block Group 1; Census Tract 17; Philadelphia County; Pennsylvania","114496","16313",
"1500000US421010017002","Block Group 2; Census Tract 17; Philadelphia County; Pennsylvania","160500","64726",
"1500000US421010018001","Block Group 1; Census Tract 18; Philadelphia County; Pennsylvania","122188","40772",
"1500000US421010018002","Block Group 2; Census Tract 18; Philadelphia County; Pennsylvania","100156","42247",
"1500000US421010019001","Block Group 1; Census Tract 19; Philadelphia County; Pennsylvania","165536","34881",
"1500000US421010019002","Block Group 2; Census Tract 19; Philadelphia County; Pennsylvania","151845","33472",
"1500000US421010019003","Block Group 3; Census Tract 19; Philadelphia County; Pennsylvania","107500","58443",
"1500000US421010020001","Block Group 1; Census Tract 20; Philadelphia County; Pennsylvania","118675","11253",
"1500000US421010020002","Block Group 2; Census Tract 20; Philadelphia County; Pennsylvania","-","**",
"1500000US421010021001","Block Group 1; Census Tract 21; Philadelphia County; Pennsylvania","79375","32385",
"1500000US421010021002","Block Group 2; Census Tract 21; Philadelphia County; Pennsylvania","111125","27439",
"1500000US421010022001","Block Group 1; Census Tract 22; Philadelphia County; Pennsylvania","73250","15689",
"1500000US421010022002","Block Group 2; Census Tract 22; Philadelphia County; Pennsylvania","-","**",
"1500000US421010022003","Block Group 3; Census Tract 22; Philadelphia County; Pennsylvania","42292","27084",
"1500000US421010023001","Block Group 1; Census Tract 23; Philadelphia County; Pennsylvania","93472","80664",
"1500000US421010023002","Block Group 2; Census Tract 23; Philadelphia County; Pennsylvania","120509","42048",
"1500000US421010024001","Block Group 1; Census Tract 24; Philadelphia County; Pennsylvania","123882","34338",
"1500000US421010024002","Block Group 2; Census Tract 24; Philadelphia County; Pennsylvania","126719","23609",
"1500000US421010024003","Block Group 3; Census Tract 24; Philadelphia County; Pennsylvania","-","**",
"1500000US421010024004","Block Group 4; Census Tract 24; Philadelphia County; Pennsylvania","90882","77157",
"1500000US421010024005","Block Group 5; Census Tract 24; Philadelphia County; Pennsylvania","90625","83459",
"1500000US421010025001","Block Group 1; Census Tract 25; Philadelphia County; Pennsylvania","72639","55054",
"1500000US421010025002","Block Group 2; Census Tract 25; Philadelphia County; Pennsylvania","179000","50352",
"1500000US421010025003","Block Group 3; Census Tract 25; Philadelphia County; Pennsylvania","-","**",
"1500000US421010025004","Block Group 4; Census Tract 25; Philadelphia County; Pennsylvania","63125","43940",
"1500000US421010027011","Block Group 1; Census Tract 27.01; Philadelphia County; Pennsylvania","63170","28290",
"1500000US421010027012","Block Group 2; Census Tract 27.01; Philadelphia County; Pennsylvania","98859","70147",
"1500000US421010027021","Block Group 1; Census Tract 27.02; Philadelphia County; Pennsylvania","80515","20655",
"1500000US421010027022","Block Group 2; Census Tract 27.02; Philadelphia County; Pennsylvania","111821","17670",
"1500000US421010028011","Block Group 1; Census Tract 28.01; Philadelphia County; Pennsylvania","70224","12482",
"1500000US421010028012","Block Group 2; Census Tract 28.01; Philadelphia County; Pennsylvania","74100","9532",
"1500000US421010028021","Block Group 1; Census Tract 28.02; Philadelphia County; Pennsylvania","131136","37146",
