"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US040130101021","Block Group 1; Census Tract 101.02; Maricopa County; Arizona","113549","82547",
"1500000US040130101022","Block Group 2; Census Tract 101.02; Maricopa County; Arizona","180246","37390",
"1500000US040130101023","Block Group 3; Census Tract 101.02; Maricopa County; Arizona","220990","22597",
"1500000US040130101031","Block Group 1; Census Tract 101.03; Maricopa County; Arizona","143125","42994",
"1500000US040130101032","Block Group 2; Census Tract 101.03; Maricopa County; Arizona","113798","52682",
"1500000US040130101041","Block Group 1; Census Tract 101.04; Maricopa County; Arizona","143816","38749",
"1500000US040130101042","Block Group 2; Census Tract 101.04; Maricopa County; Arizona","73917","24509",
"1500000US040130101043","Block Group 3; Census Tract 101.04; Maricopa County; Arizona","193438","84320",
"1500000US040130304011","Block Group 1; Census Tract 304.01; Maricopa County; Arizona","136875","55453",
"1500000US040130304012","Block Group 2; Census Tract 304.01; Maricopa County; Arizona","117250","91618",
"1500000US040130304013","Block Group 3; Census Tract 304.01; Maricopa County; Arizona","201907","47877",
"1500000US040130304021","Block Group 1; Census Tract 304.02; Maricopa County; Arizona","162802","67924",
"1500000US040130304022","Block Group 2; Census Tract 304.02; Maricopa County; Arizona","91296","45178",
"1500000US040130304023","Block Group 3; Census Tract 304.02; Maricopa County; Arizona","76111","19225",
"1500000US040130405021","Block Group 1; Census Tract 405.02; Maricopa County; Arizona","80714","35067",
"1500000US040130405022","Block Group 2; Census Tract 405.02; Maricopa County; Arizona","-","**",
"1500000US040130405023","Block Group 3; Census Tract 405.02; Maricopa County; Arizona","59441","17709",
"1500000US040130405024","Block Group 4; Census Tract 405.02; Maricopa County; Arizona","63929","26961",
"1500000US040130405025","Block Group 5; Census Tract 405.02; Maricopa County; Arizona","-","**",
"1500000US040130405061","Block Group 1; Census Tract 405.06; Maricopa County; Arizona","53214","17302",
"1500000US040130405062","Block Group 2; Census Tract 405.06; Maricopa County; Arizona","57182","14082",
"1500000US040130405063","Block Group 3; Census Tract 405.06; Maricopa County; Arizona","57324","8065",
"1500000US040130405064","Block Group 4; Census Tract 405.06; Maricopa County; Arizona","50595","15231",
"1500000US040130405071","Block Group 1; Census Tract 405.07; Maricopa County; Arizona","67917","18988",
"1500000US040130405072","Block Group 2; Census Tract 405.07; Maricopa County; Arizona","60417","12454",
"1500000US040130405073","Block Group 3; Census Tract 405.07; Maricopa County; Arizona","67295","24314",
"1500000US040130405074","Block Group 4; Census Tract 405.07; Maricopa County; Arizona","57917","11856",
"1500000US040130405075","Block Group 5; Census Tract 405.07; Maricopa County; Arizona","62031","7119",
"1500000US040130405121","Block Group 1; Census Tract 405.12; Maricopa County; Arizona","62422","7930",
"1500000US040130405131","Block Group 1; Census Tract 405.13; Maricopa County; Arizona","76161","15769",
"1500000US040130405132","Block Group 2; Census Tract 405.13; Maricopa County; Arizona","64167","19030",
"1500000US040130405141","Block Group 1; Census Tract 405.14; Maricopa County; Arizona","58984","12142",
"1500000US040130405142","Block Group 2; Census Tract 405.14; Maricopa County; Arizona","64890","16006",
"1500000US040130405151","Block Group 1; Census Tract 405.15; Maricopa County; Arizona","64658","18415",
"1500000US040130405152","Block Group 2; Census Tract 405.15; Maricopa County; Arizona","76786","35798",
"1500000US040130405161","Block Group 1; Census Tract 405.16; Maricopa County; Arizona","69844","23775",
"1500000US040130405162","Block Group 2; Census Tract 405.16; Maricopa County; Arizona","105577","25913",
"1500000US040130405163","Block Group 3; Census Tract 405.16; Maricopa County; Arizona","94604","17249",
"1500000US040130405164","Block Group 4; Census Tract 405.16; Maricopa County; Arizona","85357","28538",
"1500000US040130405165","Block Group 5; Census Tract 405.16; Maricopa County; Arizona","81902","64378",
"1500000US040130405221","Block Group 1; Census Tract 405.22; Maricopa County; Arizona","73188","31511",
"1500000US040130405222","Block Group 2; Census Tract 405.22; Maricopa County; Arizona","62407","18447",
"1500000US040130405223","Block Group 3; Census Tract 405.22; Maricopa County; Arizona","38750","11697",
"1500000US040130405231","Block Group 1; Census Tract 405.23; Maricopa County; Arizona","92500","12480",
"1500000US040130405232","Block Group 2; Census Tract 405.23; Maricopa County; Arizona","65625","20521",
"1500000US040130405241","Block Group 1; Census Tract 405.24; Maricopa County; Arizona","85341","18266",
"1500000US040130405251","Block Group 1; Census Tract 405.25; Maricopa County; Arizona","68623","3877",
"1500000US040130405252","Block Group 2; Census Tract 405.25; Maricopa County; Arizona","78140","10766",
"1500000US040130405261","Block Group 1; Census Tract 405.26; Maricopa County; Arizona","71293","12384",
"1500000US040130405262","Block Group 2; Census Tract 405.26; Maricopa County; Arizona","61944","20430",
"1500000US040130405271","Block Group 1; Census Tract 405.27; Maricopa County; Arizona","70250","24100",
"1500000US040130405272","Block Group 2; Census Tract 405.27; Maricopa County; Arizona","58304","12488",
"1500000US040130405273","Block Group 3; Census Tract 405.27; Maricopa County; Arizona","100325","13787",
"1500000US040130405281","Block Group 1; Census Tract 405.28; Maricopa County; Arizona","81452","12873",
"1500000US040130405282","Block Group 2; Census Tract 405.28; Maricopa County; Arizona","64375","18765",
"1500000US040130405283","Block Group 3; Census Tract 405.28; Maricopa County; Arizona","61250","37397",
"1500000US040130405284","Block Group 4; Census Tract 405.28; Maricopa County; Arizona","75285","23836",
"1500000US040130405285","Block Group 5; Census Tract 405.28; Maricopa County; Arizona","86389","37298",
"1500000US040130405286","Block Group 6; Census Tract 405.28; Maricopa County; Arizona","75515","16720",
"1500000US040130405291","Block Group 1; Census Tract 405.29; Maricopa County; Arizona","84063","17643",
"1500000US040130405292","Block Group 2; Census Tract 405.29; Maricopa County; Arizona","93472","16893",
"1500000US040130405293","Block Group 3; Census Tract 405.29; Maricopa County; Arizona","76875","34110",
"1500000US040130405301","Block Group 1; Census Tract 405.30; Maricopa County; Arizona","78250","32554",
"1500000US040130405302","Block Group 2; Census Tract 405.30; Maricopa County; Arizona","92977","31965",
"1500000US040130405311","Block Group 1; Census Tract 405.31; Maricopa County; Arizona","72600","25146",
"1500000US040130405312","Block Group 2; Census Tract 405.31; Maricopa County; Arizona","38235","37831",
"1500000US040130405313","Block Group 3; Census Tract 405.31; Maricopa County; Arizona","49023","23852",
"1500000US040130405314","Block Group 4; Census Tract 405.31; Maricopa County; Arizona","49722","27447",
"1500000US040130405321","Block Group 1; Census Tract 405.32; Maricopa County; Arizona","116222","24473",
"1500000US040130405322","Block Group 2; Census Tract 405.32; Maricopa County; Arizona","130878","7221",
"1500000US040130405323","Block Group 3; Census Tract 405.32; Maricopa County; Arizona","103876","3717",
"1500000US040130405331","Block Group 1; Census Tract 405.33; Maricopa County; Arizona","124000","17118",
"1500000US040130405341","Block Group 1; Census Tract 405.34; Maricopa County; Arizona","62152","12074",
"1500000US040130405342","Block Group 2; Census Tract 405.34; Maricopa County; Arizona","96118","20077",
"1500000US040130405351","Block Group 1; Census Tract 405.35; Maricopa County; Arizona","132941","24206",
"1500000US040130405352","Block Group 2; Census Tract 405.35; Maricopa County; Arizona","118179","45888",
"1500000US040130405353","Block Group 3; Census Tract 405.35; Maricopa County; Arizona","97092","13362",
"1500000US040130405354","Block Group 4; Census Tract 405.35; Maricopa County; Arizona","-","**",
"1500000US040130405361","Block Group 1; Census Tract 405.36; Maricopa County; Arizona","174844","13184",
"1500000US040130405362","Block Group 2; Census Tract 405.36; Maricopa County; Arizona","100441","22331",
"1500000US040130405371","Block Group 1; Census Tract 405.37; Maricopa County; Arizona","124995","34778",
"1500000US040130405381","Block Group 1; Census Tract 405.38; Maricopa County; Arizona","94650","31653",
"1500000US040130405382","Block Group 2; Census Tract 405.38; Maricopa County; Arizona","142708","63721",
"1500000US040130405383","Block Group 3; Census Tract 405.38; Maricopa County; Arizona","88981","7053",
"1500000US040130405391","Block Group 1; Census Tract 405.39; Maricopa County; Arizona","-","**",
