"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US410510001011","Block Group 1; Census Tract 1.01; Multnomah County; Oregon","74643","52335",
"1500000US410510001012","Block Group 2; Census Tract 1.01; Multnomah County; Oregon","94420","22510",
"1500000US410510001013","Block Group 3; Census Tract 1.01; Multnomah County; Oregon","83750","22715",
"1500000US410510001021","Block Group 1; Census Tract 1.02; Multnomah County; Oregon","69931","49633",
"1500000US410510001022","Block Group 2; Census Tract 1.02; Multnomah County; Oregon","-","**",
"1500000US410510001023","Block Group 3; Census Tract 1.02; Multnomah County; Oregon","129071","41997",
"1500000US410510001024","Block Group 4; Census Tract 1.02; Multnomah County; Oregon","94663","21696",
"1500000US410510002011","Block Group 1; Census Tract 2.01; Multnomah County; Oregon","105156","54101",
"1500000US410510002012","Block Group 2; Census Tract 2.01; Multnomah County; Oregon","69634","28007",
"1500000US410510002021","Block Group 1; Census Tract 2.02; Multnomah County; Oregon","69843","9924",
"1500000US410510002022","Block Group 2; Census Tract 2.02; Multnomah County; Oregon","95078","35158",
"1500000US410510003011","Block Group 1; Census Tract 3.01; Multnomah County; Oregon","81172","54245",
"1500000US410510003012","Block Group 2; Census Tract 3.01; Multnomah County; Oregon","115852","10060",
"1500000US410510003013","Block Group 3; Census Tract 3.01; Multnomah County; Oregon","93136","17666",
"1500000US410510003014","Block Group 4; Census Tract 3.01; Multnomah County; Oregon","68188","17018",
"1500000US410510003021","Block Group 1; Census Tract 3.02; Multnomah County; Oregon","224955","35662",
"1500000US410510003022","Block Group 2; Census Tract 3.02; Multnomah County; Oregon","181111","40979",
"1500000US410510003023","Block Group 3; Census Tract 3.02; Multnomah County; Oregon","137083","62591",
"1500000US410510003024","Block Group 4; Census Tract 3.02; Multnomah County; Oregon","174444","70237",
"1500000US410510003025","Block Group 5; Census Tract 3.02; Multnomah County; Oregon","221047","20243",
"1500000US410510003026","Block Group 6; Census Tract 3.02; Multnomah County; Oregon","-","**",
"1500000US410510004011","Block Group 1; Census Tract 4.01; Multnomah County; Oregon","118859","24079",
"1500000US410510004012","Block Group 2; Census Tract 4.01; Multnomah County; Oregon","78177","32121",
"1500000US410510004013","Block Group 3; Census Tract 4.01; Multnomah County; Oregon","88750","22332",
"1500000US410510004014","Block Group 4; Census Tract 4.01; Multnomah County; Oregon","100408","32676",
"1500000US410510004021","Block Group 1; Census Tract 4.02; Multnomah County; Oregon","91830","18873",
"1500000US410510004022","Block Group 2; Census Tract 4.02; Multnomah County; Oregon","92885","15266",
"1500000US410510004023","Block Group 3; Census Tract 4.02; Multnomah County; Oregon","98879","33538",
"1500000US410510005011","Block Group 1; Census Tract 5.01; Multnomah County; Oregon","108333","64407",
"1500000US410510005012","Block Group 2; Census Tract 5.01; Multnomah County; Oregon","74338","50008",
"1500000US410510005013","Block Group 3; Census Tract 5.01; Multnomah County; Oregon","96985","27126",
"1500000US410510005014","Block Group 4; Census Tract 5.01; Multnomah County; Oregon","85125","17289",
"1500000US410510005021","Block Group 1; Census Tract 5.02; Multnomah County; Oregon","80625","30192",
"1500000US410510005022","Block Group 2; Census Tract 5.02; Multnomah County; Oregon","97151","4016",
"1500000US410510005023","Block Group 3; Census Tract 5.02; Multnomah County; Oregon","-","**",
"1500000US410510005024","Block Group 4; Census Tract 5.02; Multnomah County; Oregon","96875","46314",
"1500000US410510005025","Block Group 5; Census Tract 5.02; Multnomah County; Oregon","-","**",
"1500000US410510006011","Block Group 1; Census Tract 6.01; Multnomah County; Oregon","68169","11661",
"1500000US410510006012","Block Group 2; Census Tract 6.01; Multnomah County; Oregon","62500","17445",
"1500000US410510006013","Block Group 3; Census Tract 6.01; Multnomah County; Oregon","160568","129242",
"1500000US410510006014","Block Group 4; Census Tract 6.01; Multnomah County; Oregon","98750","48357",
"1500000US410510006021","Block Group 1; Census Tract 6.02; Multnomah County; Oregon","34236","5967",
"1500000US410510006022","Block Group 2; Census Tract 6.02; Multnomah County; Oregon","66000","49568",
"1500000US410510006023","Block Group 3; Census Tract 6.02; Multnomah County; Oregon","102039","56945",
"1500000US410510006024","Block Group 4; Census Tract 6.02; Multnomah County; Oregon","91250","27504",
"1500000US410510007011","Block Group 1; Census Tract 7.01; Multnomah County; Oregon","96641","40606",
"1500000US410510007012","Block Group 2; Census Tract 7.01; Multnomah County; Oregon","69471","34287",
"1500000US410510007013","Block Group 3; Census Tract 7.01; Multnomah County; Oregon","90792","34445",
"1500000US410510007014","Block Group 4; Census Tract 7.01; Multnomah County; Oregon","102674","33454",
"1500000US410510007021","Block Group 1; Census Tract 7.02; Multnomah County; Oregon","78257","33540",
"1500000US410510007022","Block Group 2; Census Tract 7.02; Multnomah County; Oregon","96694","8428",
"1500000US410510007023","Block Group 3; Census Tract 7.02; Multnomah County; Oregon","81400","28026",
"1500000US410510007024","Block Group 4; Census Tract 7.02; Multnomah County; Oregon","96250","29696",
"1500000US410510008011","Block Group 1; Census Tract 8.01; Multnomah County; Oregon","123438","44271",
"1500000US410510008012","Block Group 2; Census Tract 8.01; Multnomah County; Oregon","145658","45347",
"1500000US410510008013","Block Group 3; Census Tract 8.01; Multnomah County; Oregon","116553","54490",
"1500000US410510008014","Block Group 4; Census Tract 8.01; Multnomah County; Oregon","89034","40404",
"1500000US410510008021","Block Group 1; Census Tract 8.02; Multnomah County; Oregon","84500","9471",
"1500000US410510008022","Block Group 2; Census Tract 8.02; Multnomah County; Oregon","83110","42959",
"1500000US410510008023","Block Group 3; Census Tract 8.02; Multnomah County; Oregon","72772","31465",
"1500000US410510008024","Block Group 4; Census Tract 8.02; Multnomah County; Oregon","61591","46538",
"1500000US410510009011","Block Group 1; Census Tract 9.01; Multnomah County; Oregon","119094","20365",
"1500000US410510009012","Block Group 2; Census Tract 9.01; Multnomah County; Oregon","137429","14071",
"1500000US410510009013","Block Group 3; Census Tract 9.01; Multnomah County; Oregon","102000","17126",
"1500000US410510009014","Block Group 4; Census Tract 9.01; Multnomah County; Oregon","86495","19147",
"1500000US410510009021","Block Group 1; Census Tract 9.02; Multnomah County; Oregon","78365","33323",
"1500000US410510009022","Block Group 2; Census Tract 9.02; Multnomah County; Oregon","99125","16111",
"1500000US410510009023","Block Group 3; Census Tract 9.02; Multnomah County; Oregon","64688","36920",
"1500000US410510010001","Block Group 1; Census Tract 10; Multnomah County; Oregon","82604","40957",
"1500000US410510010002","Block Group 2; Census Tract 10; Multnomah County; Oregon","123313","70328",
"1500000US410510010003","Block Group 3; Census Tract 10; Multnomah County; Oregon","79146","43340",
"1500000US410510010004","Block Group 4; Census Tract 10; Multnomah County; Oregon","117961","20032",
"1500000US410510010005","Block Group 5; Census Tract 10; Multnomah County; Oregon","88661","58656",
"1500000US410510011011","Block Group 1; Census Tract 11.01; Multnomah County; Oregon","44013","25155",
"1500000US410510011012","Block Group 2; Census Tract 11.01; Multnomah County; Oregon","62450","10727",
"1500000US410510011021","Block Group 1; Census Tract 11.02; Multnomah County; Oregon","112532","14859",
"1500000US410510011022","Block Group 2; Census Tract 11.02; Multnomah County; Oregon","71250","21515",
"1500000US410510012021","Block Group 1; Census Tract 12.02; Multnomah County; Oregon","136354","25904",
"1500000US410510012022","Block Group 2; Census Tract 12.02; Multnomah County; Oregon","161875","62855",
"1500000US410510012023","Block Group 3; Census Tract 12.02; Multnomah County; Oregon","163603","36430",
"1500000US410510012031","Block Group 1; Census Tract 12.03; Multnomah County; Oregon","82679","28302",
"1500000US410510012032","Block Group 2; Census Tract 12.03; Multnomah County; Oregon","128196","63875",
"1500000US410510012041","Block Group 1; Census Tract 12.04; Multnomah County; Oregon","82656","36024",
"1500000US410510012042","Block Group 2; Census Tract 12.04; Multnomah County; Oregon","70547","14007",
"1500000US410510013011","Block Group 1; Census Tract 13.01; Multnomah County; Oregon","80341","29433",
"1500000US410510013012","Block Group 2; Census Tract 13.01; Multnomah County; Oregon","125040","35128",
"1500000US410510013013","Block Group 3; Census Tract 13.01; Multnomah County; Oregon","101667","34338",
"1500000US410510013014","Block Group 4; Census Tract 13.01; Multnomah County; Oregon","88154","12838",
"1500000US410510013021","Block Group 1; Census Tract 13.02; Multnomah County; Oregon","119911","55070",
"1500000US410510013022","Block Group 2; Census Tract 13.02; Multnomah County; Oregon","117219","20367",
"1500000US410510013023","Block Group 3; Census Tract 13.02; Multnomah County; Oregon","110655","20834",
"1500000US410510014001","Block Group 1; Census Tract 14; Multnomah County; Oregon","102721","30790",
"1500000US410510014002","Block Group 2; Census Tract 14; Multnomah County; Oregon","76835","20265",
"1500000US410510014003","Block Group 3; Census Tract 14; Multnomah County; Oregon","174519","67366",
"1500000US410510014004","Block Group 4; Census Tract 14; Multnomah County; Oregon","71005","7627",
"1500000US410510014005","Block Group 5; Census Tract 14; Multnomah County; Oregon","156300","73656",
"1500000US410510015001","Block Group 1; Census Tract 15; Multnomah County; Oregon","176583","53658",
"1500000US410510015002","Block Group 2; Census Tract 15; Multnomah County; Oregon","101250","19365",
"1500000US410510015003","Block Group 3; Census Tract 15; Multnomah County; Oregon","131129","57690",
"1500000US410510016011","Block Group 1; Census Tract 16.01; Multnomah County; Oregon","153224","133118",
"1500000US410510016012","Block Group 2; Census Tract 16.01; Multnomah County; Oregon","71310","22716",
"1500000US410510016013","Block Group 3; Census Tract 16.01; Multnomah County; Oregon","71160","19391",
"1500000US410510016014","Block Group 4; Census Tract 16.01; Multnomah County; Oregon","82232","33951",
"1500000US410510016015","Block Group 5; Census Tract 16.01; Multnomah County; Oregon","132604","34934",
"1500000US410510016016","Block Group 6; Census Tract 16.01; Multnomah County; Oregon","107125","77057",
"1500000US410510016021","Block Group 1; Census Tract 16.02; Multnomah County; Oregon","83417","20955",
"1500000US410510016022","Block Group 2; Census Tract 16.02; Multnomah County; Oregon","79803","22935",
"1500000US410510016023","Block Group 3; Census Tract 16.02; Multnomah County; Oregon","49107","17208",
"1500000US410510016024","Block Group 4; Census Tract 16.02; Multnomah County; Oregon","97750","95262",
"1500000US410510017021","Block Group 1; Census Tract 17.02; Multnomah County; Oregon","66739","35794",
"1500000US410510017022","Block Group 2; Census Tract 17.02; Multnomah County; Oregon","122875","65266",
"1500000US410510017023","Block Group 3; Census Tract 17.02; Multnomah County; Oregon","87448","45231",
"1500000US410510017031","Block Group 1; Census Tract 17.03; Multnomah County; Oregon","96917","82628",
"1500000US410510017032","Block Group 2; Census Tract 17.03; Multnomah County; Oregon","67634","28027",
"1500000US410510017033","Block Group 3; Census Tract 17.03; Multnomah County; Oregon","136875","64907",
"1500000US410510017034","Block Group 4; Census Tract 17.03; Multnomah County; Oregon","58250","32974",
"1500000US410510017041","Block Group 1; Census Tract 17.04; Multnomah County; Oregon","83173","53056",
"1500000US410510017042","Block Group 2; Census Tract 17.04; Multnomah County; Oregon","87412","44316",
"1500000US410510017043","Block Group 3; Census Tract 17.04; Multnomah County; Oregon","97614","28056",
"1500000US410510018011","Block Group 1; Census Tract 18.01; Multnomah County; Oregon","60435","58441",
"1500000US410510018012","Block Group 2; Census Tract 18.01; Multnomah County; Oregon","90938","34045",
"1500000US410510018013","Block Group 3; Census Tract 18.01; Multnomah County; Oregon","78214","67773",
"1500000US410510018021","Block Group 1; Census Tract 18.02; Multnomah County; Oregon","76757","20768",
"1500000US410510018022","Block Group 2; Census Tract 18.02; Multnomah County; Oregon","124728","14285",
"1500000US410510019001","Block Group 1; Census Tract 19; Multnomah County; Oregon","107750","55938",
"1500000US410510019002","Block Group 2; Census Tract 19; Multnomah County; Oregon","188472","49231",
"1500000US410510019003","Block Group 3; Census Tract 19; Multnomah County; Oregon","190034","38316",
"1500000US410510019004","Block Group 4; Census Tract 19; Multnomah County; Oregon","174250","41389",
"1500000US410510020011","Block Group 1; Census Tract 20.01; Multnomah County; Oregon","76739","21097",
"1500000US410510020012","Block Group 2; Census Tract 20.01; Multnomah County; Oregon","81486","49142",
"1500000US410510020013","Block Group 3; Census Tract 20.01; Multnomah County; Oregon","41853","30100",
"1500000US410510020021","Block Group 1; Census Tract 20.02; Multnomah County; Oregon","45593","2559",
"1500000US410510020022","Block Group 2; Census Tract 20.02; Multnomah County; Oregon","62109","37136",
"1500000US410510020023","Block Group 3; Census Tract 20.02; Multnomah County; Oregon","59283","16236",
"1500000US410510021011","Block Group 1; Census Tract 21.01; Multnomah County; Oregon","-","**",
"1500000US410510021012","Block Group 2; Census Tract 21.01; Multnomah County; Oregon","70217","19599",
"1500000US410510021021","Block Group 1; Census Tract 21.02; Multnomah County; Oregon","46536","7836",
"1500000US410510021022","Block Group 2; Census Tract 21.02; Multnomah County; Oregon","80313","36766",
"1500000US410510021023","Block Group 3; Census Tract 21.02; Multnomah County; Oregon","46577","24688",
"1500000US410510022031","Block Group 1; Census Tract 22.03; Multnomah County; Oregon","64023","28931",
"1500000US410510022032","Block Group 2; Census Tract 22.03; Multnomah County; Oregon","117361","81015",
"1500000US410510022033","Block Group 3; Census Tract 22.03; Multnomah County; Oregon","113142","37918",
"1500000US410510022034","Block Group 4; Census Tract 22.03; Multnomah County; Oregon","88750","52101",
"1500000US410510023031","Block Group 1; Census Tract 23.03; Multnomah County; Oregon","-","**",
"1500000US410510023032","Block Group 2; Census Tract 23.03; Multnomah County; Oregon","64179","14265",
"1500000US410510023033","Block Group 3; Census Tract 23.03; Multnomah County; Oregon","47284","8550",
"1500000US410510024011","Block Group 1; Census Tract 24.01; Multnomah County; Oregon","183238","15388",
"1500000US410510024012","Block Group 2; Census Tract 24.01; Multnomah County; Oregon","145571","20379",
