"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US060670001001","Block Group 1; Census Tract 1; Sacramento County; California","135813","28195",
"1500000US060670001002","Block Group 2; Census Tract 1; Sacramento County; California","132981","120058",
"1500000US060670001003","Block Group 3; Census Tract 1; Sacramento County; California","122750","18252",
"1500000US060670002001","Block Group 1; Census Tract 2; Sacramento County; California","112419","43999",
"1500000US060670002002","Block Group 2; Census Tract 2; Sacramento County; California","123929","16276",
"1500000US060670002003","Block Group 3; Census Tract 2; Sacramento County; California","145089","42515",
"1500000US060670002004","Block Group 4; Census Tract 2; Sacramento County; California","158125","69857",
"1500000US060670003001","Block Group 1; Census Tract 3; Sacramento County; California","98864","25818",
"1500000US060670003002","Block Group 2; Census Tract 3; Sacramento County; California","171331","50576",
"1500000US060670003003","Block Group 3; Census Tract 3; Sacramento County; California","116413","32326",
"1500000US060670004001","Block Group 1; Census Tract 4; Sacramento County; California","146500","71359",
"1500000US060670004002","Block Group 2; Census Tract 4; Sacramento County; California","58375","15175",
"1500000US060670004003","Block Group 3; Census Tract 4; Sacramento County; California","99306","14711",
"1500000US060670004004","Block Group 4; Census Tract 4; Sacramento County; California","98824","27378",
"1500000US060670004005","Block Group 5; Census Tract 4; Sacramento County; California","95404","33599",
"1500000US060670005011","Block Group 1; Census Tract 5.01; Sacramento County; California","46467","26844",
"1500000US060670005012","Block Group 2; Census Tract 5.01; Sacramento County; California","93185","33637",
"1500000US060670005021","Block Group 1; Census Tract 5.02; Sacramento County; California","90050","11118",
"1500000US060670005022","Block Group 2; Census Tract 5.02; Sacramento County; California","97656","71043",
"1500000US060670006001","Block Group 1; Census Tract 6; Sacramento County; California","-","**",
"1500000US060670006002","Block Group 2; Census Tract 6; Sacramento County; California","41607","24088",
"1500000US060670007001","Block Group 1; Census Tract 7; Sacramento County; California","14676","1833",
"1500000US060670008001","Block Group 1; Census Tract 8; Sacramento County; California","74931","12222",
"1500000US060670008002","Block Group 2; Census Tract 8; Sacramento County; California","55671","25776",
"1500000US060670011021","Block Group 1; Census Tract 11.02; Sacramento County; California","23656","9033",
"1500000US060670011022","Block Group 2; Census Tract 11.02; Sacramento County; California","103897","42581",
"1500000US060670011031","Block Group 1; Census Tract 11.03; Sacramento County; California","24844","23975",
"1500000US060670011032","Block Group 2; Census Tract 11.03; Sacramento County; California","81563","64258",
"1500000US060670011033","Block Group 3; Census Tract 11.03; Sacramento County; California","-","**",
"1500000US060670012011","Block Group 1; Census Tract 12.01; Sacramento County; California","68333","29918",
"1500000US060670012012","Block Group 2; Census Tract 12.01; Sacramento County; California","65227","17403",
"1500000US060670012021","Block Group 1; Census Tract 12.02; Sacramento County; California","90568","70427",
"1500000US060670012022","Block Group 2; Census Tract 12.02; Sacramento County; California","51431","40940",
"1500000US060670013001","Block Group 1; Census Tract 13; Sacramento County; California","65139","6635",
"1500000US060670013002","Block Group 2; Census Tract 13; Sacramento County; California","61435","21513",
"1500000US060670013003","Block Group 3; Census Tract 13; Sacramento County; California","70486","14022",
"1500000US060670014001","Block Group 1; Census Tract 14; Sacramento County; California","61149","20004",
"1500000US060670014002","Block Group 2; Census Tract 14; Sacramento County; California","87841","21815",
"1500000US060670014003","Block Group 3; Census Tract 14; Sacramento County; California","42415","19167",
"1500000US060670015001","Block Group 1; Census Tract 15; Sacramento County; California","132992","87842",
"1500000US060670015002","Block Group 2; Census Tract 15; Sacramento County; California","188676","34898",
"1500000US060670015003","Block Group 3; Census Tract 15; Sacramento County; California","157625","36873",
"1500000US060670015004","Block Group 4; Census Tract 15; Sacramento County; California","90903","80721",
"1500000US060670015005","Block Group 5; Census Tract 15; Sacramento County; California","99911","28894",
"1500000US060670016011","Block Group 1; Census Tract 16.01; Sacramento County; California","148651","4917",
"1500000US060670016012","Block Group 2; Census Tract 16.01; Sacramento County; California","93546","15152",
"1500000US060670016013","Block Group 3; Census Tract 16.01; Sacramento County; California","162931","144454",
"1500000US060670016021","Block Group 1; Census Tract 16.02; Sacramento County; California","151667","45826",
"1500000US060670016022","Block Group 2; Census Tract 16.02; Sacramento County; California","140313","26927",
"1500000US060670017011","Block Group 1; Census Tract 17.01; Sacramento County; California","-","**",
"1500000US060670017021","Block Group 1; Census Tract 17.02; Sacramento County; California","72125","17603",
