"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US060855001001","Block Group 1; Census Tract 5001; Santa Clara County; California","-","**",
"1500000US060855001002","Block Group 2; Census Tract 5001; Santa Clara County; California","131094","90394",
"1500000US060855001003","Block Group 3; Census Tract 5001; Santa Clara County; California","100943","82783",
"1500000US060855001004","Block Group 4; Census Tract 5001; Santa Clara County; California","197289","44238",
"1500000US060855002001","Block Group 1; Census Tract 5002; Santa Clara County; California","117371","46736",
"1500000US060855002002","Block Group 2; Census Tract 5002; Santa Clara County; California","-","**",
"1500000US060855002003","Block Group 3; Census Tract 5002; Santa Clara County; California","119674","45863",
"1500000US060855002004","Block Group 4; Census Tract 5002; Santa Clara County; California","169182","34904",
"1500000US060855003001","Block Group 1; Census Tract 5003; Santa Clara County; California","170091","58448",
"1500000US060855003002","Block Group 2; Census Tract 5003; Santa Clara County; California","98472","30854",
"1500000US060855004001","Block Group 1; Census Tract 5004; Santa Clara County; California","144286","22156",
"1500000US060855004002","Block Group 2; Census Tract 5004; Santa Clara County; California","167560","86806",
"1500000US060855005001","Block Group 1; Census Tract 5005; Santa Clara County; California","250,000+","***",
"1500000US060855005002","Block Group 2; Census Tract 5005; Santa Clara County; California","134844","35062",
"1500000US060855005003","Block Group 3; Census Tract 5005; Santa Clara County; California","178077","83244",
"1500000US060855005004","Block Group 4; Census Tract 5005; Santa Clara County; California","250,000+","***",
"1500000US060855005005","Block Group 5; Census Tract 5005; Santa Clara County; California","114525","74624",
"1500000US060855006001","Block Group 1; Census Tract 5006; Santa Clara County; California","237159","80085",
"1500000US060855006002","Block Group 2; Census Tract 5006; Santa Clara County; California","190294","64016",
"1500000US060855006003","Block Group 3; Census Tract 5006; Santa Clara County; California","118630","62666",
"1500000US060855006004","Block Group 4; Census Tract 5006; Santa Clara County; California","73279","8345",
"1500000US060855008001","Block Group 1; Census Tract 5008; Santa Clara County; California","101111","69737",
"1500000US060855008002","Block Group 2; Census Tract 5008; Santa Clara County; California","203839","53304",
"1500000US060855008003","Block Group 3; Census Tract 5008; Santa Clara County; California","160313","88758",
"1500000US060855009011","Block Group 1; Census Tract 5009.01; Santa Clara County; California","-","**",
"1500000US060855009012","Block Group 2; Census Tract 5009.01; Santa Clara County; California","151615","16985",
"1500000US060855009013","Block Group 3; Census Tract 5009.01; Santa Clara County; California","52348","19639",
"1500000US060855009021","Block Group 1; Census Tract 5009.02; Santa Clara County; California","41667","15651",
"1500000US060855009022","Block Group 2; Census Tract 5009.02; Santa Clara County; California","40893","15334",
"1500000US060855010001","Block Group 1; Census Tract 5010; Santa Clara County; California","54750","40175",
"1500000US060855010002","Block Group 2; Census Tract 5010; Santa Clara County; California","80765","47805",
"1500000US060855010003","Block Group 3; Census Tract 5010; Santa Clara County; California","30420","4546",
"1500000US060855010004","Block Group 4; Census Tract 5010; Santa Clara County; California","54468","14690",
"1500000US060855010005","Block Group 5; Census Tract 5010; Santa Clara County; California","103179","71865",
"1500000US060855011011","Block Group 1; Census Tract 5011.01; Santa Clara County; California","70686","22987",
"1500000US060855011012","Block Group 2; Census Tract 5011.01; Santa Clara County; California","122125","17189",
"1500000US060855011021","Block Group 1; Census Tract 5011.02; Santa Clara County; California","164365","47895",
"1500000US060855011022","Block Group 2; Census Tract 5011.02; Santa Clara County; California","108705","31056",
"1500000US060855011023","Block Group 3; Census Tract 5011.02; Santa Clara County; California","133750","48110",
"1500000US060855012001","Block Group 1; Census Tract 5012; Santa Clara County; California","-","**",
"1500000US060855012002","Block Group 2; Census Tract 5012; Santa Clara County; California","127702","33398",
"1500000US060855012003","Block Group 3; Census Tract 5012; Santa Clara County; California","101510","31295",
"1500000US060855012004","Block Group 4; Census Tract 5012; Santa Clara County; California","112308","83781",
"1500000US060855013001","Block Group 1; Census Tract 5013; Santa Clara County; California","68750","58418",
"1500000US060855013002","Block Group 2; Census Tract 5013; Santa Clara County; California","-","**",
"1500000US060855013003","Block Group 3; Census Tract 5013; Santa Clara County; California","250,000+","***",
"1500000US060855014011","Block Group 1; Census Tract 5014.01; Santa Clara County; California","58836","10418",
"1500000US060855014012","Block Group 2; Census Tract 5014.01; Santa Clara County; California","82443","24886",
"1500000US060855014021","Block Group 1; Census Tract 5014.02; Santa Clara County; California","88000","37859",
"1500000US060855014022","Block Group 2; Census Tract 5014.02; Santa Clara County; California","107473","54122",
"1500000US060855015011","Block Group 1; Census Tract 5015.01; Santa Clara County; California","84071","21662",
"1500000US060855015012","Block Group 2; Census Tract 5015.01; Santa Clara County; California","63681","12425",
"1500000US060855015021","Block Group 1; Census Tract 5015.02; Santa Clara County; California","62087","41242",
"1500000US060855015022","Block Group 2; Census Tract 5015.02; Santa Clara County; California","-","**",
"1500000US060855015023","Block Group 3; Census Tract 5015.02; Santa Clara County; California","212250","66500",
"1500000US060855016011","Block Group 1; Census Tract 5016.01; Santa Clara County; California","111964","30085",
"1500000US060855016012","Block Group 2; Census Tract 5016.01; Santa Clara County; California","115809","41533",
"1500000US060855016021","Block Group 1; Census Tract 5016.02; Santa Clara County; California","-","**",
"1500000US060855016022","Block Group 2; Census Tract 5016.02; Santa Clara County; California","-","**",
"1500000US060855016023","Block Group 3; Census Tract 5016.02; Santa Clara County; California","50024","15548",
"1500000US060855017001","Block Group 1; Census Tract 5017; Santa Clara County; California","134286","36807",
"1500000US060855017002","Block Group 2; Census Tract 5017; Santa Clara County; California","75313","61050",
"1500000US060855017003","Block Group 3; Census Tract 5017; Santa Clara County; California","49846","25037",
"1500000US060855017004","Block Group 4; Census Tract 5017; Santa Clara County; California","144474","58458",
"1500000US060855018001","Block Group 1; Census Tract 5018; Santa Clara County; California","-","**",
"1500000US060855018002","Block Group 2; Census Tract 5018; Santa Clara County; California","157159","84169",
"1500000US060855018003","Block Group 3; Census Tract 5018; Santa Clara County; California","173611","89972",
"1500000US060855018004","Block Group 4; Census Tract 5018; Santa Clara County; California","183750","76268",
"1500000US060855019011","Block Group 1; Census Tract 5019.01; Santa Clara County; California","126917","51882",
"1500000US060855019021","Block Group 1; Census Tract 5019.02; Santa Clara County; California","154575","22400",
"1500000US060855019022","Block Group 2; Census Tract 5019.02; Santa Clara County; California","95086","40771",
"1500000US060855020011","Block Group 1; Census Tract 5020.01; Santa Clara County; California","102794","60040",
"1500000US060855020012","Block Group 2; Census Tract 5020.01; Santa Clara County; California","86354","19792",
"1500000US060855020013","Block Group 3; Census Tract 5020.01; Santa Clara County; California","145000","55122",
"1500000US060855020014","Block Group 4; Census Tract 5020.01; Santa Clara County; California","123750","37265",
"1500000US060855020021","Block Group 1; Census Tract 5020.02; Santa Clara County; California","93491","36745",
"1500000US060855020022","Block Group 2; Census Tract 5020.02; Santa Clara County; California","109315","21654",
"1500000US060855020023","Block Group 3; Census Tract 5020.02; Santa Clara County; California","111667","41864",
"1500000US060855021011","Block Group 1; Census Tract 5021.01; Santa Clara County; California","186328","30932",
"1500000US060855021012","Block Group 2; Census Tract 5021.01; Santa Clara County; California","123750","90512",
"1500000US060855021013","Block Group 3; Census Tract 5021.01; Santa Clara County; California","107361","50556",
"1500000US060855021031","Block Group 1; Census Tract 5021.03; Santa Clara County; California","39625","22014",
"1500000US060855021032","Block Group 2; Census Tract 5021.03; Santa Clara County; California","96047","17742",
"1500000US060855021041","Block Group 1; Census Tract 5021.04; Santa Clara County; California","158424","69650",
"1500000US060855021042","Block Group 2; Census Tract 5021.04; Santa Clara County; California","92554","39656",
"1500000US060855022021","Block Group 1; Census Tract 5022.02; Santa Clara County; California","96691","26913",
"1500000US060855022022","Block Group 2; Census Tract 5022.02; Santa Clara County; California","157863","73299",
"1500000US060855022023","Block Group 3; Census Tract 5022.02; Santa Clara County; California","100234","71318",
"1500000US060855022031","Block Group 1; Census Tract 5022.03; Santa Clara County; California","102847","44400",
"1500000US060855022032","Block Group 2; Census Tract 5022.03; Santa Clara County; California","171296","42595",
"1500000US060855022041","Block Group 1; Census Tract 5022.04; Santa Clara County; California","69245","16039",
"1500000US060855022042","Block Group 2; Census Tract 5022.04; Santa Clara County; California","-","**",
"1500000US060855023011","Block Group 1; Census Tract 5023.01; Santa Clara County; California","157650","23189",
"1500000US060855023012","Block Group 2; Census Tract 5023.01; Santa Clara County; California","205156","60341",
"1500000US060855023021","Block Group 1; Census Tract 5023.02; Santa Clara County; California","165222","16655",
"1500000US060855023022","Block Group 2; Census Tract 5023.02; Santa Clara County; California","116426","5737",
"1500000US060855024001","Block Group 1; Census Tract 5024; Santa Clara County; California","250,000+","***",
"1500000US060855024002","Block Group 2; Census Tract 5024; Santa Clara County; California","204667","156545",
"1500000US060855024003","Block Group 3; Census Tract 5024; Santa Clara County; California","108447","46256",
"1500000US060855024004","Block Group 4; Census Tract 5024; Santa Clara County; California","228984","152202",
"1500000US060855024005","Block Group 5; Census Tract 5024; Santa Clara County; California","190221","117467",
"1500000US060855024006","Block Group 6; Census Tract 5024; Santa Clara County; California","165917","115940",
"1500000US060855024007","Block Group 7; Census Tract 5024; Santa Clara County; California","232049","98037",
"1500000US060855025001","Block Group 1; Census Tract 5025; Santa Clara County; California","250,000+","***",
"1500000US060855025002","Block Group 2; Census Tract 5025; Santa Clara County; California","211328","39716",
"1500000US060855025003","Block Group 3; Census Tract 5025; Santa Clara County; California","182363","138918",
"1500000US060855025004","Block Group 4; Census Tract 5025; Santa Clara County; California","250,000+","***",
"1500000US060855025005","Block Group 5; Census Tract 5025; Santa Clara County; California","153524","68451",
"1500000US060855025006","Block Group 6; Census Tract 5025; Santa Clara County; California","250,000+","***",
"1500000US060855026011","Block Group 1; Census Tract 5026.01; Santa Clara County; California","250,000+","***",
"1500000US060855026012","Block Group 2; Census Tract 5026.01; Santa Clara County; California","185515","155470",
"1500000US060855026013","Block Group 3; Census Tract 5026.01; Santa Clara County; California","118676","37711",
"1500000US060855026031","Block Group 1; Census Tract 5026.03; Santa Clara County; California","150000","94925",
"1500000US060855026032","Block Group 2; Census Tract 5026.03; Santa Clara County; California","132188","86029",
"1500000US060855026033","Block Group 3; Census Tract 5026.03; Santa Clara County; California","211094","40591",
"1500000US060855026041","Block Group 1; Census Tract 5026.04; Santa Clara County; California","162833","124869",
"1500000US060855026042","Block Group 2; Census Tract 5026.04; Santa Clara County; California","193384","111901",
"1500000US060855026043","Block Group 3; Census Tract 5026.04; Santa Clara County; California","103708","13312",
"1500000US060855027011","Block Group 1; Census Tract 5027.01; Santa Clara County; California","111953","50891",
"1500000US060855027012","Block Group 2; Census Tract 5027.01; Santa Clara County; California","134375","58337",
"1500000US060855027013","Block Group 3; Census Tract 5027.01; Santa Clara County; California","150509","22729",
"1500000US060855027031","Block Group 1; Census Tract 5027.03; Santa Clara County; California","229127","33652",
"1500000US060855027032","Block Group 2; Census Tract 5027.03; Santa Clara County; California","131090","23712",
"1500000US060855027033","Block Group 3; Census Tract 5027.03; Santa Clara County; California","139500","60529",
"1500000US060855027041","Block Group 1; Census Tract 5027.04; Santa Clara County; California","84886","82552",
"1500000US060855027042","Block Group 2; Census Tract 5027.04; Santa Clara County; California","208889","78510",
"1500000US060855027043","Block Group 3; Census Tract 5027.04; Santa Clara County; California","250,000+","***",
"1500000US060855028001","Block Group 1; Census Tract 5028; Santa Clara County; California","250,000+","***",
"1500000US060855028002","Block Group 2; Census Tract 5028; Santa Clara County; California","144250","61283",
"1500000US060855028003","Block Group 3; Census Tract 5028; Santa Clara County; California","167440","162756",
"1500000US060855029011","Block Group 1; Census Tract 5029.01; Santa Clara County; California","181629","75217",
"1500000US060855029012","Block Group 2; Census Tract 5029.01; Santa Clara County; California","209779","44997",
"1500000US060855029013","Block Group 3; Census Tract 5029.01; Santa Clara County; California","196250","168909",
