"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US530330001011","Block Group 1; Census Tract 1.01; King County; Washington","101354","25070",
"1500000US530330001012","Block Group 2; Census Tract 1.01; King County; Washington","49000","15594",
"1500000US530330001013","Block Group 3; Census Tract 1.01; King County; Washington","62841","18640",
"1500000US530330001021","Block Group 1; Census Tract 1.02; King County; Washington","182885","73318",
"1500000US530330001022","Block Group 2; Census Tract 1.02; King County; Washington","84291","22225",
"1500000US530330001023","Block Group 3; Census Tract 1.02; King County; Washington","32786","10044",
"1500000US530330002011","Block Group 1; Census Tract 2.01; King County; Washington","65909","22571",
"1500000US530330002012","Block Group 2; Census Tract 2.01; King County; Washington","97708","66972",
"1500000US530330002013","Block Group 3; Census Tract 2.01; King County; Washington","91270","18119",
"1500000US530330002021","Block Group 1; Census Tract 2.02; King County; Washington","145625","59368",
"1500000US530330002022","Block Group 2; Census Tract 2.02; King County; Washington","111500","37295",
"1500000US530330002023","Block Group 3; Census Tract 2.02; King County; Washington","118667","66192",
"1500000US530330003001","Block Group 1; Census Tract 3; King County; Washington","139500","43626",
"1500000US530330003002","Block Group 2; Census Tract 3; King County; Washington","113375","8227",
"1500000US530330004021","Block Group 1; Census Tract 4.02; King County; Washington","85214","19751",
"1500000US530330004022","Block Group 2; Census Tract 4.02; King County; Washington","149375","67285",
"1500000US530330004023","Block Group 3; Census Tract 4.02; King County; Washington","119844","40306",
"1500000US530330004024","Block Group 4; Census Tract 4.02; King County; Washington","133828","84315",
"1500000US530330004031","Block Group 1; Census Tract 4.03; King County; Washington","85563","25708",
"1500000US530330004032","Block Group 2; Census Tract 4.03; King County; Washington","31300","16032",
"1500000US530330004041","Block Group 1; Census Tract 4.04; King County; Washington","51278","17339",
"1500000US530330004042","Block Group 2; Census Tract 4.04; King County; Washington","44109","25938",
"1500000US530330004043","Block Group 3; Census Tract 4.04; King County; Washington","41104","16179",
"1500000US530330005001","Block Group 1; Census Tract 5; King County; Washington","212708","17069",
"1500000US530330005002","Block Group 2; Census Tract 5; King County; Washington","140882","18007",
"1500000US530330006011","Block Group 1; Census Tract 6.01; King County; Washington","86671","4629",
"1500000US530330006012","Block Group 2; Census Tract 6.01; King County; Washington","153324","52921",
"1500000US530330006013","Block Group 3; Census Tract 6.01; King County; Washington","108705","29355",
"1500000US530330006021","Block Group 1; Census Tract 6.02; King County; Washington","108693","84522",
"1500000US530330006022","Block Group 2; Census Tract 6.02; King County; Washington","117530","50745",
"1500000US530330006023","Block Group 3; Census Tract 6.02; King County; Washington","64867","58102",
"1500000US530330007001","Block Group 1; Census Tract 7; King County; Washington","117218","62465",
"1500000US530330007002","Block Group 2; Census Tract 7; King County; Washington","186458","98113",
"1500000US530330007003","Block Group 3; Census Tract 7; King County; Washington","67574","16331",
"1500000US530330007004","Block Group 4; Census Tract 7; King County; Washington","72644","18428",
"1500000US530330008001","Block Group 1; Census Tract 8; King County; Washington","136792","98206",
"1500000US530330008002","Block Group 2; Census Tract 8; King County; Washington","118607","28129",
"1500000US530330009001","Block Group 1; Census Tract 9; King County; Washington","106250","38199",
"1500000US530330009002","Block Group 2; Census Tract 9; King County; Washington","164271","33812",
"1500000US530330010001","Block Group 1; Census Tract 10; King County; Washington","69135","34782",
"1500000US530330010002","Block Group 2; Census Tract 10; King County; Washington","161667","45090",
"1500000US530330011001","Block Group 1; Census Tract 11; King County; Washington","135375","10056",
"1500000US530330011002","Block Group 2; Census Tract 11; King County; Washington","175313","71229",
"1500000US530330012011","Block Group 1; Census Tract 12.01; King County; Washington","31637","18663",
"1500000US530330012012","Block Group 2; Census Tract 12.01; King County; Washington","70685","31833",
"1500000US530330012013","Block Group 3; Census Tract 12.01; King County; Washington","-","**",
"1500000US530330012021","Block Group 1; Census Tract 12.02; King County; Washington","106250","27519",
"1500000US530330012022","Block Group 2; Census Tract 12.02; King County; Washington","103657","47412",
"1500000US530330012023","Block Group 3; Census Tract 12.02; King County; Washington","46296","37726",
"1500000US530330013001","Block Group 1; Census Tract 13; King County; Washington","85278","27032",
"1500000US530330013002","Block Group 2; Census Tract 13; King County; Washington","83056","39630",
"1500000US530330013003","Block Group 3; Census Tract 13; King County; Washington","82875","24668",
"1500000US530330014001","Block Group 1; Census Tract 14; King County; Washington","122292","56324",
"1500000US530330014002","Block Group 2; Census Tract 14; King County; Washington","148125","60614",
"1500000US530330014003","Block Group 3; Census Tract 14; King County; Washington","87135","77039",
"1500000US530330014004","Block Group 4; Census Tract 14; King County; Washington","126029","47927",
"1500000US530330015001","Block Group 1; Census Tract 15; King County; Washington","152442","39725",
"1500000US530330015002","Block Group 2; Census Tract 15; King County; Washington","228958","51123",
"1500000US530330016001","Block Group 1; Census Tract 16; King County; Washington","215781","42673",
"1500000US530330016002","Block Group 2; Census Tract 16; King County; Washington","250,000+","***",
"1500000US530330016003","Block Group 3; Census Tract 16; King County; Washington","189271","57934",
"1500000US530330017011","Block Group 1; Census Tract 17.01; King County; Washington","93333","11360",
"1500000US530330017012","Block Group 2; Census Tract 17.01; King County; Washington","81250","37528",
"1500000US530330017013","Block Group 3; Census Tract 17.01; King County; Washington","128833","52386",
"1500000US530330017021","Block Group 1; Census Tract 17.02; King County; Washington","94813","32636",
"1500000US530330017022","Block Group 2; Census Tract 17.02; King County; Washington","204550","84792",
"1500000US530330017023","Block Group 3; Census Tract 17.02; King County; Washington","88780","32126",
"1500000US530330017024","Block Group 4; Census Tract 17.02; King County; Washington","122958","25986",
"1500000US530330018001","Block Group 1; Census Tract 18; King County; Washington","143668","49036",
"1500000US530330018002","Block Group 2; Census Tract 18; King County; Washington","86213","46656",
"1500000US530330018003","Block Group 3; Census Tract 18; King County; Washington","123929","25007",
"1500000US530330019001","Block Group 1; Census Tract 19; King County; Washington","195900","61442",
"1500000US530330019002","Block Group 2; Census Tract 19; King County; Washington","161042","33564",
"1500000US530330019003","Block Group 3; Census Tract 19; King County; Washington","75463","12315",
"1500000US530330019004","Block Group 4; Census Tract 19; King County; Washington","110515","23356",
"1500000US530330020001","Block Group 1; Census Tract 20; King County; Washington","152375","44306",
"1500000US530330020002","Block Group 2; Census Tract 20; King County; Washington","130208","39077",
"1500000US530330020003","Block Group 3; Census Tract 20; King County; Washington","161518","48887",
"1500000US530330021001","Block Group 1; Census Tract 21; King County; Washington","189037","20257",
"1500000US530330021002","Block Group 2; Census Tract 21; King County; Washington","124167","41789",
"1500000US530330021003","Block Group 3; Census Tract 21; King County; Washington","91731","69214",
"1500000US530330022001","Block Group 1; Census Tract 22; King County; Washington","182101","33389",
"1500000US530330022002","Block Group 2; Census Tract 22; King County; Washington","211563","142974",
"1500000US530330022003","Block Group 3; Census Tract 22; King County; Washington","153906","72318",
"1500000US530330022004","Block Group 4; Census Tract 22; King County; Washington","110694","86946",
"1500000US530330024001","Block Group 1; Census Tract 24; King County; Washington","215354","63741",
"1500000US530330024002","Block Group 2; Census Tract 24; King County; Washington","141061","30653",
"1500000US530330025001","Block Group 1; Census Tract 25; King County; Washington","162989","29630",
"1500000US530330025002","Block Group 2; Census Tract 25; King County; Washington","151875","27023",
"1500000US530330026001","Block Group 1; Census Tract 26; King County; Washington","139063","94026",
"1500000US530330026002","Block Group 2; Census Tract 26; King County; Washington","227566","92464",
"1500000US530330026003","Block Group 3; Census Tract 26; King County; Washington","127639","71965",
"1500000US530330026004","Block Group 4; Census Tract 26; King County; Washington","206038","9168",
"1500000US530330027001","Block Group 1; Census Tract 27; King County; Washington","140000","96190",
"1500000US530330027002","Block Group 2; Census Tract 27; King County; Washington","250,000+","***",
"1500000US530330027003","Block Group 3; Census Tract 27; King County; Washington","201667","90407",
"1500000US530330027004","Block Group 4; Census Tract 27; King County; Washington","250,000+","***",
"1500000US530330028001","Block Group 1; Census Tract 28; King County; Washington","111742","99086",
"1500000US530330028002","Block Group 2; Census Tract 28; King County; Washington","159677","38402",
"1500000US530330028003","Block Group 3; Census Tract 28; King County; Washington","204952","32745",
"1500000US530330028004","Block Group 4; Census Tract 28; King County; Washington","131719","18366",
"1500000US530330029001","Block Group 1; Census Tract 29; King County; Washington","120958","75993",
"1500000US530330029002","Block Group 2; Census Tract 29; King County; Washington","164296","73975",
"1500000US530330029003","Block Group 3; Census Tract 29; King County; Washington","99247","38191",
"1500000US530330030001","Block Group 1; Census Tract 30; King County; Washington","185446","68207",
"1500000US530330030002","Block Group 2; Census Tract 30; King County; Washington","116875","44724",
"1500000US530330030003","Block Group 3; Census Tract 30; King County; Washington","118720","43821",
"1500000US530330030004","Block Group 4; Census Tract 30; King County; Washington","228036","63098",
"1500000US530330031001","Block Group 1; Census Tract 31; King County; Washington","170714","76185",
"1500000US530330031002","Block Group 2; Census Tract 31; King County; Washington","177922","73597",
"1500000US530330031003","Block Group 3; Census Tract 31; King County; Washington","173382","33783",
"1500000US530330031004","Block Group 4; Census Tract 31; King County; Washington","236490","47064",
"1500000US530330031005","Block Group 5; Census Tract 31; King County; Washington","191667","76889",
"1500000US530330032011","Block Group 1; Census Tract 32.01; King County; Washington","130795","97031",
"1500000US530330032012","Block Group 2; Census Tract 32.01; King County; Washington","121316","13595",
"1500000US530330032013","Block Group 3; Census Tract 32.01; King County; Washington","116167","52404",
"1500000US530330032021","Block Group 1; Census Tract 32.02; King County; Washington","161004","35205",
"1500000US530330032022","Block Group 2; Census Tract 32.02; King County; Washington","204663","61078",
"1500000US530330032023","Block Group 3; Census Tract 32.02; King County; Washington","129009","69253",
"1500000US530330033011","Block Group 1; Census Tract 33.01; King County; Washington","124200","28974",
"1500000US530330033012","Block Group 2; Census Tract 33.01; King County; Washington","164926","60724",
"1500000US530330033013","Block Group 3; Census Tract 33.01; King County; Washington","130766","68825",
"1500000US530330033021","Block Group 1; Census Tract 33.02; King County; Washington","216667","123384",
"1500000US530330033022","Block Group 2; Census Tract 33.02; King County; Washington","155729","48804",
"1500000US530330033023","Block Group 3; Census Tract 33.02; King County; Washington","138684","69208",
"1500000US530330034001","Block Group 1; Census Tract 34; King County; Washington","137083","30331",
"1500000US530330034002","Block Group 2; Census Tract 34; King County; Washington","201701","39761",
